network_connection,fc,within_network
ContA-ContA,0.31333981589847304,True
ContA-ContB,0.21437815414673367,False
ContA-ContC,0.13838316524504324,False
ContA-DefaultA,0.134425792471342,False
ContA-DefaultB,0.14685221523728956,False
ContA-DefaultC,0.07672930261670732,False
ContA-DorsAttnA,-0.029061708551607564,False
ContA-DorsAttnB,0.0726200689795824,False
ContA-LimbicA,0.30065197927745324,False
ContA-LimbicB,0.2166787847020406,False
ContA-SalVentAttnA,-0.00832462095466557,False
ContA-SalVentAttnB,0.22168243393121617,False
ContA-SomMotA,-0.17543085344151366,False
ContA-SomMotB,-0.07688359470202413,False
ContA-TempPar,-0.013312891703199199,False
ContA-VisCent,-0.012050317672841898,False
ContA-VisPeri,-0.1730705580752267,False
ContB-ContB,0.23674929003368747,True
ContB-ContC,0.13719145095512555,False
ContB-DefaultA,0.10056028985768505,False
ContB-DefaultB,0.13887066228850892,False
ContB-DefaultC,0.15967868403249955,False
ContB-DorsAttnA,-0.03278064951540487,False
ContB-DorsAttnB,0.05880681370024638,False
ContB-LimbicA,0.17782909113430087,False
ContB-LimbicB,0.08156953646095641,False
ContB-SalVentAttnA,-0.06195984824561111,False
ContB-SalVentAttnB,0.06425714106067998,False
ContB-SomMotA,-0.13976044686467043,False
ContB-SomMotB,-0.08887466648933864,False
ContB-TempPar,0.1039636710471046,False
ContB-VisCent,0.005601572041373807,False
ContB-VisPeri,-0.14188421918494484,False
ContC-ContC,0.3559199922852319,True
ContC-DefaultA,0.3376300142350467,False
ContC-DefaultB,0.16601260678427268,False
ContC-DefaultC,-0.07950222391346407,False
ContC-DorsAttnA,-0.05291721384193231,False
ContC-DorsAttnB,0.06916242039566528,False
ContC-LimbicA,0.16480580766738875,False
ContC-LimbicB,0.1561864619458956,False
ContC-SalVentAttnA,-0.004517977550947607,False
ContC-SalVentAttnB,0.15531160796800872,False
ContC-SomMotA,-0.05664663361851534,False
ContC-SomMotB,-0.10212579807639618,False
ContC-TempPar,-0.088432945155491,False
ContC-VisCent,0.03328504662758169,False
ContC-VisPeri,-0.06432388780498229,False
DefaultA-DefaultA,0.3356904307203593,True
DefaultA-DefaultB,0.18590666542478912,False
DefaultA-DefaultC,-0.09600765842455904,False
DefaultA-DorsAttnA,-0.036095090222208394,False
DefaultA-DorsAttnB,0.057023597315481726,False
DefaultA-LimbicA,0.1512500860431299,False
DefaultA-LimbicB,0.15105061572816655,False
DefaultA-SalVentAttnA,0.001838881387017282,False
DefaultA-SalVentAttnB,0.15575328653288317,False
DefaultA-SomMotA,-0.051326335488713154,False
DefaultA-SomMotB,-0.08353375384821915,False
DefaultA-TempPar,-0.12470565528871373,False
DefaultA-VisCent,0.03349087815110989,False
DefaultA-VisPeri,-0.057877329818768496,False
DefaultB-DefaultB,0.22315911005025507,True
DefaultB-DefaultC,0.16491364330483663,False
DefaultB-DorsAttnA,-0.07637808078328741,False
DefaultB-DorsAttnB,-0.004902085803552043,False
DefaultB-LimbicA,0.12065346920784514,False
DefaultB-LimbicB,0.09700036948708322,False
DefaultB-SalVentAttnA,-0.04223603303359783,False
DefaultB-SalVentAttnB,0.07487093246620827,False
DefaultB-SomMotA,-0.10124084349054868,False
DefaultB-SomMotB,-0.06168119500898593,False
DefaultB-TempPar,0.015074488284340827,False
DefaultB-VisCent,0.001258244704963565,False
DefaultB-VisPeri,-0.10340632365131441,False
DefaultC-DefaultC,0.49178149764886514,True
DefaultC-DorsAttnA,-0.12599079831978138,False
DefaultC-DorsAttnB,-0.049939945353463404,False
DefaultC-LimbicA,0.010485008448345703,False
DefaultC-LimbicB,0.010361994045428707,False
DefaultC-SalVentAttnA,-0.08683466249662845,False
DefaultC-SalVentAttnB,-0.04126070397616443,False
DefaultC-SomMotA,-0.16489409329733634,False
DefaultC-SomMotB,-0.05688380053811709,False
DefaultC-TempPar,0.3268862207631349,False
