network_connection,fc,within_network
ContA-ContA,0.28329642063225086,True
ContA-ContB,0.18614649678708317,False
ContA-ContC,0.18300798482907243,False
ContA-DefaultA,0.1854763705474682,False
ContA-DefaultB,0.16038871484396885,False
ContA-DefaultC,0.004958061137217288,False
ContA-DorsAttnA,-0.03887617557065743,False
ContA-DorsAttnB,0.04417283079831007,False
ContA-LimbicA,0.272328084338102,False
ContA-LimbicB,0.13614373288810427,False
ContA-SalVentAttnA,-0.0085420344762842,False
ContA-SalVentAttnB,0.16312865131968918,False
ContA-SomMotA,-0.09020367848380398,False
ContA-SomMotB,-0.08947215912127691,False
ContA-TempPar,-0.03375089510174049,False
ContA-VisCent,0.012721241291806998,False
ContA-VisPeri,-0.07298643337108277,False
ContB-ContB,0.21489011363985255,True
ContB-ContC,0.1401763714943657,False
ContB-DefaultA,0.08909317279189902,False
ContB-DefaultB,0.09158153380705977,False
ContB-DefaultC,0.07916003363605742,False
ContB-DorsAttnA,0.023005295116125,False
ContB-DorsAttnB,0.06083978051438523,False
ContB-LimbicA,0.17418217847475853,False
ContB-LimbicB,0.04535324778428309,False
ContB-SalVentAttnA,-0.03238409756287616,False
ContB-SalVentAttnB,0.05028967729593285,False
ContB-SomMotA,-0.05485608466774078,False
ContB-SomMotB,-0.062386144096227225,False
ContB-TempPar,0.07918244681280341,False
ContB-VisCent,0.03135712204763669,False
ContB-VisPeri,-0.049462538638249544,False
ContC-ContC,0.24127084352057715,True
ContC-DefaultA,0.21092173268879874,False
ContC-DefaultB,0.16535799113219243,False
ContC-DefaultC,0.024600875176277206,False
ContC-DorsAttnA,-0.005207666309838613,False
ContC-DorsAttnB,0.046077584261492756,False
ContC-LimbicA,0.2162997884320732,False
ContC-LimbicB,0.1522046328262084,False
ContC-SalVentAttnA,0.014408248422010723,False
ContC-SalVentAttnB,0.1729192246566443,False
ContC-SomMotA,-0.06301552704812738,False
ContC-SomMotB,-0.049191285764715535,False
ContC-TempPar,-0.021679904986106186,False
ContC-VisCent,0.022384471917421146,False
ContC-VisPeri,-0.057011718644798405,False
DefaultA-DefaultA,0.22685946040161065,True
DefaultA-DefaultB,0.1733571546910122,False
DefaultA-DefaultC,-0.007937705141653185,False
DefaultA-DorsAttnA,-0.03559985721944343,False
DefaultA-DorsAttnB,0.02105761928009738,False
DefaultA-LimbicA,0.21106755411996167,False
DefaultA-LimbicB,0.18759736111421915,False
DefaultA-SalVentAttnA,0.03685029062355684,False
DefaultA-SalVentAttnB,0.20630302772226403,False
DefaultA-SomMotA,-0.07946820561615013,False
DefaultA-SomMotB,-0.04087013778635473,False
DefaultA-TempPar,-0.05009591133502911,False
DefaultA-VisCent,0.00906697622859418,False
DefaultA-VisPeri,-0.09513069875187283,False
DefaultB-DefaultB,0.2315396782459736,True
DefaultB-DefaultC,0.2004276071599959,False
DefaultB-DorsAttnA,-0.05779231751057498,False
DefaultB-DorsAttnB,-0.005999791742930552,False
DefaultB-LimbicA,0.16409342811287322,False
DefaultB-LimbicB,0.12232915075790653,False
DefaultB-SalVentAttnA,-0.004473229820971183,False
DefaultB-SalVentAttnB,0.1206854538054108,False
DefaultB-SomMotA,-0.0949376231036617,False
DefaultB-SomMotB,-0.06282636347809105,False
DefaultB-TempPar,0.11856854969764646,False
DefaultB-VisCent,-0.007737074038951415,False
DefaultB-VisPeri,-0.09109444209154698,False
DefaultC-DefaultC,0.5650375856571391,True
DefaultC-DorsAttnA,-0.08301112677686218,False
DefaultC-DorsAttnB,-0.019165894335755,False
DefaultC-LimbicA,0.0011445333713147898,False
DefaultC-LimbicB,-0.019366449143354964,False
DefaultC-SalVentAttnA,-0.05920207356948485,False
DefaultC-SalVentAttnB,-0.06681266572691617,False
DefaultC-SomMotA,-0.07699116522514314,False
DefaultC-SomMotB,-0.07301026298502107,False
DefaultC-TempPar,0.5499054448810362,False
DefaultC-VisCent,-0.008306154099571365,False
DefaultC-VisPeri,-0.03473775000955808,False
DorsAttnA-DorsAttnA,0.21019246506898515,True
DorsAttnA-DorsAttnB,0.07916978006074332,False
DorsAttnA-LimbicA,-0.02326912509578688,False
DorsAttnA-LimbicB,-0.04428934062388811,False
DorsAttnA-SalVentAttnA,0.029893575472498296,False
DorsAttnA-SalVentAttnB,-0.018701052666119662,False
DorsAttnA-SomMotA,0.06183494383042785,False
DorsAttnA-SomMotB,0.07813818624099389,False
DorsAttnA-TempPar,-0.088292082053284,False
DorsAttnA-VisCent,0.02732452659687888,False
DorsAttnA-VisPeri,0.025679672372911556,False
DorsAttnB-DorsAttnB,0.1062216769999546,True
DorsAttnB-LimbicA,0.05760491208550429,False
DorsAttnB-LimbicB,0.043440045436333764,False
DorsAttnB-SalVentAttnA,0.025941536011454974,False
DorsAttnB-SalVentAttnB,0.06281516611012157,False
DorsAttnB-SomMotA,0.024335413726338413,False
DorsAttnB-SomMotB,-0.0006799785724933844,False
DorsAttnB-TempPar,-0.02034127038672999,False
DorsAttnB-VisCent,0.04935788442820664,False
DorsAttnB-VisPeri,0.03203297356831918,False
LimbicA-LimbicA,0.2732859313013995,True
LimbicA-LimbicB,0.1744248144830304,False
LimbicA-SalVentAttnA,0.015010666516405652,False
LimbicA-SalVentAttnB,0.19759373226734456,False
LimbicA-SomMotA,-0.0911820987732285,False
LimbicA-SomMotB,-0.06821182260959122,False
LimbicA-TempPar,-0.0331506023297163,False
LimbicA-VisCent,0.01958641164387777,False
