network_connection,fc,within_network
ContA-ContA,0.23702408761224997,True
ContA-ContB,0.19536962978682296,False
ContA-ContC,0.13328136879284752,False
ContA-DefaultA,0.13334846652216317,False
ContA-DefaultB,0.11723431751504136,False
ContA-DefaultC,0.06565256157354454,False
ContA-DorsAttnA,0.04107621564840915,False
ContA-DorsAttnB,0.11623799046963605,False
ContA-LimbicA,0.21852591290946669,False
ContA-LimbicB,0.07423442745173008,False
ContA-SalVentAttnA,0.0019744423622387705,False
ContA-SalVentAttnB,0.08283329309598153,False
ContA-SomMotA,-0.04078337222645959,False
ContA-SomMotB,-0.055587290031878574,False
ContA-TempPar,0.0816058483469321,False
ContA-VisCent,0.03838180111167887,False
ContA-VisPeri,-0.036659479165774694,False
ContB-ContB,0.26124160587895806,True
ContB-ContC,0.12541886944686123,False
ContB-DefaultA,0.10506334420946226,False
ContB-DefaultB,0.12474269420005234,False
ContB-DefaultC,0.1324656847045706,False
ContB-DorsAttnA,0.054894908675688,False
ContB-DorsAttnB,0.1223088795836288,False
ContB-LimbicA,0.13815034262466058,False
ContB-LimbicB,0.009360007433114874,False
ContB-SalVentAttnA,-0.03362413917853737,False
ContB-SalVentAttnB,0.00016834016074264633,False
ContB-SomMotA,-0.09394312813594918,False
ContB-SomMotB,-0.08657114872766736,False
ContB-TempPar,0.19245895864676807,False
ContB-VisCent,-0.004143435135563965,False
ContB-VisPeri,-0.11714811418909733,False
ContC-ContC,0.3286097446955214,True
ContC-DefaultA,0.3077585297782443,False
ContC-DefaultB,0.23286524119281146,False
ContC-DefaultC,-0.04261534734593205,False
ContC-DorsAttnA,-0.05006229297819892,False
ContC-DorsAttnB,0.026269360435780657,False
ContC-LimbicA,0.1829902698038845,False
ContC-LimbicB,0.14636380125588064,False
ContC-SalVentAttnA,0.0015886567565093956,False
ContC-SalVentAttnB,0.09876709448463433,False
ContC-SomMotA,0.027877338132782876,False
ContC-SomMotB,-0.062033884852595096,False
ContC-TempPar,-0.05072837285924913,False
ContC-VisCent,0.056008976048134027,False
ContC-VisPeri,-0.015148674692831073,False
DefaultA-DefaultA,0.2985381173517525,True
DefaultA-DefaultB,0.2270109720964552,False
DefaultA-DefaultC,-0.0494585376349854,False
DefaultA-DorsAttnA,-0.055197955032484924,False
DefaultA-DorsAttnB,0.026376531080839573,False
DefaultA-LimbicA,0.17256724774343402,False
DefaultA-LimbicB,0.13827922811524593,False
DefaultA-SalVentAttnA,0.005604201451873146,False
DefaultA-SalVentAttnB,0.08888454894537971,False
DefaultA-SomMotA,0.040899203209462616,False
DefaultA-SomMotB,-0.05452468788421955,False
DefaultA-TempPar,-0.061111909782662455,False
DefaultA-VisCent,0.06632750534680447,False
DefaultA-VisPeri,0.011675972860922973,False
DefaultB-DefaultB,0.2327019525726763,True
DefaultB-DefaultC,0.08398688565969978,False
DefaultB-DorsAttnA,-0.0577559101988333,False
DefaultB-DorsAttnB,0.002585660865900195,False
DefaultB-LimbicA,0.12682979034230227,False
DefaultB-LimbicB,0.11071990566362558,False
DefaultB-SalVentAttnA,-0.012123876424713529,False
DefaultB-SalVentAttnB,0.04405251189043449,False
DefaultB-SomMotA,0.01603380224305326,False
DefaultB-SomMotB,-0.03906067261385924,False
DefaultB-TempPar,-0.027803473484782577,False
DefaultB-VisCent,0.0584121025825091,False
DefaultB-VisPeri,-0.013226994676537818,False
DefaultC-DefaultC,0.2886886159098519,True
DefaultC-DorsAttnA,-0.016733726649024273,False
DefaultC-DorsAttnB,0.030751571216778184,False
DefaultC-LimbicA,-0.0006492127731432464,False
DefaultC-LimbicB,0.021919402653916082,False
