network_connection,fc,within_network
ContA-ContA,0.2501858698403354,True
ContA-ContB,0.15200818197982682,False
ContA-ContC,0.08578645138825054,False
ContA-DefaultA,0.11276503285621066,False
ContA-DefaultB,0.11106943456255397,False
ContA-DefaultC,0.0719019485337756,False
ContA-DorsAttnA,0.027020964493269857,False
ContA-DorsAttnB,0.09102453541479294,False
ContA-LimbicA,0.2313512797352928,False
ContA-LimbicB,0.13819029451210837,False
ContA-SalVentAttnA,0.046648591916864615,False
ContA-SalVentAttnB,0.1728355878041977,False
ContA-SomMotA,-0.05560763860981038,False
ContA-SomMotB,-0.012554498208704284,False
ContA-TempPar,0.046405910083498085,False
ContA-VisCent,0.045036267076014595,False
ContA-VisPeri,-0.05194006946968108,False
ContB-ContB,0.18045477668515997,True
ContB-ContC,0.06940020355740988,False
ContB-DefaultA,0.06999742457984845,False
ContB-DefaultB,0.10507901133158791,False
ContB-DefaultC,0.13411034035980182,False
ContB-DorsAttnA,0.03333550812597987,False
ContB-DorsAttnB,0.06264602161607641,False
ContB-LimbicA,0.12869461054994577,False
ContB-LimbicB,0.0788275142270614,False
ContB-SalVentAttnA,0.007253369308614371,False
ContB-SalVentAttnB,0.0639931833948362,False
ContB-SomMotA,-0.039564774349629024,False
ContB-SomMotB,-0.003135064261150252,False
ContB-TempPar,0.13166240954600122,False
ContB-VisCent,0.03211642471245521,False
ContB-VisPeri,-0.060543252599102,False
ContC-ContC,0.28035957051835625,True
ContC-DefaultA,0.25896695036943024,False
ContC-DefaultB,0.16927566796898522,False
ContC-DefaultC,0.014665301037054866,False
ContC-DorsAttnA,0.010695693729616223,False
ContC-DorsAttnB,0.08782087177806443,False
ContC-LimbicA,0.1582108283385336,False
ContC-LimbicB,0.22478180163578404,False
ContC-SalVentAttnA,0.07467630240774388,False
ContC-SalVentAttnB,0.23540303656586728,False
ContC-SomMotA,-0.005057530030022696,False
ContC-SomMotB,-0.022083847893896613,False
ContC-TempPar,-0.02618017284261258,False
ContC-VisCent,0.06908935285892336,False
ContC-VisPeri,0.03895411978700095,False
DefaultA-DefaultA,0.2779615977400805,True
DefaultA-DefaultB,0.21323630094917764,False
DefaultA-DefaultC,0.04879174577558323,False
DefaultA-DorsAttnA,-0.013882980337521477,False
DefaultA-DorsAttnB,0.07447085044294448,False
DefaultA-LimbicA,0.16960846563009938,False
DefaultA-LimbicB,0.22133994920999772,False
DefaultA-SalVentAttnA,0.06493886594790375,False
DefaultA-SalVentAttnB,0.21942924876065642,False
DefaultA-SomMotA,-0.0005016735465355856,False
DefaultA-SomMotB,-0.0197993028223556,False
DefaultA-TempPar,0.019293585315022618,False
DefaultA-VisCent,0.0704121692813568,False
DefaultA-VisPeri,0.032986021172190155,False
DefaultB-DefaultB,0.25023446272694067,True
DefaultB-DefaultC,0.1989369955658096,False
DefaultB-DorsAttnA,-0.06442721381457113,False
DefaultB-DorsAttnB,0.01516576574290755,False
DefaultB-LimbicA,0.12899637954512636,False
DefaultB-LimbicB,0.1506813474623669,False
DefaultB-SalVentAttnA,0.01873416300287408,False
DefaultB-SalVentAttnB,0.12396232135992508,False
DefaultB-SomMotA,-0.011399603259788026,False
DefaultB-SomMotB,-0.009957843519288256,False
DefaultB-TempPar,0.09978982598952109,False
DefaultB-VisCent,0.030016348424381528,False
DefaultB-VisPeri,0.0020387904058679854,False
DefaultC-DefaultC,0.38692885690566564,True
DefaultC-DorsAttnA,-0.09810749607285364,False
DefaultC-DorsAttnB,-0.03043045578508182,False
DefaultC-LimbicA,0.026160637908193098,False
DefaultC-LimbicB,0.037976773237825216,False
DefaultC-SalVentAttnA,-0.01665611854361382,False
DefaultC-SalVentAttnB,-0.020106797915010896,False
DefaultC-SomMotA,-0.020937301043296837,False
DefaultC-SomMotB,-0.014504965661717549,False
DefaultC-TempPar,0.35923400452898147,False
DefaultC-VisCent,-0.0025100597654614015,False
DefaultC-VisPeri,-0.03705093849704207,False
DorsAttnA-DorsAttnA,0.28809961866964773,True
DorsAttnA-DorsAttnB,0.12239414821755938,False
DorsAttnA-LimbicA,0.07611235735919877,False
DorsAttnA-LimbicB,-0.016282544003582332,False
DorsAttnA-SalVentAttnA,0.05527307425852048,False
DorsAttnA-SalVentAttnB,0.04045070831227079,False
DorsAttnA-SomMotA,-0.018256463234507483,False
DorsAttnA-SomMotB,0.02673045275114717,False
DorsAttnA-TempPar,-0.09240427361954968,False
DorsAttnA-VisCent,0.03984456965661226,False
DorsAttnA-VisPeri,-0.07064600284103911,False
DorsAttnB-DorsAttnB,0.13301927021470877,True
DorsAttnB-LimbicA,0.11865030513371506,False
DorsAttnB-LimbicB,0.09993050894183649,False
DorsAttnB-SalVentAttnA,0.05844353183820326,False
DorsAttnB-SalVentAttnB,0.13670354343104832,False
DorsAttnB-SomMotA,-0.009061971376911648,False
DorsAttnB-SomMotB,-0.021372262602434695,False
DorsAttnB-TempPar,-0.02166487234552988,False
DorsAttnB-VisCent,0.07644249503439379,False
DorsAttnB-VisPeri,-0.0017808256582303034,False
LimbicA-LimbicA,0.2503552985582415,True
LimbicA-LimbicB,0.18958089003532233,False
LimbicA-SalVentAttnA,0.06826682286558046,False
LimbicA-SalVentAttnB,0.23315288867458295,False
LimbicA-SomMotA,-0.04964768902359921,False
LimbicA-SomMotB,-0.014921236153388714,False
LimbicA-TempPar,-0.002371458574355542,False
LimbicA-VisCent,0.0601524638965445,False
LimbicA-VisPeri,-0.043992516001740554,False
LimbicB-LimbicB,0.24527805956373874,True
LimbicB-SalVentAttnA,0.09185131386641826,False
LimbicB-SalVentAttnB,0.2587689885535381,False
LimbicB-SomMotA,-0.0029063577142531376,False
LimbicB-SomMotB,0.01043517916052975,False
LimbicB-TempPar,-0.0007833088188492038,False
LimbicB-VisCent,0.08945634486680501,False
LimbicB-VisPeri,0.044374042710577134,False
SalVentAttnA-SalVentAttnA,0.06504334864674093,True
SalVentAttnA-SalVentAttnB,0.10403507604912463,False
SalVentAttnA-SomMotA,-0.0008748313105431371,False
SalVentAttnA-SomMotB,0.02328058510485764,False
SalVentAttnA-TempPar,-0.028971695349886604,False
SalVentAttnA-VisCent,0.04154524371957987,False
SalVentAttnA-VisPeri,0.010095763147962641,False
SalVentAttnB-SalVentAttnB,0.29733767277060535,True
SalVentAttnB-SomMotA,-0.04305431018898132,False
SalVentAttnB-SomMotB,-0.020976827106985785,False
SalVentAttnB-TempPar,-0.06181148825930638,False
SalVentAttnB-VisCent,0.08082048834953706,False
SalVentAttnB-VisPeri,0.02329160213208995,False
SomMotA-SomMotA,0.16179802161235438,True
SomMotA-SomMotB,0.08079779095510406,False
SomMotA-TempPar,-0.02591324646344047,False
SomMotA-VisCent,0.06888503093009225,False
SomMotA-VisPeri,0.14750705227695626,False
SomMotB-SomMotB,0.118180080160328,True
SomMotB-TempPar,-0.06309272498138092,False
SomMotB-VisCent,0.03903549125962216,False
SomMotB-VisPeri,0.04148215443488091,False
TempPar-TempPar,0.5352332106064367,True
TempPar-VisCent,-0.009601356549464223,False
TempPar-VisPeri,-0.06953018558522658,False
VisCent-VisCent,0.08861867933807013,True
VisCent-VisPeri,0.0687116676786274,False
VisPeri-VisPeri,0.22313466813019636,True
