network_connection,fc,within_network
ContA-ContA,0.2885789743075109,True
ContA-ContB,0.1268554884289953,False
ContA-ContC,0.11884287513984614,False
ContA-DefaultA,0.10685519256644187,False
ContA-DefaultB,0.06772097416159074,False
ContA-DefaultC,-0.04724975977279755,False
ContA-DorsAttnA,0.04358214210514631,False
ContA-DorsAttnB,0.07497313020797321,False
ContA-LimbicA,0.28437478312654046,False
ContA-LimbicB,0.17571217913694073,False
ContA-SalVentAttnA,0.020514888311969647,False
ContA-SalVentAttnB,0.18232979463020035,False
ContA-SomMotA,-0.11740676116675254,False
ContA-SomMotB,-0.03174093477471505,False
ContA-TempPar,-0.13146157061371647,False
ContA-VisCent,0.012644563332573099,False
ContA-VisPeri,-0.11440704718083902,False
ContB-ContB,0.1717281625276969,True
ContB-ContC,0.0858469162549799,False
ContB-DefaultA,0.07435289996977539,False
ContB-DefaultB,0.07348195603240743,False
ContB-DefaultC,0.06555976177447459,False
ContB-DorsAttnA,0.027040326542415626,False
ContB-DorsAttnB,0.044250217322241346,False
ContB-LimbicA,0.08512953842297365,False
ContB-LimbicB,0.03699029925759392,False
ContB-SalVentAttnA,-0.027564611642201777,False
ContB-SalVentAttnB,0.0072146542774164345,False
ContB-SomMotA,-0.0897574363774005,False
ContB-SomMotB,-0.0614824296781791,False
ContB-TempPar,0.07655289110620801,False
ContB-VisCent,0.015614580979731335,False
ContB-VisPeri,-0.10137469924208274,False
ContC-ContC,0.27181478643862483,True
ContC-DefaultA,0.25835392132831714,False
ContC-DefaultB,0.11170636153449343,False
ContC-DefaultC,-0.05618526656036133,False
ContC-DorsAttnA,-0.036431177711601634,False
ContC-DorsAttnB,0.052072621284710414,False
ContC-LimbicA,0.1521939157313245,False
ContC-LimbicB,0.15314400034138434,False
ContC-SalVentAttnA,0.027123963035266055,False
ContC-SalVentAttnB,0.14297374232336005,False
ContC-SomMotA,-0.021066513675990262,False
ContC-SomMotB,-0.05278311855677053,False
ContC-TempPar,-0.0534893799113518,False
ContC-VisCent,0.044566774639574286,False
ContC-VisPeri,-0.041807457150827884,False
DefaultA-DefaultA,0.25930786718796783,True
DefaultA-DefaultB,0.13188033275739966,False
