network_connection,fc,within_network
ContA-ContA,0.16674511389004254,True
ContA-ContB,0.10136727321484629,False
ContA-ContC,0.07941498464265986,False
ContA-DefaultA,0.06126841778223831,False
ContA-DefaultB,0.06434035436657633,False
ContA-DefaultC,0.06428279736735694,False
ContA-DorsAttnA,-0.04349364016391673,False
ContA-DorsAttnB,0.0400837713101387,False
ContA-LimbicA,0.1470992378820778,False
ContA-LimbicB,0.09039792365788704,False
ContA-SalVentAttnA,0.009379834977673016,False
ContA-SalVentAttnB,0.11176777789245229,False
ContA-SomMotA,-0.05738816650303376,False
ContA-SomMotB,-0.06425223577433752,False
ContA-TempPar,0.06671016581361033,False
ContA-VisCent,0.014511238171478603,False
ContA-VisPeri,-0.04545463369902614,False
ContB-ContB,0.19830689320270634,True
ContB-ContC,0.08502443120311569,False
ContB-DefaultA,0.05243881927818309,False
ContB-DefaultB,0.15125226109951437,False
ContB-DefaultC,0.24730109629775882,False
ContB-DorsAttnA,-0.04236109737930163,False
ContB-DorsAttnB,0.014852521672885132,False
ContB-LimbicA,0.08636227308064574,False
ContB-LimbicB,-0.02653042361495124,False
ContB-SalVentAttnA,-0.0656315855591532,False
ContB-SalVentAttnB,-0.027128939514775866,False
ContB-SomMotA,-0.0668370213821258,False
ContB-SomMotB,-0.10817153384390121,False
ContB-TempPar,0.29689046682436154,False
ContB-VisCent,-0.004910494500100862,False
ContB-VisPeri,-0.06203780232305572,False
ContC-ContC,0.14105613230180192,True
ContC-DefaultA,0.10191220857200749,False
ContC-DefaultB,0.09562364857240074,False
ContC-DefaultC,0.09750866434253697,False
ContC-DorsAttnA,-0.04804487243410936,False
ContC-DorsAttnB,0.0186550951601631,False
ContC-LimbicA,0.09639570581495595,False
ContC-LimbicB,0.07875799046898686,False
ContC-SalVentAttnA,0.007053310070330786,False
ContC-SalVentAttnB,0.09062794888711063,False
ContC-SomMotA,-0.045097210602590546,False
ContC-SomMotB,-0.05877408790285659,False
ContC-TempPar,0.08073367625585609,False
ContC-VisCent,0.007962273409681819,False
ContC-VisPeri,-0.04161899924277138,False
DefaultA-DefaultA,0.09821776817382875,True
DefaultA-DefaultB,0.11450778162099667,False
DefaultA-DefaultC,0.11170006856144579,False
DefaultA-DorsAttnA,-0.06748262289268504,False
DefaultA-DorsAttnB,-0.0047856849227257674,False
DefaultA-LimbicA,0.0709851479735757,False
DefaultA-LimbicB,0.0707677735577004,False
DefaultA-SalVentAttnA,-0.0007448946372347007,False
DefaultA-SalVentAttnB,0.07305559753261809,False
DefaultA-SomMotA,-0.031532213570592105,False
DefaultA-SomMotB,-0.05230695724217573,False
DefaultA-TempPar,0.09174549502800528,False
DefaultA-VisCent,0.016921999676709893,False
DefaultA-VisPeri,-0.022312630221513884,False
DefaultB-DefaultB,0.22600884146918856,True
DefaultB-DefaultC,0.31598957279746964,False
DefaultB-DorsAttnA,-0.10991973572682688,False
DefaultB-DorsAttnB,-0.035875541666972904,False
DefaultB-LimbicA,0.06551676666232006,False
DefaultB-LimbicB,-0.003424940154855076,False
DefaultB-SalVentAttnA,-0.06690356665780901,False
DefaultB-SalVentAttnB,-0.01431736925709387,False
DefaultB-SomMotA,-0.0675576058822217,False
DefaultB-SomMotB,-0.11778545472624972,False
DefaultB-TempPar,0.3115865067072861,False
DefaultB-VisCent,-0.006034502218558893,False
DefaultB-VisPeri,-0.05902233221011608,False
DefaultC-DefaultC,0.5032897305251122,True
DefaultC-DorsAttnA,-0.15300818608955027,False
DefaultC-DorsAttnB,-0.05538436778462017,False
DefaultC-LimbicA,0.0635995142113755,False
DefaultC-LimbicB,-0.06341134606968982,False
DefaultC-SalVentAttnA,-0.1191610061664152,False
DefaultC-SalVentAttnB,-0.09385726463226347,False
DefaultC-SomMotA,-0.10338566552922089,False
DefaultC-SomMotB,-0.1759708334989162,False
DefaultC-TempPar,0.5443641852544094,False
DefaultC-VisCent,-0.01958176040953762,False
DefaultC-VisPeri,-0.10331490699575914,False
DorsAttnA-DorsAttnA,0.17973339742232383,True
DorsAttnA-DorsAttnB,0.0584737445272801,False
DorsAttnA-LimbicA,-0.04068188287196985,False
DorsAttnA-LimbicB,-0.04319163191215952,False
DorsAttnA-SalVentAttnA,0.027443510947414946,False
DorsAttnA-SalVentAttnB,-0.017168519727135054,False
DorsAttnA-SomMotA,0.02062549226618468,False
DorsAttnA-SomMotB,0.06672930598456318,False
DorsAttnA-TempPar,-0.16102802893256024,False
DorsAttnA-VisCent,-0.007861225360497805,False
DorsAttnA-VisPeri,0.01514234218986872,False
DorsAttnB-DorsAttnB,0.07127267211462741,True
DorsAttnB-LimbicA,0.03155407811289802,False
DorsAttnB-LimbicB,0.02984110646777944,False
DorsAttnB-SalVentAttnA,0.02816723877949012,False
DorsAttnB-SalVentAttnB,0.05441955174746265,False
DorsAttnB-SomMotA,-0.01584697576909882,False
DorsAttnB-SomMotB,-0.017300953239982205,False
DorsAttnB-TempPar,-0.05605446993526447,False
DorsAttnB-VisCent,0.006007902480905869,False
DorsAttnB-VisPeri,0.007144677392246818,False
LimbicA-LimbicA,0.13314730157839494,True
LimbicA-LimbicB,0.10004763720282718,False
LimbicA-SalVentAttnA,0.014121465959217084,False
LimbicA-SalVentAttnB,0.11531124970932753,False
LimbicA-SomMotA,-0.04440830059438549,False
LimbicA-SomMotB,-0.049756067025318915,False
LimbicA-TempPar,0.05186286131484086,False
LimbicA-VisCent,0.018397026492418145,False
LimbicA-VisPeri,-0.03841067586335317,False
LimbicB-LimbicB,0.15265265707170483,True
LimbicB-SalVentAttnA,0.073725057933185,False
LimbicB-SalVentAttnB,0.1761406477085276,False
LimbicB-SomMotA,-0.011615408979504038,False
LimbicB-SomMotB,0.008796767107709874,False
LimbicB-TempPar,-0.1055450246455111,False
LimbicB-VisCent,0.03444679535204057,False
LimbicB-VisPeri,-0.013950208332647583,False
SalVentAttnA-SalVentAttnA,0.07482187919954031,True
SalVentAttnA-SalVentAttnB,0.09333960936816345,False
SalVentAttnA-SomMotA,0.004287060048576183,False
SalVentAttnA-SomMotB,0.03907031764326843,False
SalVentAttnA-TempPar,-0.14744950960991077,False
SalVentAttnA-VisCent,0.005717171010422308,False
SalVentAttnA-VisPeri,0.0008198321111313799,False
SalVentAttnB-SalVentAttnB,0.21301019938007743,True
SalVentAttnB-SomMotA,-0.028118039422191418,False
SalVentAttnB-SomMotB,-0.004370080619916667,False
SalVentAttnB-TempPar,-0.1326080897479211,False
SalVentAttnB-VisCent,0.023266656128318373,False
SalVentAttnB-VisPeri,-0.013328817287209667,False
SomMotA-SomMotA,0.08689328713718014,True
SomMotA-SomMotB,0.08892962676036253,False
SomMotA-TempPar,-0.11364535552458054,False
SomMotA-VisCent,0.03778399659272199,False
SomMotA-VisPeri,0.09999325866270661,False
SomMotB-SomMotB,0.14201326779625137,True
SomMotB-TempPar,-0.20290747191894756,False
SomMotB-VisCent,0.03251640875722464,False
SomMotB-VisPeri,0.07304749785929965,False
TempPar-TempPar,0.666185287409107,True
TempPar-VisCent,-0.034045925978514975,False
TempPar-VisPeri,-0.114687612699302,False
VisCent-VisCent,0.0454927941857915,True
VisCent-VisPeri,0.039346252064053074,False
VisPeri-VisPeri,0.16519499222266823,True
