network_connection,fc,within_network
ContA-ContA,0.2661167558107321,True
ContA-ContB,0.22035430067234194,False
ContA-ContC,0.15513394760425514,False
ContA-DefaultA,0.16564278507082583,False
ContA-DefaultB,0.2083084967817996,False
ContA-DefaultC,0.1448040963394102,False
ContA-DorsAttnA,-0.029049789714547133,False
ContA-DorsAttnB,0.046056910630130704,False
ContA-LimbicA,0.26322480978786483,False
ContA-LimbicB,0.15812145529994398,False
ContA-SalVentAttnA,-0.010308187686494245,False
ContA-SalVentAttnB,0.1313965291926622,False
ContA-SomMotA,-0.17074897938244088,False
ContA-SomMotB,-0.0970692710670451,False
ContA-TempPar,-0.0031389079775743806,False
ContA-VisCent,-0.004450947538309397,False
ContA-VisPeri,-0.19744767567181884,False
ContB-ContB,0.2216865903920007,True
ContB-ContC,0.15747608902292867,False
ContB-DefaultA,0.15433846200244603,False
ContB-DefaultB,0.20967458027111532,False
ContB-DefaultC,0.17395383822180974,False
ContB-DorsAttnA,0.007870801630060476,False
ContB-DorsAttnB,0.037579312863795115,False
ContB-LimbicA,0.2049742156862646,False
ContB-LimbicB,0.10231402777329898,False
ContB-SalVentAttnA,-0.04008941557000015,False
ContB-SalVentAttnB,0.06056019099571933,False
ContB-SomMotA,-0.17761768144732162,False
ContB-SomMotB,-0.09095285021151354,False
ContB-TempPar,0.033028162365719434,False
ContB-VisCent,-0.0187180949195853,False
ContB-VisPeri,-0.21341849477542016,False
ContC-ContC,0.27854194664713106,True
ContC-DefaultA,0.29557469470712655,False
ContC-DefaultB,0.3100045967890867,False
ContC-DefaultC,0.1286081034573345,False
ContC-DorsAttnA,-0.10146737342299718,False
ContC-DorsAttnB,-0.01958952099274972,False
ContC-LimbicA,0.190815854982478,False
ContC-LimbicB,0.15288832783441775,False
ContC-SalVentAttnA,-0.0545684279824443,False
ContC-SalVentAttnB,0.06536740443183187,False
ContC-SomMotA,-0.08809271827290985,False
ContC-SomMotB,-0.10321271733038256,False
ContC-TempPar,-0.05361509490784041,False
ContC-VisCent,0.025819957433121654,False
ContC-VisPeri,-0.11242052208874807,False
DefaultA-DefaultA,0.32206241105143946,True
DefaultA-DefaultB,0.3296713504729834,False
DefaultA-DefaultC,0.12931509872328903,False
DefaultA-DorsAttnA,-0.09975702871671373,False
DefaultA-DorsAttnB,-0.019826853949195387,False
DefaultA-LimbicA,0.20088134860161438,False
DefaultA-LimbicB,0.16333521662378037,False
DefaultA-SalVentAttnA,-0.0515544880945962,False
DefaultA-SalVentAttnB,0.06325176919667419,False
DefaultA-SomMotA,-0.09372424506977098,False
DefaultA-SomMotB,-0.10671588947969705,False
DefaultA-TempPar,-0.050974442252414986,False
DefaultA-VisCent,0.025918704584928426,False
DefaultA-VisPeri,-0.1273145589946557,False
DefaultB-DefaultB,0.41012501465552886,True
DefaultB-DefaultC,0.26847001220293826,False
DefaultB-DorsAttnA,-0.13057607833577492,False
DefaultB-DorsAttnB,-0.03957584578363747,False
DefaultB-LimbicA,0.2149799116722992,False
DefaultB-LimbicB,0.1641638425311378,False
DefaultB-SalVentAttnA,-0.06628268915438161,False
DefaultB-SalVentAttnB,0.05502018262617026,False
DefaultB-SomMotA,-0.1431930069271658,False
DefaultB-SomMotB,-0.13213210370164447,False
DefaultB-TempPar,0.00925410579962098,False
DefaultB-VisCent,0.004342925066892408,False
DefaultB-VisPeri,-0.17581547904152367,False
DefaultC-DefaultC,0.33526195270900994,True
DefaultC-DorsAttnA,-0.126792380456703,False
DefaultC-DorsAttnB,-0.04085261186201792,False
DefaultC-LimbicA,0.10301019680450914,False
DefaultC-LimbicB,0.09505160700812411,False
DefaultC-SalVentAttnA,-0.03675868790155269,False
DefaultC-SalVentAttnB,0.05045482197519788,False
DefaultC-SomMotA,-0.15961800250289743,False
DefaultC-SomMotB,-0.09814046475507968,False
DefaultC-TempPar,0.1886787877964459,False
DefaultC-VisCent,-0.034860292719684785,False
DefaultC-VisPeri,-0.17747318561554104,False
DorsAttnA-DorsAttnA,0.31203728574321893,True
DorsAttnA-DorsAttnB,0.08765197660648852,False
DorsAttnA-LimbicA,-0.005429218085091554,False
DorsAttnA-LimbicB,-0.1351825756285178,False
DorsAttnA-SalVentAttnA,-0.025110742213960546,False
DorsAttnA-SalVentAttnB,-0.11730558424611989,False
DorsAttnA-SomMotA,-0.01169614561721761,False
DorsAttnA-SomMotB,0.06825652733161632,False
DorsAttnA-TempPar,-0.07480062543982484,False
DorsAttnA-VisCent,-0.03753861451067991,False
DorsAttnA-VisPeri,-0.05057640480994452,False
DorsAttnB-DorsAttnB,0.08418697458664498,True
DorsAttnB-LimbicA,0.04917980180000766,False
DorsAttnB-LimbicB,0.015797674092934286,False
DorsAttnB-SalVentAttnA,0.01791816337179971,False
DorsAttnB-SalVentAttnB,0.04189302775358832,False
DorsAttnB-SomMotA,-0.03511292948277692,False
DorsAttnB-SomMotB,-0.014908115949006458,False
DorsAttnB-TempPar,-0.045690459092662374,False
DorsAttnB-VisCent,0.006231426899714646,False
DorsAttnB-VisPeri,-0.0207401904663963,False
LimbicA-LimbicA,0.27251835654775103,True
LimbicA-LimbicB,0.17503564845528258,False
LimbicA-SalVentAttnA,-0.01376610519168851,False
LimbicA-SalVentAttnB,0.14676095482699344,False
LimbicA-SomMotA,-0.16603737761121737,False
LimbicA-SomMotB,-0.09626685787192941,False
LimbicA-TempPar,-0.044012889915288296,False
LimbicA-VisCent,-0.004779922251844556,False
LimbicA-VisPeri,-0.2041329422795763,False
LimbicB-LimbicB,0.20442530706610454,True
LimbicB-SalVentAttnA,0.03467168259698678,False
LimbicB-SalVentAttnB,0.21200168191790753,False
LimbicB-SomMotA,-0.09832131444163163,False
LimbicB-SomMotB,-0.08376645865117863,False
LimbicB-TempPar,-0.037287274571952155,False
LimbicB-VisCent,0.0176322055499681,False
LimbicB-VisPeri,-0.09814559143279877,False
SalVentAttnA-SalVentAttnA,0.07372317729458423,True
SalVentAttnA-SalVentAttnB,0.09309487090227632,False
SalVentAttnA-SomMotA,0.005234060014341226,False
SalVentAttnA-SomMotB,0.023157978692880467,False
SalVentAttnA-TempPar,-0.027990339683428966,False
SalVentAttnA-VisCent,-0.009528926397689342,False
SalVentAttnA-VisPeri,0.026212800935705955,False
SalVentAttnB-SalVentAttnB,0.2914483995299577,True
SalVentAttnB-SomMotA,-0.11256145311202248,False
SalVentAttnB-SomMotB,-0.06931396709287294,False
SalVentAttnB-TempPar,-0.03344808386889758,False
SalVentAttnB-VisCent,-0.011668219417112229,False
SalVentAttnB-VisPeri,-0.08339874211422053,False
SomMotA-SomMotA,0.23151631893100832,True
SomMotA-SomMotB,0.09557392814572488,False
SomMotA-TempPar,-0.07567073115261766,False
SomMotA-VisCent,0.08501749781572908,False
SomMotA-VisPeri,0.25783753641972523,False
SomMotB-SomMotB,0.09843922105419846,True
SomMotB-TempPar,-0.037485276637693736,False
SomMotB-VisCent,0.014934195018936138,False
SomMotB-VisPeri,0.08737823991626369,False
TempPar-TempPar,0.333225399646976,True
TempPar-VisCent,-0.05957565738392239,False
TempPar-VisPeri,-0.07448139878537886,False
VisCent-VisCent,0.06854348781961446,True
VisCent-VisPeri,0.09359268525034871,False
VisPeri-VisPeri,0.34530549652599507,True
