network_connection,fc,within_network
ContA-ContA,0.25471754380542605,True
ContA-ContB,0.13423176437206036,False
ContA-ContC,0.03790632155975762,False
ContA-DefaultA,0.0814039628304099,False
ContA-DefaultB,0.08460316825390507,False
ContA-DefaultC,0.054377677881679604,False
ContA-DorsAttnA,0.0016418538423120562,False
ContA-DorsAttnB,0.04727652743956636,False
ContA-LimbicA,0.24643426039791294,False
ContA-LimbicB,0.08119898040956929,False
ContA-SalVentAttnA,0.029467311103819747,False
ContA-SalVentAttnB,0.10142080766030091,False
ContA-SomMotA,0.004647508084409623,False
ContA-SomMotB,-0.0035871845623857428,False
ContA-TempPar,-0.024303283171522975,False
ContA-VisCent,0.006717004300978567,False
ContA-VisPeri,-0.04630982409471746,False
ContB-ContB,0.1814546252795233,True
ContB-ContC,0.04461751161471864,False
ContB-DefaultA,0.01593832087923587,False
ContB-DefaultB,0.05939966368963206,False
ContB-DefaultC,0.16242286397754913,False
ContB-DorsAttnA,0.034036426739804754,False
ContB-DorsAttnB,0.07812736260301437,False
ContB-LimbicA,0.09037928818302048,False
ContB-LimbicB,0.03631066838593697,False
ContB-SalVentAttnA,0.014186359185758161,False
ContB-SalVentAttnB,0.013143414676269902,False
ContB-SomMotA,-0.014768380825789768,False
ContB-SomMotB,-0.010030373555652864,False
ContB-TempPar,0.16866948688980582,False
ContB-VisCent,0.004206058206683867,False
ContB-VisPeri,-0.052416280932607424,False
ContC-ContC,0.2634400813514459,True
ContC-DefaultA,0.23217941725010302,False
ContC-DefaultB,0.17869949434499624,False
ContC-DefaultC,0.0391441533914164,False
ContC-DorsAttnA,-0.049228933020943555,False
ContC-DorsAttnB,0.008212672002450867,False
ContC-LimbicA,0.11802082559347919,False
ContC-LimbicB,0.16268099167760966,False
ContC-SalVentAttnA,0.06691918831329381,False
ContC-SalVentAttnB,0.16693591148475406,False
ContC-SomMotA,0.0013896331104378216,False
ContC-SomMotB,0.034592686306564174,False
ContC-TempPar,-0.08385009389827515,False
ContC-VisCent,0.051777082614696684,False
ContC-VisPeri,0.036070287715932535,False
DefaultA-DefaultA,0.24822658547511015,True
DefaultA-DefaultB,0.2245225111023984,False
DefaultA-DefaultC,0.042618488702604256,False
DefaultA-DorsAttnA,-0.08080147619415594,False
DefaultA-DorsAttnB,-0.01822174468969796,False
DefaultA-LimbicA,0.15450051465199222,False
DefaultA-LimbicB,0.16845250895961666,False
DefaultA-SalVentAttnA,0.06972606766178949,False
DefaultA-SalVentAttnB,0.16987234276299165,False
DefaultA-SomMotA,-0.021615916083313928,False
DefaultA-SomMotB,0.024081791539178016,False
DefaultA-TempPar,-0.11812865539113912,False
DefaultA-VisCent,0.033544319074161714,False
DefaultA-VisPeri,-0.0026328010629831544,False
DefaultB-DefaultB,0.3384929059203954,True
DefaultB-DefaultC,0.2627455829473909,False
DefaultB-DorsAttnA,-0.12499132600882713,False
DefaultB-DorsAttnB,-0.05042132692105823,False
DefaultB-LimbicA,0.12865058636711357,False
DefaultB-LimbicB,0.13154088351824733,False
DefaultB-SalVentAttnA,0.03183154101952647,False
DefaultB-SalVentAttnB,0.07843213041237693,False
DefaultB-SomMotA,-0.0534416011269747,False
DefaultB-SomMotB,-0.011377210724969427,False
DefaultB-TempPar,0.017936324051036217,False
DefaultB-VisCent,-0.0011340391280958474,False
DefaultB-VisPeri,-0.045338424705090266,False
DefaultC-DefaultC,0.4784583386472616,True
DefaultC-DorsAttnA,-0.081654177964731,False
DefaultC-DorsAttnB,-0.003687350245285887,False
DefaultC-LimbicA,0.035231208039372824,False
DefaultC-LimbicB,0.022699061439585874,False
DefaultC-SalVentAttnA,-0.02791131315988156,False
DefaultC-SalVentAttnB,-0.08882017131141746,False
DefaultC-SomMotA,-0.04383067289507427,False
DefaultC-SomMotB,-0.04583508236612339,False
DefaultC-TempPar,0.39230019080722933,False
DefaultC-VisCent,-0.010972547058840874,False
DefaultC-VisPeri,-0.0738312614566655,False
DorsAttnA-DorsAttnA,0.3343904840750632,True
DorsAttnA-DorsAttnB,0.17378835490140185,False
DorsAttnA-LimbicA,-0.04839724985304603,False
DorsAttnA-LimbicB,-0.06236923418571924,False
DorsAttnA-SalVentAttnA,0.0844876399918155,False
DorsAttnA-SalVentAttnB,0.032844798759492054,False
DorsAttnA-SomMotA,0.0902575672356664,False
DorsAttnA-SomMotB,0.13728875675848093,False
DorsAttnA-TempPar,0.026832832790744797,False
DorsAttnA-VisCent,0.018834589788877507,False
DorsAttnA-VisPeri,0.05438822640719359,False
DorsAttnB-DorsAttnB,0.18512948108113988,True
DorsAttnB-LimbicA,-0.008859040272531593,False
DorsAttnB-LimbicB,-0.011457702875278359,False
DorsAttnB-SalVentAttnA,0.058112277661043155,False
DorsAttnB-SalVentAttnB,0.056004557708119025,False
DorsAttnB-SomMotA,0.05579553400626312,False
DorsAttnB-SomMotB,0.03362775326875503,False
DorsAttnB-TempPar,0.09366504574570313,False
DorsAttnB-VisCent,0.05297446164107595,False
DorsAttnB-VisPeri,0.044804581311690884,False
LimbicA-LimbicA,0.2790333476083588,True
LimbicA-LimbicB,0.16447226057060493,False
LimbicA-SalVentAttnA,0.06265400759225043,False
LimbicA-SalVentAttnB,0.1787122945476541,False
LimbicA-SomMotA,-0.0253461374195587,False
LimbicA-SomMotB,0.01471482446512376,False
LimbicA-TempPar,-0.12199965455232267,False
LimbicA-VisCent,-0.00666891313737447,False
LimbicA-VisPeri,-0.052713167805969754,False
LimbicB-LimbicB,0.20617456554293667,True
LimbicB-SalVentAttnA,0.0982272536240182,False
LimbicB-SalVentAttnB,0.20962547903969772,False
LimbicB-SomMotA,-0.03763206100574857,False
LimbicB-SomMotB,0.04439418398456983,False
LimbicB-TempPar,-0.10909585741506783,False
LimbicB-VisCent,0.027749897052743132,False
LimbicB-VisPeri,-0.01732031810390445,False
SalVentAttnA-SalVentAttnA,0.10989610080660207,True
SalVentAttnA-SalVentAttnB,0.136537568868807,False
SalVentAttnA-SomMotA,0.012481330884232346,False
SalVentAttnA-SomMotB,0.0893821170153837,False
SalVentAttnA-TempPar,-0.05352740220942214,False
SalVentAttnA-VisCent,0.02446066269755663,False
SalVentAttnA-VisPeri,0.023451991867002864,False
SalVentAttnB-SalVentAttnB,0.27651040373373004,True
SalVentAttnB-SomMotA,-0.016234667099276314,False
SalVentAttnB-SomMotB,0.07015159607526923,False
SalVentAttnB-TempPar,-0.1932366307894945,False
SalVentAttnB-VisCent,0.03078738487835975,False
SalVentAttnB-VisPeri,0.024511736025475,False
SomMotA-SomMotA,0.2135776644247211,True
SomMotA-SomMotB,0.13149740585958594,False
SomMotA-TempPar,0.0036534963886967007,False
SomMotA-VisCent,0.12877799206690943,False
SomMotA-VisPeri,0.18658304831173217,False
