network_connection,fc,within_network
ContA-ContA,0.10365938945302683,True
ContA-ContB,0.07834749003173712,False
ContA-ContC,0.10671955292712149,False
ContA-DefaultA,0.10042852298739914,False
ContA-DefaultB,0.07723764938982314,False
ContA-DefaultC,0.020575682792981866,False
ContA-DorsAttnA,-0.016699178450323145,False
ContA-DorsAttnB,0.029396655477210553,False
ContA-LimbicA,0.10736315561187965,False
ContA-LimbicB,0.059697357151474166,False
ContA-SalVentAttnA,-0.008382912409102786,False
ContA-SalVentAttnB,0.07527272122398163,False
ContA-SomMotA,-0.02374121964328789,False
ContA-SomMotB,-0.04460906634673733,False
ContA-TempPar,-0.022408898674256963,False
ContA-VisCent,0.040393838261439365,False
ContA-VisPeri,-0.008383194059575149,False
ContB-ContB,0.11254426745722107,True
ContB-ContC,0.09128903460676231,False
ContB-DefaultA,0.0891561536899157,False
ContB-DefaultB,0.0963451250208306,False
ContB-DefaultC,0.10116071223496688,False
ContB-DorsAttnA,-0.02978727555480594,False
ContB-DorsAttnB,0.018062676044242592,False
ContB-LimbicA,0.06470697353821096,False
ContB-LimbicB,0.006752489599124942,False
ContB-SalVentAttnA,-0.04594329845239079,False
ContB-SalVentAttnB,0.01447879286799715,False
ContB-SomMotA,-0.021387610323236137,False
ContB-SomMotB,-0.05689138382412784,False
ContB-TempPar,0.09810259424530539,False
ContB-VisCent,0.053338543764992336,False
ContB-VisPeri,-0.00608211662769933,False
ContC-ContC,0.2228013703211122,True
ContC-DefaultA,0.20654961541129657,False
ContC-DefaultB,0.13198253709098384,False
ContC-DefaultC,-0.016490265649411324,False
ContC-DorsAttnA,-0.03286787264555017,False
ContC-DorsAttnB,0.011145635102857317,False
ContC-LimbicA,0.09789061069944732,False
ContC-LimbicB,0.058166043251693236,False
ContC-SalVentAttnA,-0.031437869566699035,False
ContC-SalVentAttnB,0.06753338881802359,False
ContC-SomMotA,0.005158448735371329,False
ContC-SomMotB,-0.03274561685071249,False
ContC-TempPar,-0.05219392767556632,False
ContC-VisCent,0.07391970360609028,False
ContC-VisPeri,0.04168658762364067,False
DefaultA-DefaultA,0.20315402327451293,True
DefaultA-DefaultB,0.14049054524967602,False
DefaultA-DefaultC,0.0022235703227424038,False
DefaultA-DorsAttnA,-0.04518123486137117,False
DefaultA-DorsAttnB,-0.0004925678204402446,False
DefaultA-LimbicA,0.09058340090910327,False
DefaultA-LimbicB,0.04839609073368034,False
DefaultA-SalVentAttnA,-0.04218158490563426,False
DefaultA-SalVentAttnB,0.05041148632446453,False
DefaultA-SomMotA,0.005426381112329127,False
DefaultA-SomMotB,-0.04948784770101294,False
DefaultA-TempPar,-0.040466003072776036,False
DefaultA-VisCent,0.07656386331899383,False
DefaultA-VisPeri,0.030612003387538788,False
DefaultB-DefaultB,0.17751058643258644,True
DefaultB-DefaultC,0.18871049517568705,False
DefaultB-DorsAttnA,-0.06665601853492749,False
DefaultB-DorsAttnB,-0.03798010791259668,False
DefaultB-LimbicA,0.05775073211178228,False
DefaultB-LimbicB,0.017472460623962252,False
DefaultB-SalVentAttnA,-0.047004968850184625,False
DefaultB-SalVentAttnB,0.004609314330805339,False
DefaultB-SomMotA,-0.037594099037384,False
DefaultB-SomMotB,-0.04859479397748888,False
DefaultB-TempPar,0.09644282921021838,False
DefaultB-VisCent,0.05728690853776237,False
DefaultB-VisPeri,-0.024492646953720724,False
DefaultC-DefaultC,0.4271813142000883,True
DefaultC-DorsAttnA,-0.08778546479753886,False
DefaultC-DorsAttnB,-0.066587383075298,False
DefaultC-LimbicA,0.0011278835748155486,False
DefaultC-LimbicB,-0.0242960206683417,False
DefaultC-SalVentAttnA,-0.04603092890666757,False
DefaultC-SalVentAttnB,-0.05468384842289785,False
DefaultC-SomMotA,-0.08683057896377212,False
DefaultC-SomMotB,-0.05329992225084843,False
DefaultC-TempPar,0.3397497620497376,False
DefaultC-VisCent,0.01083951629709443,False
DefaultC-VisPeri,-0.10330807622799483,False
DorsAttnA-DorsAttnA,0.14030480352156308,True
DorsAttnA-DorsAttnB,0.039300449595673706,False
DorsAttnA-LimbicA,-0.015038599463726356,False
DorsAttnA-LimbicB,-0.01803529736198637,False
DorsAttnA-SalVentAttnA,0.025679741851678994,False
DorsAttnA-SalVentAttnB,0.0017739679779757898,False
DorsAttnA-SomMotA,0.0264996196005296,False
DorsAttnA-SomMotB,0.06868814666631118,False
DorsAttnA-TempPar,-0.06295066366660053,False
DorsAttnA-VisCent,-0.011549910954975533,False
DorsAttnA-VisPeri,0.06007068505053433,False
DorsAttnB-DorsAttnB,0.06011275650863573,True
DorsAttnB-LimbicA,0.035410791389281236,False
DorsAttnB-LimbicB,0.02406093928380297,False
DorsAttnB-SalVentAttnA,0.014542815817653008,False
DorsAttnB-SalVentAttnB,0.05118441280495496,False
DorsAttnB-SomMotA,0.012248903194446211,False
DorsAttnB-SomMotB,-0.024020580767570954,False
DorsAttnB-TempPar,-0.053883277879047606,False
DorsAttnB-VisCent,0.01209919956944781,False
DorsAttnB-VisPeri,0.03155984212299069,False
LimbicA-LimbicA,0.1113567814060093,True
LimbicA-LimbicB,0.08257543791571952,False
LimbicA-SalVentAttnA,0.008399974775855775,False
LimbicA-SalVentAttnB,0.09606846403462058,False
LimbicA-SomMotA,-0.03367307725453016,False
LimbicA-SomMotB,-0.04480378268110004,False
LimbicA-TempPar,-0.04340698676116309,False
LimbicA-VisCent,0.02676560435175672,False
LimbicA-VisPeri,-0.02620142517783642,False
LimbicB-LimbicB,0.10323923328643982,True
LimbicB-SalVentAttnA,0.052966082806896145,False
LimbicB-SalVentAttnB,0.11883507180859539,False
LimbicB-SomMotA,-0.04311030131977691,False
LimbicB-SomMotB,-0.008409187825686608,False
LimbicB-TempPar,-0.06187082351506097,False
LimbicB-VisCent,-0.000980641008046578,False
LimbicB-VisPeri,-0.05537034522391685,False
SalVentAttnA-SalVentAttnA,0.06846875832453586,True
SalVentAttnA-SalVentAttnB,0.05866110522531396,False
SalVentAttnA-SomMotA,-0.016879396812425444,False
SalVentAttnA-SomMotB,0.04394492012054675,False
SalVentAttnA-TempPar,-0.06438605857042222,False
SalVentAttnA-VisCent,-0.03384501327374531,False
