network_connection,fc,within_network
ContA-ContA,0.2741431490450526,True
ContA-ContB,0.1420080998220553,False
ContA-ContC,0.13024701088469726,False
ContA-DefaultA,0.1260304623408609,False
ContA-DefaultB,0.08348259323439826,False
ContA-DefaultC,-0.03430878223946548,False
ContA-DorsAttnA,-0.047258717686335314,False
ContA-DorsAttnB,0.015034379243304538,False
ContA-LimbicA,0.2832796370855516,False
ContA-LimbicB,0.2278026368589561,False
ContA-SalVentAttnA,0.029593627731479073,False
ContA-SalVentAttnB,0.24831429952329725,False
ContA-SomMotA,-0.14598732163190636,False
ContA-SomMotB,-0.055553082423073816,False
ContA-TempPar,-0.11674303573345908,False
ContA-VisCent,-0.013346523773156739,False
ContA-VisPeri,-0.17852297958797286,False
ContB-ContB,0.1556063282637667,True
ContB-ContC,0.07780355939253038,False
ContB-DefaultA,0.05655374828229589,False
ContB-DefaultB,0.07399085469762669,False
ContB-DefaultC,0.09377327199946504,False
ContB-DorsAttnA,-0.01810578228014703,False
ContB-DorsAttnB,0.008664094144596419,False
ContB-LimbicA,0.16951409529599276,False
ContB-LimbicB,0.1266187570816084,False
ContB-SalVentAttnA,0.0013204809760704575,False
ContB-SalVentAttnB,0.11182833902442724,False
ContB-SomMotA,-0.10331183101136118,False
ContB-SomMotB,-0.02930806809297687,False
ContB-TempPar,0.030136044441630462,False
ContB-VisCent,-0.015156982157341663,False
ContB-VisPeri,-0.1356296873737647,False
ContC-ContC,0.1606184295522685,True
ContC-DefaultA,0.13811740326685176,False
ContC-DefaultB,0.07147505985998162,False
ContC-DefaultC,-0.007531171492166832,False
ContC-DorsAttnA,-0.05317384759698696,False
ContC-DorsAttnB,0.0004807822662733784,False
ContC-LimbicA,0.1324256008131447,False
ContC-LimbicB,0.1555383054631681,False
ContC-SalVentAttnA,0.02602230710769694,False
ContC-SalVentAttnB,0.16287615581951065,False
ContC-SomMotA,-0.052629938754836646,False
ContC-SomMotB,-0.025924333250248323,False
ContC-TempPar,-0.06852694237605517,False
ContC-VisCent,0.006980422247720388,False
ContC-VisPeri,-0.0843051903349863,False
DefaultA-DefaultA,0.14123439369503082,True
DefaultA-DefaultB,0.07008026990351672,False
DefaultA-DefaultC,-0.03213913860486271,False
DefaultA-DorsAttnA,-0.04868783994582374,False
DefaultA-DorsAttnB,-0.0011540954091404107,False
DefaultA-LimbicA,0.12296360681714572,False
DefaultA-LimbicB,0.1449417605245051,False
DefaultA-SalVentAttnA,0.02466486044141106,False
DefaultA-SalVentAttnB,0.1465212193685586,False
DefaultA-SomMotA,-0.05311314002244781,False
DefaultA-SomMotB,-0.022713896799887622,False
DefaultA-TempPar,-0.08614959309094312,False
DefaultA-VisCent,0.012947985999831569,False
DefaultA-VisPeri,-0.08231649312316147,False
DefaultB-DefaultB,0.11777101889320032,True
DefaultB-DefaultC,0.17829305138654317,False
DefaultB-DorsAttnA,-0.057985257134622735,False
DefaultB-DorsAttnB,-0.024632404159561333,False
DefaultB-LimbicA,0.09611896979199876,False
DefaultB-LimbicB,0.11305386416622926,False
DefaultB-SalVentAttnA,-0.0008758146445960709,False
DefaultB-SalVentAttnB,0.09692879786452388,False
DefaultB-SomMotA,-0.076344302993752,False
DefaultB-SomMotB,-0.028164952447638714,False
DefaultB-TempPar,0.10008120967270016,False
DefaultB-VisCent,-0.007688141497870679,False
DefaultB-VisPeri,-0.10023482792601554,False
DefaultC-DefaultC,0.5296266548973941,True
DefaultC-DorsAttnA,-0.08789947279956833,False
DefaultC-DorsAttnB,-0.06132112055522415,False
DefaultC-LimbicA,0.004519575686326813,False
DefaultC-LimbicB,0.05082379809205013,False
DefaultC-SalVentAttnA,-0.03806406965623522,False
DefaultC-SalVentAttnB,-0.009133380946975031,False
DefaultC-SomMotA,-0.09833243609866361,False
DefaultC-SomMotB,-0.034427240460912334,False
DefaultC-TempPar,0.4859677138136034,False
DefaultC-VisCent,-0.027617412798393366,False
DefaultC-VisPeri,-0.12487587013035091,False
DorsAttnA-DorsAttnA,0.19947852844226477,True
