network_connection,fc,within_network
ContA-ContA,0.23517872468369633,True
ContA-ContB,0.1436266913972901,False
ContA-ContC,0.06084408231721299,False
ContA-DefaultA,0.13248769899123428,False
ContA-DefaultB,0.12037256918711392,False
ContA-DefaultC,-0.013002092740875174,False
ContA-DorsAttnA,0.022655264031718334,False
ContA-DorsAttnB,0.04986824080793896,False
ContA-LimbicA,0.19169808938305544,False
ContA-LimbicB,0.06275852275527033,False
ContA-SalVentAttnA,-0.030398342267536935,False
ContA-SalVentAttnB,0.08450683566386624,False
ContA-SomMotA,-0.03416122404227438,False
ContA-SomMotB,-0.03754001015290534,False
ContA-TempPar,0.04306661430235351,False
ContA-VisCent,0.07063761334583735,False
ContA-VisPeri,-0.011792348425346998,False
ContB-ContB,0.15395716755873018,True
ContB-ContC,0.06702616250056845,False
ContB-DefaultA,0.07392549006365483,False
ContB-DefaultB,0.07793037722150571,False
ContB-DefaultC,0.06999767616949248,False
ContB-DorsAttnA,0.015031415127141285,False
ContB-DorsAttnB,0.04468001759016705,False
ContB-LimbicA,0.10969881312380181,False
ContB-LimbicB,0.01541992770961195,False
ContB-SalVentAttnA,-0.043154676115163784,False
ContB-SalVentAttnB,0.03316109980916732,False
ContB-SomMotA,-0.03450927712480063,False
ContB-SomMotB,-0.04260778018820505,False
ContB-TempPar,0.13072065799657592,False
ContB-VisCent,0.049857081248218776,False
ContB-VisPeri,-0.014947421195932379,False
ContC-ContC,0.20533072271824335,True
ContC-DefaultA,0.1251895840141182,False
ContC-DefaultB,0.04719566327694594,False
ContC-DefaultC,-0.02634866192817136,False
ContC-DorsAttnA,-0.03873999496810524,False
ContC-DorsAttnB,0.009509031581405517,False
ContC-LimbicA,0.11355113685676838,False
ContC-LimbicB,0.10586999870847173,False
ContC-SalVentAttnA,0.003692374731569144,False
ContC-SalVentAttnB,0.11441652570719234,False
ContC-SomMotA,-0.016908401492842246,False
ContC-SomMotB,-0.02298314458885181,False
ContC-TempPar,0.01245977487984131,False
ContC-VisCent,0.023278359446988015,False
ContC-VisPeri,-0.011533010253679308,False
DefaultA-DefaultA,0.15362811401809143,True
DefaultA-DefaultB,0.12631518573373515,False
DefaultA-DefaultC,-0.01691063212203759,False
DefaultA-DorsAttnA,-0.014159417511601352,False
DefaultA-DorsAttnB,0.019888802044774077,False
DefaultA-LimbicA,0.12692307151511972,False
DefaultA-LimbicB,0.0783301610459201,False
DefaultA-SalVentAttnA,-0.008069070890923652,False
DefaultA-SalVentAttnB,0.08057915129128967,False
DefaultA-SomMotA,-0.0007824647207960837,False
DefaultA-SomMotB,-0.017049924901691518,False
DefaultA-TempPar,0.006340701017711064,False
DefaultA-VisCent,0.05688837586148799,False
DefaultA-VisPeri,-0.004763125087505775,False
DefaultB-DefaultB,0.1930760246520287,True
DefaultB-DefaultC,0.15876975583428862,False
DefaultB-DorsAttnA,-0.03950789915104278,False
DefaultB-DorsAttnB,-0.014542925936806228,False
DefaultB-LimbicA,0.07331248157568916,False
DefaultB-LimbicB,0.06658452542196616,False
DefaultB-SalVentAttnA,-0.017095771828951587,False
DefaultB-SalVentAttnB,0.05763868779345432,False
DefaultB-SomMotA,-0.037236137404675775,False
DefaultB-SomMotB,-0.02124939531481302,False
DefaultB-TempPar,0.07994255799699491,False
DefaultB-VisCent,0.03303033913987483,False
DefaultB-VisPeri,-0.0373475585804978,False
DefaultC-DefaultC,0.4016677505943878,True
DefaultC-DorsAttnA,-0.07741394567993036,False
DefaultC-DorsAttnB,-0.042739425145008385,False
DefaultC-LimbicA,-0.05615676867548386,False
DefaultC-LimbicB,0.027561468287437413,False
DefaultC-SalVentAttnA,-0.02549297637197189,False
DefaultC-SalVentAttnB,0.017718184225644192,False
