network_connection,fc,within_network
ContA-ContA,0.23075572090508775,True
ContA-ContB,0.1324700938358831,False
ContA-ContC,0.0870688221532892,False
ContA-DefaultA,0.08191875249187737,False
ContA-DefaultB,0.094257879649348,False
ContA-DefaultC,0.0397307423157602,False
ContA-DorsAttnA,-0.05922507488805985,False
ContA-DorsAttnB,0.031903698178193246,False
ContA-LimbicA,0.22268867645579496,False
ContA-LimbicB,0.14183029429757862,False
ContA-SalVentAttnA,0.010579375900132427,False
ContA-SalVentAttnB,0.146890745275062,False
ContA-SomMotA,-0.10399540910039276,False
ContA-SomMotB,-0.08742521788288053,False
ContA-TempPar,-0.05896425605879307,False
ContA-VisCent,-0.018521850486631825,False
ContA-VisPeri,-0.10371787732393704,False
ContB-ContB,0.19062606430648302,True
ContB-ContC,0.061927397722642406,False
ContB-DefaultA,0.0016460300748987495,False
ContB-DefaultB,0.03652527908100489,False
ContB-DefaultC,0.09930824977936419,False
ContB-DorsAttnA,-0.00891445716091873,False
ContB-DorsAttnB,0.0358112697911242,False
ContB-LimbicA,0.11557669413989045,False
ContB-LimbicB,0.04872327761194095,False
ContB-SalVentAttnA,-0.04004054015007889,False
ContB-SalVentAttnB,0.020016095798581032,False
ContB-SomMotA,-0.10199117735350464,False
ContB-SomMotB,-0.08159390478369113,False
ContB-TempPar,0.09933308378870107,False
ContB-VisCent,-0.00700293870809527,False
ContB-VisPeri,-0.11166615654876419,False
ContC-ContC,0.23016270681607856,True
ContC-DefaultA,0.18936960026903094,False
ContC-DefaultB,0.09843253532190038,False
ContC-DefaultC,-0.043425248058079596,False
ContC-DorsAttnA,-0.041583178380814434,False
ContC-DorsAttnB,0.010045882947866264,False
ContC-LimbicA,0.1258077078832897,False
ContC-LimbicB,0.13803396727851688,False
ContC-SalVentAttnA,0.017221122968225047,False
ContC-SalVentAttnB,0.1513286956849168,False
ContC-SomMotA,-0.05050971343441127,False
ContC-SomMotB,-0.0504814024394353,False
ContC-TempPar,-0.09590711337296504,False
ContC-VisCent,-0.004526677629053714,False
ContC-VisPeri,-0.05152812061872675,False
DefaultA-DefaultA,0.2099571096688744,True
DefaultA-DefaultB,0.13618596672503394,False
DefaultA-DefaultC,-0.0548426057278897,False
DefaultA-DorsAttnA,-0.04618785891817938,False
DefaultA-DorsAttnB,0.0017581463333064648,False
DefaultA-LimbicA,0.11153984842735187,False
DefaultA-LimbicB,0.14556120287726582,False
DefaultA-SalVentAttnA,0.03485299984596563,False
DefaultA-SalVentAttnB,0.16798961648061153,False
DefaultA-SomMotA,-0.046747351811897146,False
DefaultA-SomMotB,-0.040211929991145194,False
DefaultA-TempPar,-0.1276759879148283,False
DefaultA-VisCent,-0.003838483519795838,False
DefaultA-VisPeri,-0.044354745611902696,False
DefaultB-DefaultB,0.1943475786658198,True
DefaultB-DefaultC,0.1423476132168897,False
DefaultB-DorsAttnA,-0.07723112022662561,False
DefaultB-DorsAttnB,-0.0285830304032441,False
DefaultB-LimbicA,0.09233585955831798,False
DefaultB-LimbicB,0.1118928698530476,False
DefaultB-SalVentAttnA,-0.007968785746493224,False
DefaultB-SalVentAttnB,0.09525288694326647,False
DefaultB-SomMotA,-0.09226339334904739,False
