network_connection,fc,within_network
ContA-ContA,0.2870987926194201,True
ContA-ContB,0.13522996697273537,False
ContA-ContC,0.0805893880213316,False
ContA-DefaultA,0.1070755506599101,False
ContA-DefaultB,0.09456324984994192,False
ContA-DefaultC,0.017880004994800535,False
ContA-DorsAttnA,-0.07355509216268914,False
ContA-DorsAttnB,0.044582936818053684,False
ContA-LimbicA,0.3089308320646585,False
ContA-LimbicB,0.22372256374551128,False
ContA-SalVentAttnA,0.03382834707937816,False
ContA-SalVentAttnB,0.22449319671879595,False
ContA-SomMotA,-0.14142882450812203,False
ContA-SomMotB,-0.0550561025934982,False
ContA-TempPar,-0.016722127050419037,False
ContA-VisCent,-0.02692852199733452,False
ContA-VisPeri,-0.13426529880052274,False
ContB-ContB,0.17528116859984738,True
ContB-ContC,0.07451354163446916,False
ContB-DefaultA,0.051720648914611464,False
ContB-DefaultB,0.09424029234817864,False
ContB-DefaultC,0.14486118965660155,False
ContB-DorsAttnA,-0.0031952371901738915,False
ContB-DorsAttnB,0.05375647710875323,False
ContB-LimbicA,0.12124733675696907,False
ContB-LimbicB,0.062312784773574596,False
ContB-SalVentAttnA,-0.036198714267763395,False
ContB-SalVentAttnB,0.052747318654969344,False
ContB-SomMotA,-0.11251968690224402,False
ContB-SomMotB,-0.043047881818629855,False
ContB-TempPar,0.10305949559591991,False
ContB-VisCent,-0.01691551832412235,False
ContB-VisPeri,-0.13830188665289714,False
ContC-ContC,0.21129530712040057,True
ContC-DefaultA,0.16612770298614152,False
ContC-DefaultB,0.1241073704699814,False
ContC-DefaultC,0.023680317390340454,False
ContC-DorsAttnA,-0.0804496590130404,False
ContC-DorsAttnB,0.0010541698018052712,False
ContC-LimbicA,0.11918343778166524,False
ContC-LimbicB,0.14590913981080253,False
ContC-SalVentAttnA,0.0010001632760096,False
ContC-SalVentAttnB,0.15015076758568913,False
ContC-SomMotA,-0.05831985953769986,False
ContC-SomMotB,-0.04230744753564193,False
ContC-TempPar,0.0166873590800358,False
ContC-VisCent,-0.013290875014805333,False
ContC-VisPeri,-0.0643400491161116,False
DefaultA-DefaultA,0.17897905558490246,True
DefaultA-DefaultB,0.15513360400160175,False
DefaultA-DefaultC,0.0422009104734908,False
DefaultA-DorsAttnA,-0.08613475911825938,False
DefaultA-DorsAttnB,0.002201465797683693,False
