network_connection,fc,within_network
ContA-ContA,0.264028714157283,True
ContA-ContB,0.13966930001855377,False
ContA-ContC,0.14424743651621472,False
ContA-DefaultA,0.14746527795927275,False
ContA-DefaultB,0.10751410528932259,False
ContA-DefaultC,0.05189553362817931,False
ContA-DorsAttnA,-0.06306713397740753,False
ContA-DorsAttnB,0.0728727905551726,False
ContA-LimbicA,0.23182025855610752,False
ContA-LimbicB,0.2630650157436457,False
ContA-SalVentAttnA,-0.002143717397683696,False
ContA-SalVentAttnB,0.24483424337592966,False
ContA-SomMotA,-0.1674622447405871,False
ContA-SomMotB,-0.06888856041636272,False
ContA-TempPar,0.022826338935265353,False
ContA-VisCent,0.016845767338686982,False
ContA-VisPeri,-0.10952766004883725,False
ContB-ContB,0.16177287643415628,True
ContB-ContC,0.09080368190628528,False
ContB-DefaultA,0.059018244314018885,False
ContB-DefaultB,0.07166946416124192,False
ContB-DefaultC,0.07050268617184745,False
ContB-DorsAttnA,0.00896394950386504,False
ContB-DorsAttnB,0.0718713553915273,False
ContB-LimbicA,0.14438857836572333,False
ContB-LimbicB,0.13141476762532786,False
ContB-SalVentAttnA,-0.014448601498961782,False
ContB-SalVentAttnB,0.10742883205054521,False
ContB-SomMotA,-0.13284232348072633,False
ContB-SomMotB,-0.05045356081700784,False
ContB-TempPar,0.07848474401055303,False
ContB-VisCent,0.008553157034155795,False
ContB-VisPeri,-0.09229651519266062,False
ContC-ContC,0.2208943295079511,True
ContC-DefaultA,0.2189111149503622,False
ContC-DefaultB,0.10957020991664475,False
ContC-DefaultC,-0.03623675028960118,False
ContC-DorsAttnA,-0.06457313517418858,False
ContC-DorsAttnB,0.03427273610156538,False
ContC-LimbicA,0.13563378544262267,False
ContC-LimbicB,0.1781547580993816,False
ContC-SalVentAttnA,-0.0009400057407422693,False
ContC-SalVentAttnB,0.16893334881742153,False
ContC-SomMotA,-0.0625370579928668,False
ContC-SomMotB,-0.04862646611001177,False
ContC-TempPar,-0.028949253134331474,False
ContC-VisCent,0.028745303766514203,False
ContC-VisPeri,-0.06343446079178093,False
DefaultA-DefaultA,0.2423722976951046,True
DefaultA-DefaultB,0.1322248598149027,False
DefaultA-DefaultC,-0.039548973443047614,False
DefaultA-DorsAttnA,-0.07157593588599571,False
DefaultA-DorsAttnB,0.019588717131685945,False
DefaultA-LimbicA,0.12796240949121698,False
DefaultA-LimbicB,0.20466786305054274,False
DefaultA-SalVentAttnA,0.008937931077268459,False
DefaultA-SalVentAttnB,0.17757253835853337,False
DefaultA-SomMotA,-0.0681749364759534,False
DefaultA-SomMotB,-0.026209747033288138,False
DefaultA-TempPar,-0.045481759355490474,False
DefaultA-VisCent,0.039620415907503224,False
DefaultA-VisPeri,-0.08598398416862259,False
DefaultB-DefaultB,0.15585490728935644,True
DefaultB-DefaultC,0.1529514265118328,False
DefaultB-DorsAttnA,-0.08418245515405369,False
DefaultB-DorsAttnB,0.011191584292706678,False
DefaultB-LimbicA,0.07672151957384742,False
DefaultB-LimbicB,0.17366336750567496,False
DefaultB-SalVentAttnA,-0.012189362010812423,False
DefaultB-SalVentAttnB,0.12999014217960736,False
DefaultB-SomMotA,-0.10570970411212748,False
DefaultB-SomMotB,-0.03507582298997816,False
DefaultB-TempPar,0.06628487030480831,False
DefaultB-VisCent,0.019994421358556776,False
DefaultB-VisPeri,-0.09333420183303796,False
DefaultC-DefaultC,0.4297684413967693,True
DefaultC-DorsAttnA,-0.08080589091521759,False
DefaultC-DorsAttnB,-0.018003960756677515,False
DefaultC-LimbicA,0.005813000848231431,False
DefaultC-LimbicB,0.109983503630974,False
DefaultC-SalVentAttnA,-0.04123836876207678,False
DefaultC-SalVentAttnB,0.05617976358001011,False
DefaultC-SomMotA,-0.16574523538194133,False
DefaultC-SomMotB,-0.05620400604073343,False
DefaultC-TempPar,0.3054623798635325,False
DefaultC-VisCent,-0.021460198396567487,False
DefaultC-VisPeri,-0.1274507015664727,False
DorsAttnA-DorsAttnA,0.18152043497947212,True
DorsAttnA-DorsAttnB,0.05491673909222868,False
DorsAttnA-LimbicA,-0.02418954827696125,False
DorsAttnA-LimbicB,-0.09686383874329352,False
DorsAttnA-SalVentAttnA,0.03713755164287559,False
DorsAttnA-SalVentAttnB,-0.04476246303455103,False
DorsAttnA-SomMotA,-0.022447195363087546,False
DorsAttnA-SomMotB,0.03371697011748334,False
DorsAttnA-TempPar,-0.07652782640527794,False
DorsAttnA-VisCent,-0.015573217341364076,False
DorsAttnA-VisPeri,-0.03851890793099858,False
DorsAttnB-DorsAttnB,0.13427727998019148,True
DorsAttnB-LimbicA,0.055533800679152014,False
DorsAttnB-LimbicB,0.10311816025259515,False
DorsAttnB-SalVentAttnA,0.011546665528040082,False
DorsAttnB-SalVentAttnB,0.12427010671657618,False
DorsAttnB-SomMotA,-0.07142891185492899,False
DorsAttnB-SomMotB,-0.07268133150585789,False
DorsAttnB-TempPar,-0.057623671191698964,False
DorsAttnB-VisCent,0.012730996800546795,False
DorsAttnB-VisPeri,-0.03915955715759146,False
LimbicA-LimbicA,0.24243961892307525,True
LimbicA-LimbicB,0.21836904115378447,False
LimbicA-SalVentAttnA,0.022666826005926382,False
LimbicA-SalVentAttnB,0.19878980088043183,False
LimbicA-SomMotA,-0.1658919771786288,False
LimbicA-SomMotB,-0.022370355571302326,False
LimbicA-TempPar,-0.0027277222307257854,False
LimbicA-VisCent,0.010930278894168742,False
LimbicA-VisPeri,-0.11892876421574014,False
LimbicB-LimbicB,0.3973224034565297,True
LimbicB-SalVentAttnA,0.03911874087766547,False
LimbicB-SalVentAttnB,0.3455975718642597,False
LimbicB-SomMotA,-0.21524913831419,False
