network_connection,fc,within_network
ContA-ContA,0.24044366540402906,True
ContA-ContB,0.15388569535957,False
ContA-ContC,0.0953661257263875,False
ContA-DefaultA,0.14304204899828157,False
ContA-DefaultB,0.126621962649996,False
ContA-DefaultC,0.0716752424447268,False
ContA-DorsAttnA,-0.06901535368350473,False
ContA-DorsAttnB,0.017077915819867645,False
ContA-LimbicA,0.20834518809636876,False
ContA-LimbicB,0.12219760607260201,False
ContA-SalVentAttnA,-0.003988513655682322,False
ContA-SalVentAttnB,0.15592339707607175,False
ContA-SomMotA,-0.13891849161003297,False
ContA-SomMotB,-0.08918081866258484,False
ContA-TempPar,0.06450838602860334,False
ContA-VisCent,-0.003118187597090165,False
ContA-VisPeri,-0.12962044540248982,False
ContB-ContB,0.1686906762307359,True
ContB-ContC,0.06326831132023372,False
ContB-DefaultA,0.053296824129689904,False
ContB-DefaultB,0.08136310810488334,False
ContB-DefaultC,0.1367602704081287,False
ContB-DorsAttnA,0.03025810418847346,False
ContB-DorsAttnB,0.06176635778585018,False
ContB-LimbicA,0.12428705323281716,False
ContB-LimbicB,0.057802662728503325,False
ContB-SalVentAttnA,-0.022738445310772435,False
ContB-SalVentAttnB,0.07136580581902545,False
ContB-SomMotA,-0.1210366063175209,False
ContB-SomMotB,-0.07022889029784504,False
ContB-TempPar,0.1360506306639289,False
ContB-VisCent,0.005310232677360287,False
ContB-VisPeri,-0.1275601721770053,False
ContC-ContC,0.22349306096699198,True
ContC-DefaultA,0.19740840134598295,False
ContC-DefaultB,0.08337523236113416,False
ContC-DefaultC,-0.025006947670898488,False
ContC-DorsAttnA,-0.08305340026167299,False
ContC-DorsAttnB,0.019550337650807232,False
ContC-LimbicA,0.13121697593799153,False
ContC-LimbicB,0.1685999234623009,False
ContC-SalVentAttnA,0.03146125722881691,False
ContC-SalVentAttnB,0.1767943661663465,False
ContC-SomMotA,-0.023428835115357285,False
ContC-SomMotB,-0.013416233803089168,False
ContC-TempPar,-0.05227223755312673,False
ContC-VisCent,0.04997174763946959,False
ContC-VisPeri,-0.021037461100395085,False
DefaultA-DefaultA,0.2451280944235433,True
DefaultA-DefaultB,0.14366832170762717,False
DefaultA-DefaultC,-0.036282569337334016,False
DefaultA-DorsAttnA,-0.12247370534705992,False
DefaultA-DorsAttnB,-0.010322652305918787,False
DefaultA-LimbicA,0.1493284600403436,False
DefaultA-LimbicB,0.15768752851401652,False
DefaultA-SalVentAttnA,0.020039562453561175,False
DefaultA-SalVentAttnB,0.1560330381104419,False
DefaultA-SomMotA,-0.03920162914088203,False
DefaultA-SomMotB,-0.03575083927417606,False
DefaultA-TempPar,-0.05262550486442635,False
DefaultA-VisCent,0.045918855931240454,False
DefaultA-VisPeri,-0.040175849614732105,False
DefaultB-DefaultB,0.1552644403377321,True
DefaultB-DefaultC,0.13845411630266719,False
DefaultB-DorsAttnA,-0.09300762453703244,False
DefaultB-DorsAttnB,-0.0299124786200245,False
DefaultB-LimbicA,0.08856259462178086,False
DefaultB-LimbicB,0.08789717559603184,False
DefaultB-SalVentAttnA,-0.01755138007590117,False
DefaultB-SalVentAttnB,0.07052743758419049,False
DefaultB-SomMotA,-0.09153282115835515,False
DefaultB-SomMotB,-0.05454412435967076,False
DefaultB-TempPar,0.07287419578033656,False
DefaultB-VisCent,0.014811124516303611,False
DefaultB-VisPeri,-0.0909069666000311,False
DefaultC-DefaultC,0.4390411426072075,True
DefaultC-DorsAttnA,-0.01355477348526005,False
DefaultC-DorsAttnB,0.006688279352820624,False
DefaultC-LimbicA,0.010060015223665626,False
DefaultC-LimbicB,0.0610874156244843,False
DefaultC-SalVentAttnA,-0.03153545469076984,False
DefaultC-SalVentAttnB,0.028488067703626437,False
DefaultC-SomMotA,-0.16993230627169903,False
DefaultC-SomMotB,-0.09013470554933267,False
DefaultC-TempPar,0.32190296246437133,False
DefaultC-VisCent,-0.017162243749714017,False
DefaultC-VisPeri,-0.1364902273551005,False
DorsAttnA-DorsAttnA,0.2870044746088368,True
DorsAttnA-DorsAttnB,0.14123617999919308,False
DorsAttnA-LimbicA,-0.032885371080960804,False
DorsAttnA-LimbicB,-0.06175323534486474,False
DorsAttnA-SalVentAttnA,0.026631562790532835,False
DorsAttnA-SalVentAttnB,-0.04382917108275887,False
DorsAttnA-SomMotA,0.07803341819107927,False
DorsAttnA-SomMotB,0.11688696174689736,False
DorsAttnA-TempPar,-0.016430584025990107,False
DorsAttnA-VisCent,0.03678933740235073,False
DorsAttnA-VisPeri,0.06461431618736913,False
DorsAttnB-DorsAttnB,0.12064185894773949,True
DorsAttnB-LimbicA,0.051405438978168516,False
DorsAttnB-LimbicB,0.03826898218965093,False
DorsAttnB-SalVentAttnA,0.0384508373626288,False
DorsAttnB-SalVentAttnB,0.06408907232647125,False
DorsAttnB-SomMotA,0.016231391732833167,False
DorsAttnB-SomMotB,0.02454497270495927,False
DorsAttnB-TempPar,-0.0033990333723860184,False
DorsAttnB-VisCent,0.03805540076131533,False
DorsAttnB-VisPeri,0.02801662016646547,False
LimbicA-LimbicA,0.19804840137998989,True
LimbicA-LimbicB,0.14488314636271016,False
LimbicA-SalVentAttnA,0.02006809712938886,False
LimbicA-SalVentAttnB,0.18446676432057815,False
LimbicA-SomMotA,-0.09636182365916975,False
LimbicA-SomMotB,-0.059341181125330426,False
LimbicA-TempPar,0.001304594716651521,False
LimbicA-VisCent,0.011738531822343645,False
LimbicA-VisPeri,-0.08288608312820067,False
LimbicB-LimbicB,0.24192909453305397,True
LimbicB-SalVentAttnA,0.0843822671287334,False
LimbicB-SalVentAttnB,0.2587352477042925,False
LimbicB-SomMotA,-0.08970654826315269,False
LimbicB-SomMotB,-0.010317039840244336,False
LimbicB-TempPar,-0.018110812535046886,False
LimbicB-VisCent,0.035616700440891026,False
LimbicB-VisPeri,-0.05658969450435351,False
SalVentAttnA-SalVentAttnA,0.06236176361168532,True
SalVentAttnA-SalVentAttnB,0.09378160105935318,False
SalVentAttnA-SomMotA,0.021475994953119273,False
SalVentAttnA-SomMotB,0.044253619374951654,False
SalVentAttnA-TempPar,-0.057679799068607145,False
SalVentAttnA-VisCent,0.01765205417576408,False
SalVentAttnA-VisPeri,0.045291128324085654,False
SalVentAttnB-SalVentAttnB,0.28151161115884415,True
SalVentAttnB-SomMotA,-0.10201433564254761,False
SalVentAttnB-SomMotB,-0.02365630494703818,False
SalVentAttnB-TempPar,-0.032558936322245303,False
SalVentAttnB-VisCent,0.025133878563826994,False
SalVentAttnB-VisPeri,-0.06182439724489017,False
SomMotA-SomMotA,0.2654120044056817,True
SomMotA-SomMotB,0.15978609064418578,False
SomMotA-TempPar,-0.1559503716999461,False
SomMotA-VisCent,0.091449539502048,False
SomMotA-VisPeri,0.2675474597218599,False
SomMotB-SomMotB,0.16938331348083802,True
SomMotB-TempPar,-0.12224165890576855,False
SomMotB-VisCent,0.06906535014785815,False
SomMotB-VisPeri,0.1532028328526485,False
TempPar-TempPar,0.34180518377725533,True
TempPar-VisCent,-0.04943015098003062,False
TempPar-VisPeri,-0.1372481047407826,False
VisCent-VisCent,0.07361205640073791,True
VisCent-VisPeri,0.09012026345492002,False
VisPeri-VisPeri,0.2967590219010316,True
