network_connection,fc,within_network
ContA-ContA,0.1750325166320893,True
ContA-ContB,0.14074728744516457,False
ContA-ContC,0.07933547608470462,False
ContA-DefaultA,0.06796201062589918,False
ContA-DefaultB,0.09693226412499374,False
ContA-DefaultC,0.1024416302032789,False
ContA-DorsAttnA,-0.03533068388729742,False
ContA-DorsAttnB,0.04496155155969568,False
ContA-LimbicA,0.16350468103613705,False
ContA-LimbicB,0.11055345746302547,False
ContA-SalVentAttnA,0.022027963794469224,False
ContA-SalVentAttnB,0.13788770705894723,False
ContA-SomMotA,-0.11713683768437391,False
ContA-SomMotB,-0.0747899047544954,False
ContA-TempPar,0.017522917609849146,False
ContA-VisCent,-0.017265787580242307,False
ContA-VisPeri,-0.16536338774921167,False
ContB-ContB,0.1637660305409022,True
ContB-ContC,0.07248418247397885,False
ContB-DefaultA,0.04223151867235897,False
ContB-DefaultB,0.09129762230584451,False
ContB-DefaultC,0.16705146286826547,False
ContB-DorsAttnA,-0.0041628854151542554,False
ContB-DorsAttnB,0.05414097576294483,False
ContB-LimbicA,0.12256885830261685,False
ContB-LimbicB,0.08305186959887251,False
ContB-SalVentAttnA,0.017264302148155608,False
ContB-SalVentAttnB,0.10845668253698756,False
ContB-SomMotA,-0.14830582120627672,False
ContB-SomMotB,-0.088382036955222,False
ContB-TempPar,0.09765334788952401,False
ContB-VisCent,-0.030618999731831808,False
ContB-VisPeri,-0.17957092926996768,False
ContC-ContC,0.19445029541122502,True
ContC-DefaultA,0.15850662738014398,False
ContC-DefaultB,0.13445936502183506,False
ContC-DefaultC,0.03385802199463851,False
ContC-DorsAttnA,-0.09310063998617059,False
ContC-DorsAttnB,-0.0019648699961096927,False
ContC-LimbicA,0.11107078693573569,False
ContC-LimbicB,0.10955011257984978,False
ContC-SalVentAttnA,0.018495547738751512,False
ContC-SalVentAttnB,0.11689820084782969,False
ContC-SomMotA,-0.06924958799953,False
ContC-SomMotB,-0.07059886901779337,False
ContC-TempPar,-0.0470888984598811,False
ContC-VisCent,-0.014249537704942389,False
ContC-VisPeri,-0.08918455639341674,False
DefaultA-DefaultA,0.14865515040507876,True
DefaultA-DefaultB,0.12480364436523728,False
DefaultA-DefaultC,0.005899062961099981,False
DefaultA-DorsAttnA,-0.0892934326366109,False
DefaultA-DorsAttnB,-0.009488523400197355,False
DefaultA-LimbicA,0.08676386797796798,False
DefaultA-LimbicB,0.088718572260423,False
DefaultA-SalVentAttnA,0.004335577886183961,False
DefaultA-SalVentAttnB,0.07581161135841166,False
DefaultA-SomMotA,-0.03389285427185055,False
DefaultA-SomMotB,-0.05235233174302328,False
DefaultA-TempPar,-0.0538574214582878,False
DefaultA-VisCent,0.003670390868913606,False
DefaultA-VisPeri,-0.05174526284796899,False
DefaultB-DefaultB,0.16127859636606381,True
DefaultB-DefaultC,0.14416205278141442,False
DefaultB-DorsAttnA,-0.10504998326933893,False
DefaultB-DorsAttnB,-0.0009099066166070341,False
DefaultB-LimbicA,0.09632707570336772,False
DefaultB-LimbicB,0.08851743652531853,False
DefaultB-SalVentAttnA,-0.00714688444478544,False
DefaultB-SalVentAttnB,0.07582877492785789,False
DefaultB-SomMotA,-0.0822686025055238,False
DefaultB-SomMotB,-0.08646852782961102,False
DefaultB-TempPar,0.02803573896146476,False
DefaultB-VisCent,-0.015207920288389744,False
DefaultB-VisPeri,-0.09973501974819636,False
DefaultC-DefaultC,0.3562093032706012,True
DefaultC-DorsAttnA,-0.05953960956551298,False
DefaultC-DorsAttnB,0.025604195800765655,False
DefaultC-LimbicA,0.0600057508856385,False
DefaultC-LimbicB,0.05362409423865654,False
DefaultC-SalVentAttnA,-0.004543579057143204,False
DefaultC-SalVentAttnB,0.05678014860465081,False
DefaultC-SomMotA,-0.16589580045691954,False
DefaultC-SomMotB,-0.11348427507055456,False
DefaultC-TempPar,0.2546533951720645,False
DefaultC-VisCent,-0.05500757996966,False
DefaultC-VisPeri,-0.17298823991266207,False
DorsAttnA-DorsAttnA,0.22873244990866767,True
DorsAttnA-DorsAttnB,0.06697036430791735,False
DorsAttnA-LimbicA,-0.04065468856789037,False
DorsAttnA-LimbicB,-0.07893746056331326,False
DorsAttnA-SalVentAttnA,0.018533906944351204,False
DorsAttnA-SalVentAttnB,-0.04610512262927609,False
DorsAttnA-SomMotA,0.022435551419999863,False
DorsAttnA-SomMotB,0.06339108987655426,False
DorsAttnA-TempPar,-0.041865125343655114,False
DorsAttnA-VisCent,-0.0057270049904474445,False
DorsAttnA-VisPeri,0.031697864240430904,False
DorsAttnB-DorsAttnB,0.054660072537795465,True
DorsAttnB-LimbicA,0.04166619944089178,False
DorsAttnB-LimbicB,0.013347442228422185,False
DorsAttnB-SalVentAttnA,0.014534061605928846,False
DorsAttnB-SalVentAttnB,0.04152476616194024,False
DorsAttnB-SomMotA,-0.05259220397389223,False
DorsAttnB-SomMotB,-0.03699549464318479,False
DorsAttnB-TempPar,-0.0007571185612944951,False
DorsAttnB-VisCent,-0.016120715483770982,False
DorsAttnB-VisPeri,-0.05660788922782169,False
LimbicA-LimbicA,0.16784817646287997,True
LimbicA-LimbicB,0.12242944509035852,False
LimbicA-SalVentAttnA,0.023039913671311717,False
LimbicA-SalVentAttnB,0.14972147303299585,False
LimbicA-SomMotA,-0.10728656265666212,False
LimbicA-SomMotB,-0.0755179732553908,False
LimbicA-TempPar,-0.02095658003496287,False
LimbicA-VisCent,-0.01556991098402242,False
LimbicA-VisPeri,-0.15922368907426165,False
LimbicB-LimbicB,0.13347824343775633,True
LimbicB-SalVentAttnA,0.03564489963748742,False
LimbicB-SalVentAttnB,0.14716270882328825,False
LimbicB-SomMotA,-0.08075111484912809,False
LimbicB-SomMotB,-0.051955254189912224,False
LimbicB-TempPar,-0.004142903585228199,False
LimbicB-VisCent,-0.008239442947214487,False
LimbicB-VisPeri,-0.11628914624938293,False
SalVentAttnA-SalVentAttnA,0.03524746804576356,True
SalVentAttnA-SalVentAttnB,0.057748412688226246,False
SalVentAttnA-SomMotA,-0.02005948753324144,False
SalVentAttnA-SomMotB,0.011049898335522421,False
SalVentAttnA-TempPar,-0.014177968336313022,False
SalVentAttnA-VisCent,-0.008522758830534008,False
SalVentAttnA-VisPeri,-0.026559291714447823,False
SalVentAttnB-SalVentAttnB,0.181825236498979,True
SalVentAttnB-SomMotA,-0.11316922904651737,False
SalVentAttnB-SomMotB,-0.0627741070652984,False
SalVentAttnB-TempPar,-0.009448907991762637,False
SalVentAttnB-VisCent,-0.021163125059453464,False
SalVentAttnB-VisPeri,-0.14801608383244474,False
SomMotA-SomMotA,0.17485669770121426,True
SomMotA-SomMotB,0.1216068065357333,False
SomMotA-TempPar,-0.12321401881281485,False
SomMotA-VisCent,0.059039997471468056,False
SomMotA-VisPeri,0.19889471641668163,False
SomMotB-SomMotB,0.12482270994434078,True
SomMotB-TempPar,-0.07911384369212714,False
SomMotB-VisCent,0.035385860354057774,False
SomMotB-VisPeri,0.12105550310866717,False
TempPar-TempPar,0.3357323699105573,True
TempPar-VisCent,-0.047069394227763545,False
TempPar-VisPeri,-0.11198351995538003,False
