network_connection,fc,within_network
ContA-ContA,0.24031243521476797,True
ContA-ContB,0.19689423031910044,False
ContA-ContC,0.1920282504436666,False
ContA-DefaultA,0.19382840987304548,False
ContA-DefaultB,0.1494876084610444,False
ContA-DefaultC,-0.004611679415650331,False
ContA-DorsAttnA,-0.030748862486895817,False
ContA-DorsAttnB,0.06296545545791189,False
ContA-LimbicA,0.2549860387082528,False
ContA-LimbicB,0.16060730010520055,False
ContA-SalVentAttnA,0.01392197504134923,False
ContA-SalVentAttnB,0.13894247701920853,False
ContA-SomMotA,-0.09107739052719377,False
ContA-SomMotB,-0.04410965297440393,False
ContA-TempPar,0.01043075918691614,False
ContA-VisCent,0.03217226727209062,False
ContA-VisPeri,-0.10366874396328454,False
ContB-ContB,0.2530480091221934,True
ContB-ContC,0.18290431493192455,False
ContB-DefaultA,0.16266731117315694,False
ContB-DefaultB,0.142644845701631,False
ContB-DefaultC,0.04442964186941468,False
ContB-DorsAttnA,-0.01971432772995136,False
ContB-DorsAttnB,0.05225086872473531,False
ContB-LimbicA,0.17142942121150886,False
ContB-LimbicB,0.09275243965654717,False
ContB-SalVentAttnA,-0.023687727815656697,False
ContB-SalVentAttnB,0.02296761374637862,False
ContB-SomMotA,-0.05520766416688124,False
ContB-SomMotB,-0.04007823257121945,False
ContB-TempPar,0.08367301261271194,False
ContB-VisCent,0.07371410533478578,False
ContB-VisPeri,-0.07728995394628656,False
ContC-ContC,0.4011238476893827,True
ContC-DefaultA,0.3178352023301598,False
ContC-DefaultB,0.15207975329556953,False
ContC-DefaultC,-0.14714316181755285,False
ContC-DorsAttnA,-0.018216975175992096,False
ContC-DorsAttnB,0.09761692556069865,False
ContC-LimbicA,0.23234052071157124,False
ContC-LimbicB,0.21402423182708774,False
ContC-SalVentAttnA,0.04275111749818071,False
ContC-SalVentAttnB,0.2089046540842804,False
ContC-SomMotA,-0.0144742095874258,False
ContC-SomMotB,-0.058177162505536555,False
ContC-TempPar,-0.11763337033903858,False
ContC-VisCent,0.11527070266179172,False
ContC-VisPeri,-0.002481674231295413,False
DefaultA-DefaultA,0.3035542437416627,True
DefaultA-DefaultB,0.20210531823313013,False
DefaultA-DefaultC,-0.05709849056873378,False
DefaultA-DorsAttnA,-0.05334081142477372,False
DefaultA-DorsAttnB,0.05467279992447349,False
DefaultA-LimbicA,0.21058139247674182,False
DefaultA-LimbicB,0.19732324408568944,False
DefaultA-SalVentAttnA,0.03014656077016481,False
DefaultA-SalVentAttnB,0.17910088978187758,False
DefaultA-SomMotA,-0.05046518073584241,False
DefaultA-SomMotB,-0.04911173085989984,False
DefaultA-TempPar,-0.04736312988805573,False
DefaultA-VisCent,0.07935453355539464,False
DefaultA-VisPeri,-0.054014590496988375,False
DefaultB-DefaultB,0.2424605793022156,True
DefaultB-DefaultC,0.15014017311068933,False
DefaultB-DorsAttnA,-0.10262655937728533,False
DefaultB-DorsAttnB,-0.03087059091039979,False
DefaultB-LimbicA,0.12624591129387586,False
DefaultB-LimbicB,0.11262863449792108,False
DefaultB-SalVentAttnA,-0.010957061496815287,False
DefaultB-SalVentAttnB,0.06365128831191245,False
DefaultB-SomMotA,-0.076153651165768,False
DefaultB-SomMotB,-0.04340622789622093,False
DefaultB-TempPar,0.08526110002304414,False
DefaultB-VisCent,0.022265820732948582,False
DefaultB-VisPeri,-0.09753086200968737,False
DefaultC-DefaultC,0.37149135075957934,True
DefaultC-DorsAttnA,-0.1089307005219561,False
DefaultC-DorsAttnB,-0.08851765436797061,False
DefaultC-LimbicA,-0.05350835302947477,False
DefaultC-LimbicB,-0.03405018273411805,False
DefaultC-SalVentAttnA,-0.049258116267930065,False
DefaultC-SalVentAttnB,-0.10148304182023302,False
DefaultC-SomMotA,-0.08936738437403169,False
DefaultC-SomMotB,-0.03116692515361739,False
DefaultC-TempPar,0.279387389282424,False
DefaultC-VisCent,-0.07003036144957848,False
DefaultC-VisPeri,-0.11217267205445328,False
DorsAttnA-DorsAttnA,0.1854848595355781,True
DorsAttnA-DorsAttnB,0.10147220434709898,False
DorsAttnA-LimbicA,0.00460217135873919,False
DorsAttnA-LimbicB,-0.005602771985103979,False
DorsAttnA-SalVentAttnA,0.031278521461093854,False
DorsAttnA-SalVentAttnB,0.038258127678022884,False
DorsAttnA-SomMotA,0.012758732329917586,False
DorsAttnA-SomMotB,0.06850465931519131,False
DorsAttnA-TempPar,-0.11399134353618866,False
DorsAttnA-VisCent,0.024665095074309026,False
DorsAttnA-VisPeri,0.04305045496085966,False
DorsAttnB-DorsAttnB,0.14277214163785837,True
DorsAttnB-LimbicA,0.09468775478856538,False
DorsAttnB-LimbicB,0.09784256790666586,False
DorsAttnB-SalVentAttnA,0.03897032187806802,False
DorsAttnB-SalVentAttnB,0.1111966223986472,False
DorsAttnB-SomMotA,-0.008281141833157328,False
DorsAttnB-SomMotB,-0.0033760334470432536,False
DorsAttnB-TempPar,-0.09819743408427216,False
DorsAttnB-VisCent,0.06640703490636375,False
DorsAttnB-VisPeri,0.025403848795881676,False
LimbicA-LimbicA,0.28349083381073126,True
LimbicA-LimbicB,0.21355005955203848,False
LimbicA-SalVentAttnA,0.0398578012082107,False
LimbicA-SalVentAttnB,0.21767877689901519,False
LimbicA-SomMotA,-0.10170240900559133,False
LimbicA-SomMotB,-0.03154198699909222,False
LimbicA-TempPar,-0.048046150205702416,False
LimbicA-VisCent,0.0325402328324315,False
LimbicA-VisPeri,-0.10201379285104727,False
LimbicB-LimbicB,0.24743729238513412,True
LimbicB-SalVentAttnA,0.08487908031266332,False
LimbicB-SalVentAttnB,0.28165497401273226,False
LimbicB-SomMotA,-0.0958886454592357,False
LimbicB-SomMotB,-0.01202083831234314,False
LimbicB-TempPar,-0.0756128990859619,False
LimbicB-VisCent,0.05024957076970159,False
LimbicB-VisPeri,-0.07742706444928484,False
SalVentAttnA-SalVentAttnA,0.059874340148123324,True
SalVentAttnA-SalVentAttnB,0.12022928912345447,False
SalVentAttnA-SomMotA,-0.02437661365861944,False
SalVentAttnA-SomMotB,0.019832992451613095,False
SalVentAttnA-TempPar,-0.07288238298388224,False
SalVentAttnA-VisCent,-0.0009732506664943582,False
SalVentAttnA-VisPeri,-0.0007850640488218653,False
SalVentAttnB-SalVentAttnB,0.350380740346322,True
SalVentAttnB-SomMotA,-0.12320376909384008,False
SalVentAttnB-SomMotB,-0.001887068335177141,False
SalVentAttnB-TempPar,-0.13905515138639912,False
SalVentAttnB-VisCent,0.0107178210083608,False
SalVentAttnB-VisPeri,-0.08408428808549231,False
