network_connection,fc,within_network
ContA-ContA,0.3367828947193405,True
ContA-ContB,0.12910646546323676,False
ContA-ContC,0.048051339112482376,False
ContA-DefaultA,0.105254339986116,False
ContA-DefaultB,0.1342819605911828,False
ContA-DefaultC,0.0470336848971614,False
ContA-DorsAttnA,-0.02937354391990378,False
ContA-DorsAttnB,0.02282353879882591,False
ContA-LimbicA,0.32529485441527056,False
ContA-LimbicB,0.22697268932111017,False
ContA-SalVentAttnA,0.04062426049206301,False
ContA-SalVentAttnB,0.2775679924252019,False
ContA-SomMotA,-0.1729492258128864,False
ContA-SomMotB,-0.025091911658972395,False
ContA-TempPar,-0.09961780056166498,False
ContA-VisCent,-0.06450334864139437,False
ContA-VisPeri,-0.11238492326064145,False
ContB-ContB,0.17967413272721636,True
ContB-ContC,0.07118106058303746,False
ContB-DefaultA,0.04777320942041257,False
ContB-DefaultB,0.08091858484105315,False
ContB-DefaultC,0.16857084173373457,False
ContB-DorsAttnA,0.005326776359956646,False
ContB-DorsAttnB,0.06006497456332075,False
ContB-LimbicA,0.11945153940512852,False
ContB-LimbicB,0.11032081980916844,False
ContB-SalVentAttnA,0.01234964186390933,False
ContB-SalVentAttnB,0.08195284460424898,False
ContB-SomMotA,-0.10588950280793369,False
ContB-SomMotB,-0.020333054260846535,False
ContB-TempPar,0.10704882247620022,False
ContB-VisCent,-0.009905305764113278,False
ContB-VisPeri,-0.10564302521049797,False
ContC-ContC,0.18693016970800838,True
ContC-DefaultA,0.15925276557968418,False
ContC-DefaultB,0.05241687534076683,False
ContC-DefaultC,-0.04602441301141942,False
ContC-DorsAttnA,-0.03900958518260388,False
ContC-DorsAttnB,0.034024790179912584,False
ContC-LimbicA,0.10313048576010321,False
ContC-LimbicB,0.09735350737570997,False
ContC-SalVentAttnA,0.000152808390445224,False
ContC-SalVentAttnB,0.10302158743097621,False
ContC-SomMotA,-0.029365083513315304,False
ContC-SomMotB,-0.04898035374188056,False
ContC-TempPar,-0.041273552529333006,False
ContC-VisCent,0.012388208072655553,False
ContC-VisPeri,-0.04255259425417903,False
DefaultA-DefaultA,0.20277897427709562,True
DefaultA-DefaultB,0.11547447673590712,False
DefaultA-DefaultC,-0.03561798257597501,False
DefaultA-DorsAttnA,-0.02710507771271774,False
DefaultA-DorsAttnB,0.012689159239502566,False
DefaultA-LimbicA,0.14194847256813242,False
DefaultA-LimbicB,0.14519123669337342,False
DefaultA-SalVentAttnA,0.01667361708545293,False
DefaultA-SalVentAttnB,0.16400219831921767,False
DefaultA-SomMotA,-0.06736210144399686,False
DefaultA-SomMotB,-0.02606804819370399,False
DefaultA-TempPar,-0.06826638002609599,False
DefaultA-VisCent,0.002707133881822219,False
DefaultA-VisPeri,-0.06107889209921408,False
DefaultB-DefaultB,0.16130234337723343,True
DefaultB-DefaultC,0.16313646528257386,False
DefaultB-DorsAttnA,-0.04025882412017568,False
DefaultB-DorsAttnB,-0.009896216195437051,False
DefaultB-LimbicA,0.10879542884072653,False
DefaultB-LimbicB,0.12019027537841911,False
DefaultB-SalVentAttnA,0.008295461250856237,False
DefaultB-SalVentAttnB,0.12159619646852717,False
DefaultB-SomMotA,-0.09521143509229625,False
DefaultB-SomMotB,-0.008474470265220914,False
DefaultB-TempPar,0.050684949974359246,False
DefaultB-VisCent,-0.017840514194691574,False
DefaultB-VisPeri,-0.06040998211200319,False
DefaultC-DefaultC,0.5017285123835362,True
DefaultC-DorsAttnA,-0.07028103929713164,False
DefaultC-DorsAttnB,-0.01621875124292657,False
DefaultC-LimbicA,-0.016731697047376683,False
DefaultC-LimbicB,0.059187742895089886,False
DefaultC-SalVentAttnA,-0.001969576224165589,False
DefaultC-SalVentAttnB,-0.014153388439894282,False
DefaultC-SomMotA,-0.11661871890831345,False
DefaultC-SomMotB,-0.02956869931846341,False
DefaultC-TempPar,0.41566963561263426,False
DefaultC-VisCent,-0.02563894797885536,False
DefaultC-VisPeri,-0.10339225709398003,False
DorsAttnA-DorsAttnA,0.24514009795766598,True
DorsAttnA-DorsAttnB,0.09132691649928765,False
DorsAttnA-LimbicA,-0.026897281411382683,False
DorsAttnA-LimbicB,-0.032942027292321215,False
DorsAttnA-SalVentAttnA,0.008341496982029394,False
DorsAttnA-SalVentAttnB,-0.04061152979393084,False
DorsAttnA-SomMotA,0.004498772361719987,False
DorsAttnA-SomMotB,0.0627601535042903,False
DorsAttnA-TempPar,-0.11545904661477621,False
DorsAttnA-VisCent,0.008412708477586638,False
DorsAttnA-VisPeri,0.0013295813261396008,False
DorsAttnB-DorsAttnB,0.09665255700523566,True
DorsAttnB-LimbicA,0.04311671754567917,False
DorsAttnB-LimbicB,0.03365155776381377,False
DorsAttnB-SalVentAttnA,0.011361748271624941,False
DorsAttnB-SalVentAttnB,0.040291499435538225,False
DorsAttnB-SomMotA,-0.027085024349360776,False
DorsAttnB-SomMotB,-0.002166895820293746,False
DorsAttnB-TempPar,-0.02747649095206219,False
DorsAttnB-VisCent,0.012331990861619898,False
DorsAttnB-VisPeri,-0.05301783477639846,False
LimbicA-LimbicA,0.3382326605115867,True
LimbicA-LimbicB,0.2451691729614084,False
LimbicA-SalVentAttnA,0.04415204957100882,False
LimbicA-SalVentAttnB,0.3027312815189628,False
LimbicA-SomMotA,-0.16352141598499823,False
LimbicA-SomMotB,-0.04462762598796362,False
LimbicA-TempPar,-0.12570426778053573,False
LimbicA-VisCent,-0.06673613313866412,False
LimbicA-VisPeri,-0.12575351170702784,False
LimbicB-LimbicB,0.2625902931966751,True
LimbicB-SalVentAttnA,0.06847681168031683,False
LimbicB-SalVentAttnB,0.30262259985582035,False
LimbicB-SomMotA,-0.15773853094680387,False
