network_connection,fc,within_network
ContA-ContA,0.13392685333665208,True
ContA-ContB,0.12308679275318186,False
ContA-ContC,0.01626088609909346,False
ContA-DefaultA,0.021706140658874613,False
ContA-DefaultB,0.04504345941380633,False
ContA-DefaultC,0.06548821595674009,False
ContA-DorsAttnA,0.015151640261436922,False
ContA-DorsAttnB,0.043743362465264654,False
ContA-LimbicA,0.10788086872858904,False
ContA-LimbicB,0.07259536118587,False
ContA-SalVentAttnA,0.018534175983225796,False
ContA-SalVentAttnB,0.06574914158261062,False
ContA-SomMotA,-0.04813570221317366,False
ContA-SomMotB,0.010691442867846429,False
ContA-TempPar,0.029634096797073864,False
ContA-VisCent,0.029309421192114476,False
ContA-VisPeri,-0.046945517996513156,False
ContB-ContB,0.18697826385801722,True
ContB-ContC,0.023395695446096664,False
ContB-DefaultA,0.002917306320181674,False
ContB-DefaultB,0.0788136100892068,False
ContB-DefaultC,0.19646181769072454,False
ContB-DorsAttnA,0.03626346290367643,False
ContB-DorsAttnB,0.0658039076846053,False
ContB-LimbicA,0.07540998019781484,False
ContB-LimbicB,0.03499962185465698,False
ContB-SalVentAttnA,0.008686594005377957,False
ContB-SalVentAttnB,0.0444010268910742,False
ContB-SomMotA,-0.07973139400020639,False
ContB-SomMotB,-0.00915223565861839,False
ContB-TempPar,0.14467746806948728,False
ContB-VisCent,0.024962237630804466,False
ContB-VisPeri,-0.07227840339256679,False
ContC-ContC,0.11936800560234852,True
ContC-DefaultA,0.08925654327521063,False
ContC-DefaultB,0.054432214792714255,False
ContC-DefaultC,0.01957545256317484,False
ContC-DorsAttnA,-0.015555543939849484,False
ContC-DorsAttnB,0.03588344262011007,False
ContC-LimbicA,0.055067869792559135,False
ContC-LimbicB,0.04878838457974987,False
ContC-SalVentAttnA,0.010142062986452594,False
ContC-SalVentAttnB,0.06309733620770952,False
ContC-SomMotA,0.018200797657604167,False
ContC-SomMotB,-0.0008129425669711145,False
ContC-TempPar,-0.03276189003440919,False
ContC-VisCent,0.03625630937576225,False
ContC-VisPeri,0.026434645325283664,False
DefaultA-DefaultA,0.08218473350584389,True
DefaultA-DefaultB,0.04852163718273513,False
DefaultA-DefaultC,0.0026186250830279516,False
DefaultA-DorsAttnA,-0.016774827778475165,False
DefaultA-DorsAttnB,0.01595583391184263,False
DefaultA-LimbicA,0.05215431412562112,False
DefaultA-LimbicB,0.055395180431837145,False
DefaultA-SalVentAttnA,0.016152495407637215,False
DefaultA-SalVentAttnB,0.06295411203364439,False
DefaultA-SomMotA,0.01332079169530102,False
DefaultA-SomMotB,0.006279066528738514,False
DefaultA-TempPar,-0.04656155999160063,False
DefaultA-VisCent,0.028036039586655525,False
DefaultA-VisPeri,0.00980780674691767,False
DefaultB-DefaultB,0.09736267538230155,True
DefaultB-DefaultC,0.17870816384682814,False
DefaultB-DorsAttnA,-0.011075432458001492,False
DefaultB-DorsAttnB,0.018055881968461154,False
DefaultB-LimbicA,0.03144777659857776,False
DefaultB-LimbicB,0.024312620524549355,False
DefaultB-SalVentAttnA,-0.0014876843766333172,False
DefaultB-SalVentAttnB,0.03192549579480205,False
DefaultB-SomMotA,-0.03296352124770006,False
DefaultB-SomMotB,-0.008720993372710295,False
DefaultB-TempPar,0.09870257758835263,False
DefaultB-VisCent,0.018088103063757913,False
DefaultB-VisPeri,-0.02087268387883,False
DefaultC-DefaultC,0.44833262371623117,True
DefaultC-DorsAttnA,-0.003335840048583894,False
DefaultC-DorsAttnB,0.023427612738464627,False
DefaultC-LimbicA,0.001116116756037008,False
DefaultC-LimbicB,-0.007725012506807131,False
DefaultC-SalVentAttnA,-0.019965685024600617,False
DefaultC-SalVentAttnB,0.014860476548970322,False
DefaultC-SomMotA,-0.11330453263553063,False
DefaultC-SomMotB,-0.0585352555862363,False
DefaultC-TempPar,0.35356028831942804,False
DefaultC-VisCent,0.0165162375468559,False
DefaultC-VisPeri,-0.0702512416179772,False
DorsAttnA-DorsAttnA,0.12823473607848418,True
DorsAttnA-DorsAttnB,0.07545053983531133,False
DorsAttnA-LimbicA,0.030566168832908844,False
DorsAttnA-LimbicB,-0.007551161833188617,False
DorsAttnA-SalVentAttnA,0.02453029584538473,False
DorsAttnA-SalVentAttnB,0.025938520591643806,False
DorsAttnA-SomMotA,0.017199384234101663,False
DorsAttnA-SomMotB,0.03666865916304277,False
DorsAttnA-TempPar,-0.003411986741297729,False
DorsAttnA-VisCent,0.03712662255046358,False
DorsAttnA-VisPeri,0.003050388505553133,False
DorsAttnB-DorsAttnB,0.0900462135561657,True
DorsAttnB-LimbicA,0.057535261189460805,False
DorsAttnB-LimbicB,0.02066045937943769,False
DorsAttnB-SalVentAttnA,0.019153145454387732,False
DorsAttnB-SalVentAttnB,0.045188920534194585,False
DorsAttnB-SomMotA,0.006183846050918539,False
DorsAttnB-SomMotB,0.0070327579805243194,False
DorsAttnB-TempPar,-0.011949677529941118,False
DorsAttnB-VisCent,0.050698172578974396,False
DorsAttnB-VisPeri,0.012113947830687645,False
