network_connection,fc,within_network
ContA-ContA,0.16110697041696104,True
ContA-ContB,0.09448085217333893,False
ContA-ContC,0.09755053226667182,False
ContA-DefaultA,0.09665533703539803,False
ContA-DefaultB,0.06117505590142331,False
ContA-DefaultC,-0.05022488325747981,False
ContA-DorsAttnA,-0.0006089957895429372,False
ContA-DorsAttnB,0.035975944825086786,False
ContA-LimbicA,0.15448189554064434,False
ContA-LimbicB,0.09445799773629165,False
ContA-SalVentAttnA,0.014720937610395845,False
ContA-SalVentAttnB,0.13944028230586913,False
ContA-SomMotA,-0.08008295965410674,False
ContA-SomMotB,-0.05521285843983582,False
ContA-TempPar,-0.07786016360524621,False
ContA-VisCent,-0.001098245677332496,False
ContA-VisPeri,-0.10251075038334874,False
ContB-ContB,0.10455641737430765,True
ContB-ContC,0.08292797576005351,False
ContB-DefaultA,0.0653930738620883,False
ContB-DefaultB,0.06898249666919615,False
ContB-DefaultC,0.06318355983763173,False
ContB-DorsAttnA,-0.018684890932951524,False
ContB-DorsAttnB,0.013369543790579298,False
ContB-LimbicA,0.08042158441302734,False
ContB-LimbicB,0.03925577491666566,False
ContB-SalVentAttnA,-0.018527206418592925,False
ContB-SalVentAttnB,0.052651037296905255,False
ContB-SomMotA,-0.06914282733831424,False
ContB-SomMotB,-0.06749442960403389,False
ContB-TempPar,0.029261025761811908,False
ContB-VisCent,0.00789407012921556,False
ContB-VisPeri,-0.08700213550894538,False
ContC-ContC,0.15624745203421594,True
ContC-DefaultA,0.12561316118460683,False
ContC-DefaultB,0.053607562629281874,False
ContC-DefaultC,-0.05448765217360213,False
ContC-DorsAttnA,-0.01994749676532162,False
ContC-DorsAttnB,0.042668576534447236,False
ContC-LimbicA,0.11147243142637393,False
ContC-LimbicB,0.09633842715611225,False
ContC-SalVentAttnA,0.007240765459689737,False
ContC-SalVentAttnB,0.11777824600574213,False
ContC-SomMotA,-0.0452003870336363,False
ContC-SomMotB,-0.05628142231792109,False
ContC-TempPar,-0.08400221906544036,False
ContC-VisCent,0.01661882214615167,False
ContC-VisPeri,-0.05359838585969142,False
DefaultA-DefaultA,0.11061928940721857,True
DefaultA-DefaultB,0.05328648460147179,False
DefaultA-DefaultC,-0.05838219841978251,False
DefaultA-DorsAttnA,-0.016109166011918984,False
DefaultA-DorsAttnB,0.029509869727729274,False
DefaultA-LimbicA,0.10327354095676226,False
DefaultA-LimbicB,0.08008825518903617,False
DefaultA-SalVentAttnA,0.0039106994880870015,False
DefaultA-SalVentAttnB,0.10312628178259013,False
DefaultA-SomMotA,-0.03971534139898121,False
DefaultA-SomMotB,-0.0474289874985283,False
DefaultA-TempPar,-0.08218230734861397,False
DefaultA-VisCent,0.014372477155677075,False
DefaultA-VisPeri,-0.05385530943157391,False
DefaultB-DefaultB,0.0851370639338817,True
DefaultB-DefaultC,0.11158155024807749,False
DefaultB-DorsAttnA,-0.04429829565905812,False
DefaultB-DorsAttnB,-0.01710899123097995,False
DefaultB-LimbicA,0.047088529325919226,False
DefaultB-LimbicB,0.024387516462838446,False
