network_connection,fc,within_network
ContA-ContA,0.3049879095800143,True
ContA-ContB,0.23017994446144166,False
ContA-ContC,0.1458198316173489,False
ContA-DefaultA,0.1472442029950302,False
ContA-DefaultB,0.14713564492049327,False
ContA-DefaultC,0.07149048803131497,False
ContA-DorsAttnA,-0.07016990562663668,False
ContA-DorsAttnB,0.07152839391082433,False
ContA-LimbicA,0.2940579412269351,False
ContA-LimbicB,0.28852272090460385,False
ContA-SalVentAttnA,0.035506636133878666,False
ContA-SalVentAttnB,0.27098845245058506,False
ContA-SomMotA,-0.1785342079859272,False
ContA-SomMotB,-0.11737610768812978,False
ContA-TempPar,0.07295288292337758,False
ContA-VisCent,0.03618799398076201,False
ContA-VisPeri,-0.13678602828794453,False
ContB-ContB,0.22306325224833354,True
ContB-ContC,0.1410690304039789,False
ContB-DefaultA,0.12701096237820195,False
ContB-DefaultB,0.12320187251972904,False
ContB-DefaultC,0.08881292646984149,False
ContB-DorsAttnA,-0.0283418932631479,False
ContB-DorsAttnB,0.0887908897838749,False
ContB-LimbicA,0.2276696893473495,False
ContB-LimbicB,0.19521876926457055,False
ContB-SalVentAttnA,-0.002321492692334999,False
ContB-SalVentAttnB,0.17301945947511266,False
ContB-SomMotA,-0.1581430800269558,False
ContB-SomMotB,-0.1244046430970297,False
ContB-TempPar,0.10473217661622951,False
ContB-VisCent,0.019418064793096195,False
ContB-VisPeri,-0.15423125577040311,False
ContC-ContC,0.2076320069698877,True
ContC-DefaultA,0.18844637475064127,False
ContC-DefaultB,0.11440711993324824,False
ContC-DefaultC,-0.006351380412757998,False
ContC-DorsAttnA,-0.03210188117941793,False
ContC-DorsAttnB,0.05856825706939072,False
ContC-LimbicA,0.15873540168912173,False
ContC-LimbicB,0.15151636742030103,False
ContC-SalVentAttnA,-0.0013525945301112348,False
ContC-SalVentAttnB,0.14667163589802898,False
ContC-SomMotA,-0.0696160213690788,False
ContC-SomMotB,-0.0969138582967255,False
ContC-TempPar,0.024995064978970975,False
ContC-VisCent,0.0364036786322506,False
