network_connection,fc,within_network
ContA-ContA,0.24402901047058836,True
ContA-ContB,0.12001551739098586,False
ContA-ContC,0.09694768005715698,False
ContA-DefaultA,0.12610126595074833,False
ContA-DefaultB,0.15025268645190346,False
ContA-DefaultC,0.09690748413051799,False
ContA-DorsAttnA,-0.05362871344028926,False
ContA-DorsAttnB,0.05389817941859928,False
ContA-LimbicA,0.25593821297693875,False
ContA-LimbicB,0.16397429254811688,False
ContA-SalVentAttnA,0.03968211090221702,False
ContA-SalVentAttnB,0.17479279347566257,False
ContA-SomMotA,-0.06847148716579307,False
ContA-SomMotB,0.002279125055109082,False
ContA-TempPar,0.06103847987024791,False
ContA-VisCent,-0.003067296233486403,False
ContA-VisPeri,-0.02197406190410996,False
ContB-ContB,0.1637509728053138,True
ContB-ContC,0.05348358839509682,False
ContB-DefaultA,0.00017401505631703748,False
ContB-DefaultB,0.039339178467775536,False
ContB-DefaultC,0.14649634716146578,False
ContB-DorsAttnA,0.017656552281099948,False
ContB-DorsAttnB,0.06474974354390384,False
ContB-LimbicA,0.09966701867157066,False
ContB-LimbicB,0.04444875067243288,False
ContB-SalVentAttnA,0.010959518642880153,False
ContB-SalVentAttnB,0.02609462945179743,False
ContB-SomMotA,-0.017169024462370508,False
ContB-SomMotB,0.010291672681977952,False
ContB-TempPar,0.20265990082620036,False
ContB-VisCent,0.014423360269616532,False
ContB-VisPeri,-0.010929566216069631,False
ContC-ContC,0.30518056885242817,True
ContC-DefaultA,0.29101215702472366,False
ContC-DefaultB,0.214664099417835,False
ContC-DefaultC,0.06907191548365028,False
ContC-DorsAttnA,-0.06799401102127128,False
ContC-DorsAttnB,0.0026499280474594216,False
ContC-LimbicA,0.14249023105430758,False
ContC-LimbicB,0.2052330329563193,False
ContC-SalVentAttnA,0.04476354177461185,False
ContC-SalVentAttnB,0.20083153016554164,False
ContC-SomMotA,-0.017548566932149758,False
ContC-SomMotB,0.02887543677685891,False
ContC-TempPar,-0.016407717641533457,False
ContC-VisCent,0.024237833171719115,False
ContC-VisPeri,0.03982395468181532,False
DefaultA-DefaultA,0.34445070949363255,True
DefaultA-DefaultB,0.2836388644008393,False
DefaultA-DefaultC,0.052836205727398014,False
DefaultA-DorsAttnA,-0.07389139013686118,False
DefaultA-DorsAttnB,-0.003166203017195581,False
DefaultA-LimbicA,0.16021352611495412,False
DefaultA-LimbicB,0.24419409134228431,False
DefaultA-SalVentAttnA,0.06133591437600543,False
DefaultA-SalVentAttnB,0.2543233176273898,False
DefaultA-SomMotA,-0.03612963235150438,False
DefaultA-SomMotB,0.05367704720032435,False
DefaultA-TempPar,-0.06868131515872843,False
DefaultA-VisCent,0.03536286569772303,False
DefaultA-VisPeri,0.031627322010060833,False
DefaultB-DefaultB,0.3748525841124536,True
DefaultB-DefaultC,0.24010215464737225,False
DefaultB-DorsAttnA,-0.1229543309213513,False
DefaultB-DorsAttnB,-0.08007921036320904,False
DefaultB-LimbicA,0.15411033841249228,False
DefaultB-LimbicB,0.20026865118385792,False
DefaultB-SalVentAttnA,0.025430773491204175,False
DefaultB-SalVentAttnB,0.1798878482448429,False
DefaultB-SomMotA,-0.10073291936276539,False
DefaultB-SomMotB,0.03916507121925565,False
DefaultB-TempPar,0.0023068104101156574,False
DefaultB-VisCent,-0.01444026721900063,False
DefaultB-VisPeri,-0.05706286861108555,False
DefaultC-DefaultC,0.4281328364590384,True
DefaultC-DorsAttnA,-0.09220227254114766,False
DefaultC-DorsAttnB,-0.04733741279376455,False
DefaultC-LimbicA,0.06413491723273955,False
DefaultC-LimbicB,0.02941626893357326,False
DefaultC-SalVentAttnA,-0.006351227875130076,False
DefaultC-SalVentAttnB,-0.013210093130184595,False
DefaultC-SomMotA,-0.03200295339741438,False
DefaultC-SomMotB,0.03150004762099127,False
DefaultC-TempPar,0.3500864827313984,False
DefaultC-VisCent,0.011971426786388016,False
DefaultC-VisPeri,-0.030477291722078352,False
DorsAttnA-DorsAttnA,0.3276578779191141,True
DorsAttnA-DorsAttnB,0.15193890062203325,False
DorsAttnA-LimbicA,-0.028189827556058897,False
DorsAttnA-LimbicB,-0.04240619336214997,False
DorsAttnA-SalVentAttnA,0.08578191274604186,False
DorsAttnA-SalVentAttnB,0.01487753833947116,False
DorsAttnA-SomMotA,0.10577142997994217,False
DorsAttnA-SomMotB,0.09385053562186217,False
DorsAttnA-TempPar,-0.033283369644461554,False
DorsAttnA-VisCent,0.018124040678637463,False
DorsAttnA-VisPeri,0.07683667550815697,False
DorsAttnB-DorsAttnB,0.1906201544439418,True
DorsAttnB-LimbicA,0.053098166544958095,False
DorsAttnB-LimbicB,0.042026067255903056,False
DorsAttnB-SalVentAttnA,0.08618806830073837,False
DorsAttnB-SalVentAttnB,0.09254538863418467,False
DorsAttnB-SomMotA,0.06704882941168146,False
DorsAttnB-SomMotB,0.03731978163194923,False
DorsAttnB-TempPar,0.08522350109530662,False
DorsAttnB-VisCent,0.06957946232644967,False
DorsAttnB-VisPeri,0.11425489554638686,False
LimbicA-LimbicA,0.28876637768008656,True
LimbicA-LimbicB,0.2155027400327393,False
LimbicA-SalVentAttnA,0.061110866956508574,False
LimbicA-SalVentAttnB,0.2308944428008437,False
LimbicA-SomMotA,-0.07896892173395251,False
LimbicA-SomMotB,0.0018386695981255133,False
LimbicA-TempPar,-0.028198982648763006,False
LimbicA-VisCent,-0.02060471957672847,False
LimbicA-VisPeri,-0.0295061172150129,False
LimbicB-LimbicB,0.30341377635154776,True
LimbicB-SalVentAttnA,0.1042749187966955,False
LimbicB-SalVentAttnB,0.3189804215041372,False
LimbicB-SomMotA,-0.10690657406792597,False
LimbicB-SomMotB,0.042531472782257246,False
LimbicB-TempPar,-0.10618740470478168,False
LimbicB-VisCent,-0.006401735340684427,False
LimbicB-VisPeri,-0.041763048419083654,False
SalVentAttnA-SalVentAttnA,0.11633889873643212,True
SalVentAttnA-SalVentAttnB,0.1430820568822886,False
SalVentAttnA-SomMotA,0.00854804359170413,False
SalVentAttnA-SomMotB,0.0688372647370026,False
SalVentAttnA-TempPar,-0.015587493177830107,False
SalVentAttnA-VisCent,0.0009266486683057708,False
SalVentAttnA-VisPeri,0.04774331816685718,False
SalVentAttnB-SalVentAttnB,0.36667566242622285,True
SalVentAttnB-SomMotA,-0.08300294822667115,False
SalVentAttnB-SomMotB,0.04542225522658279,False
SalVentAttnB-TempPar,-0.11019664861974716,False
SalVentAttnB-VisCent,-0.010731774960636905,False
SalVentAttnB-VisPeri,0.022702757242864097,False
SomMotA-SomMotA,0.2533670735828376,True
SomMotA-SomMotB,0.09060474122562416,False
SomMotA-TempPar,0.05625219126243984,False
SomMotA-VisCent,0.15876663898863533,False
SomMotA-VisPeri,0.22060747777344308,False
SomMotB-SomMotB,0.13719816553819747,True
SomMotB-TempPar,0.011401732211624367,False
SomMotB-VisCent,0.06943802399956543,False
SomMotB-VisPeri,0.07543231063064959,False
TempPar-TempPar,0.6363206788135152,True
TempPar-VisCent,0.05068763513254696,False
TempPar-VisPeri,0.054097438185835844,False
VisCent-VisCent,0.19662644906085877,True
VisCent-VisPeri,0.17724065547673334,False
VisPeri-VisPeri,0.3057033259412901,True
