network_connection,fc,within_network
ContA-ContA,0.20475561558773323,True
ContA-ContB,0.13026343186893447,False
ContA-ContC,0.05543083224323947,False
ContA-DefaultA,0.05905572981982072,False
ContA-DefaultB,0.09756794400717955,False
ContA-DefaultC,0.15337178770588183,False
ContA-DorsAttnA,-0.0638605333240462,False
ContA-DorsAttnB,0.043331254639402406,False
ContA-LimbicA,0.2279075856753216,False
ContA-LimbicB,0.1845759711418892,False
ContA-SalVentAttnA,0.028618496425854963,False
ContA-SalVentAttnB,0.192916351062346,False
ContA-SomMotA,-0.1598651318939417,False
ContA-SomMotB,-0.06451276292411227,False
ContA-TempPar,0.08895529600309748,False
ContA-VisCent,-0.009314441622533939,False
ContA-VisPeri,-0.15964737758221995,False
ContB-ContB,0.1432092867316409,True
ContB-ContC,0.05314973486280195,False
ContB-DefaultA,0.030867607879076043,False
ContB-DefaultB,0.0651062906585949,False
ContB-DefaultC,0.1415021082778857,False
ContB-DorsAttnA,-0.02306349219046666,False
ContB-DorsAttnB,0.03725454088479541,False
ContB-LimbicA,0.1277395523716952,False
ContB-LimbicB,0.09174508753368603,False
ContB-SalVentAttnA,1.5152733203409074e-05,False
ContB-SalVentAttnB,0.08818139758210639,False
ContB-SomMotA,-0.11963954754500236,False
ContB-SomMotB,-0.06376799199038709,False
ContB-TempPar,0.1350151850867656,False
ContB-VisCent,-0.003402931192577765,False
ContB-VisPeri,-0.12504801291779827,False
ContC-ContC,0.18095036651424817,True
ContC-DefaultA,0.13599468639603138,False
ContC-DefaultB,0.05758283718236643,False
ContC-DefaultC,-0.025792618727648913,False
ContC-DorsAttnA,-0.05698122504989596,False
ContC-DorsAttnB,0.01336186038187103,False
ContC-LimbicA,0.07340788893360436,False
ContC-LimbicB,0.09659634165317085,False
ContC-SalVentAttnA,0.015471815664746874,False
ContC-SalVentAttnB,0.11031754452474941,False
ContC-SomMotA,-0.030195625703579584,False
ContC-SomMotB,-0.03943906077238503,False
ContC-TempPar,-0.018835041452449634,False
ContC-VisCent,0.00852608792474612,False
ContC-VisPeri,-0.036100191146616285,False
DefaultA-DefaultA,0.12289029830589052,True
DefaultA-DefaultB,0.059428302102480686,False
DefaultA-DefaultC,-0.018651665934095417,False
DefaultA-DorsAttnA,-0.05821534669762146,False
DefaultA-DorsAttnB,0.009439145409142301,False
DefaultA-LimbicA,0.07391718661011831,False
DefaultA-LimbicB,0.1066564253753562,False
DefaultA-SalVentAttnA,0.018996221729767778,False
DefaultA-SalVentAttnB,0.10967210380125186,False
DefaultA-SomMotA,-0.03637549438417057,False
DefaultA-SomMotB,-0.03074204767525431,False
DefaultA-TempPar,-0.019782637120409573,False
DefaultA-VisCent,0.010712246597995308,False
DefaultA-VisPeri,-0.04375468132852863,False
DefaultB-DefaultB,0.10641150431892221,True
DefaultB-DefaultC,0.1829273451326504,False
DefaultB-DorsAttnA,-0.079904484493891,False
DefaultB-DorsAttnB,-0.0011908412285277562,False
DefaultB-LimbicA,0.09212043643340771,False
DefaultB-LimbicB,0.10919411293961766,False
DefaultB-SalVentAttnA,0.009733520763607548,False
DefaultB-SalVentAttnB,0.10279530688217503,False
DefaultB-SomMotA,-0.10271569233394505,False
DefaultB-SomMotB,-0.05694523693351182,False
DefaultB-TempPar,0.11290203332659128,False
DefaultB-VisCent,-0.0066054479433076884,False
DefaultB-VisPeri,-0.0951951056232921,False
DefaultC-DefaultC,0.5018723734208862,True
DefaultC-DorsAttnA,-0.12939392062297153,False
DefaultC-DorsAttnB,-0.006353854138644863,False
DefaultC-LimbicA,0.11793561952263613,False
DefaultC-LimbicB,0.14448966802911076,False
DefaultC-SalVentAttnA,0.0020692596309727427,False
DefaultC-SalVentAttnB,0.11687766098176215,False
DefaultC-SomMotA,-0.2400524462142525,False
DefaultC-SomMotB,-0.12896702476027974,False
DefaultC-TempPar,0.41147555806401714,False
DefaultC-VisCent,-0.03306747022767846,False
DefaultC-VisPeri,-0.20709478574545034,False
DorsAttnA-DorsAttnA,0.2143810670605152,True
DorsAttnA-DorsAttnB,0.07073045639074751,False
DorsAttnA-LimbicA,-0.03986884569196194,False
DorsAttnA-LimbicB,-0.10866055446904734,False
DorsAttnA-SalVentAttnA,0.017720341674869553,False
DorsAttnA-SalVentAttnB,-0.062331262867610315,False
DorsAttnA-SomMotA,0.07307300577559657,False
DorsAttnA-SomMotB,0.0670673742128661,False
DorsAttnA-TempPar,-0.1123442438200682,False
DorsAttnA-VisCent,0.01564981410101219,False
DorsAttnA-VisPeri,0.0565431056572536,False
DorsAttnB-DorsAttnB,0.07193022434207998,True
DorsAttnB-LimbicA,0.07215779609927557,False
DorsAttnB-LimbicB,0.0473640126340991,False
DorsAttnB-SalVentAttnA,0.027452568386816045,False
DorsAttnB-SalVentAttnB,0.0751228992266794,False
DorsAttnB-SomMotA,-0.03100067646227159,False
DorsAttnB-SomMotB,-0.013186099872344521,False
DorsAttnB-TempPar,-0.012605087357283759,False
DorsAttnB-VisCent,0.015604387273389137,False
DorsAttnB-VisPeri,-0.02243111924653633,False
LimbicA-LimbicA,0.25469671419591716,True
LimbicA-LimbicB,0.20600576746665655,False
LimbicA-SalVentAttnA,0.045082514512396726,False
LimbicA-SalVentAttnB,0.2280221285617719,False
LimbicA-SomMotA,-0.16003631201181034,False
LimbicA-SomMotB,-0.05666694070201672,False
LimbicA-TempPar,0.05461420180516658,False
LimbicA-VisCent,-0.007187774492374948,False
LimbicA-VisPeri,-0.1654946056546657,False
LimbicB-LimbicB,0.2594164910966603,True
LimbicB-SalVentAttnA,0.06146207337359278,False
LimbicB-SalVentAttnB,0.2631806329072405,False
LimbicB-SomMotA,-0.16319623557699106,False
LimbicB-SomMotB,-0.06019157402010039,False
LimbicB-TempPar,0.08028636905819236,False
LimbicB-VisCent,0.013072190900772815,False
LimbicB-VisPeri,-0.15555344401453647,False
SalVentAttnA-SalVentAttnA,0.045273641155435425,True
SalVentAttnA-SalVentAttnB,0.07485833634235026,False
SalVentAttnA-SomMotA,-0.027972473612333734,False
SalVentAttnA-SomMotB,0.016873727276057123,False
SalVentAttnA-TempPar,-0.0211429990389516,False
SalVentAttnA-VisCent,0.006399237255791489,False
SalVentAttnA-VisPeri,-0.013096891806982149,False
SalVentAttnB-SalVentAttnB,0.28605472460111714,True
SalVentAttnB-SomMotA,-0.1720595131530524,False
SalVentAttnB-SomMotB,-0.06556083748481718,False
SalVentAttnB-TempPar,0.06758754741829877,False
SalVentAttnB-VisCent,-0.0014450528596368513,False
SalVentAttnB-VisPeri,-0.15612895725463738,False
SomMotA-SomMotA,0.2278754852822398,True
SomMotA-SomMotB,0.10969440369728889,False
SomMotA-TempPar,-0.2137290455800911,False
SomMotA-VisCent,0.04850313618708633,False
SomMotA-VisPeri,0.2302973352950322,False
SomMotB-SomMotB,0.11524455177599888,True
SomMotB-TempPar,-0.1371459223401151,False
SomMotB-VisCent,0.03665997379764068,False
SomMotB-VisPeri,0.08346776861485637,False
TempPar-TempPar,0.46930238046566636,True
TempPar-VisCent,-0.048071457695194254,False
TempPar-VisPeri,-0.1985030516467396,False
VisCent-VisCent,0.0444002414084472,True
VisCent-VisPeri,0.047310406618960354,False
VisPeri-VisPeri,0.29926969815362714,True
