network_connection,fc,within_network
ContA-ContA,0.2511521588822934,True
ContA-ContB,0.0815644550592159,False
ContA-ContC,0.10367310154285554,False
ContA-DefaultA,0.09422628628377591,False
ContA-DefaultB,0.054913514610852865,False
ContA-DefaultC,-0.028568498775007747,False
ContA-DorsAttnA,-0.033920211976690005,False
ContA-DorsAttnB,0.05298210897192473,False
ContA-LimbicA,0.2298304912085407,False
ContA-LimbicB,0.18256305997089592,False
ContA-SalVentAttnA,0.04226492283317199,False
ContA-SalVentAttnB,0.21000695810989647,False
ContA-SomMotA,-0.08340896058114124,False
ContA-SomMotB,-0.06439145483363264,False
ContA-TempPar,-0.13048997661913764,False
ContA-VisCent,-0.00015710096192168407,False
ContA-VisPeri,-0.08327842681729557,False
ContB-ContB,0.15432947624595916,True
ContB-ContC,0.11809616372429481,False
ContB-DefaultA,0.09141331857294134,False
ContB-DefaultB,0.12360466908102369,False
ContB-DefaultC,0.18449273876563035,False
ContB-DorsAttnA,0.0001908179377699736,False
ContB-DorsAttnB,0.02071551159342335,False
ContB-LimbicA,0.030099014948772363,False
ContB-LimbicB,0.08240929112096607,False
ContB-SalVentAttnA,0.014889468091684248,False
ContB-SalVentAttnB,0.06643896741514829,False
ContB-SomMotA,-0.05597347603522799,False
ContB-SomMotB,-0.025276404977247594,False
ContB-TempPar,0.10574578237790705,False
ContB-VisCent,0.011882429677483156,False
ContB-VisPeri,-0.05504684941324141,False
ContC-ContC,0.2937222473929433,True
ContC-DefaultA,0.2865787818303249,False
ContC-DefaultB,0.21184139351317732,False
ContC-DefaultC,0.05178116394428738,False
ContC-DorsAttnA,-0.07310539717653226,False
ContC-DorsAttnB,0.007231010383423255,False
ContC-LimbicA,0.10841002423940098,False
ContC-LimbicB,0.17331266405445594,False
ContC-SalVentAttnA,0.0293101737525569,False
ContC-SalVentAttnB,0.17640739045909845,False
ContC-SomMotA,-0.06384376973724588,False
ContC-SomMotB,-0.06559156764393674,False
ContC-TempPar,-0.06705287175579423,False
ContC-VisCent,0.026194217981774043,False
ContC-VisPeri,-0.10318695436577212,False
DefaultA-DefaultA,0.30933198528461897,True
DefaultA-DefaultB,0.24876964158509327,False
DefaultA-DefaultC,0.028799997356183448,False
DefaultA-DorsAttnA,-0.08306106519880041,False
DefaultA-DorsAttnB,-0.009643295057622596,False
DefaultA-LimbicA,0.08077207036349825,False
DefaultA-LimbicB,0.1420703440358254,False
DefaultA-SalVentAttnA,0.014552875862172876,False
DefaultA-SalVentAttnB,0.13867936267414283,False
DefaultA-SomMotA,-0.04795572568036051,False
DefaultA-SomMotB,-0.058133036138100155,False
DefaultA-TempPar,-0.09164694743603825,False
DefaultA-VisCent,0.048740012188569715,False
DefaultA-VisPeri,-0.09519716699160909,False
DefaultB-DefaultB,0.2689260208432286,True
DefaultB-DefaultC,0.20397668590357368,False
DefaultB-DorsAttnA,-0.08859204288497328,False
DefaultB-DorsAttnB,-0.040890534135419744,False
DefaultB-LimbicA,-0.000585062056337541,False
DefaultB-LimbicB,0.08367083690020441,False
DefaultB-SalVentAttnA,-0.009759020301213795,False
DefaultB-SalVentAttnB,0.0684562964186841,False
DefaultB-SomMotA,-0.052070363704202385,False
DefaultB-SomMotB,-0.053794306600158506,False
DefaultB-TempPar,0.011621218680885538,False
DefaultB-VisCent,0.03456229284376642,False
DefaultB-VisPeri,-0.08346484480568755,False
DefaultC-DefaultC,0.5343885902991381,True
DefaultC-DorsAttnA,-0.03699549761745256,False
