network_connection,fc,within_network
ContA-ContA,0.27775011657237914,True
ContA-ContB,0.24806371859094137,False
ContA-ContC,0.20194327445695,False
ContA-DefaultA,0.22085742362676528,False
ContA-DefaultB,0.24058665126381,False
ContA-DefaultC,0.1572114128983384,False
ContA-DorsAttnA,-0.034214562995924076,False
ContA-DorsAttnB,0.06185810622423565,False
ContA-LimbicA,0.27595174045485954,False
ContA-LimbicB,0.15736053646819062,False
ContA-SalVentAttnA,-0.04175296013809829,False
ContA-SalVentAttnB,0.12498758551899121,False
ContA-SomMotA,-0.0641072331493653,False
ContA-SomMotB,-0.06472921754380462,False
ContA-TempPar,0.05536279975037272,False
ContA-VisCent,0.07069869786311198,False
ContA-VisPeri,-0.04738626799410332,False
ContB-ContB,0.27774880517137945,True
ContB-ContC,0.21579111310706597,False
ContB-DefaultA,0.19809134647700963,False
ContB-DefaultB,0.22665899431844172,False
ContB-DefaultC,0.19290029936567782,False
ContB-DorsAttnA,-0.020111737641946546,False
ContB-DorsAttnB,0.07209605414753954,False
ContB-LimbicA,0.235109038583052,False
ContB-LimbicB,0.13678291391160874,False
ContB-SalVentAttnA,-0.054220894726534866,False
ContB-SalVentAttnB,0.10364990651002158,False
ContB-SomMotA,-0.06679441414193203,False
ContB-SomMotB,-0.07288913562016293,False
ContB-TempPar,0.11745661940344856,False
ContB-VisCent,0.08065777652988838,False
ContB-VisPeri,-0.0638591628933049,False
ContC-ContC,0.32082988446711874,True
ContC-DefaultA,0.2830194193161217,False
ContC-DefaultB,0.23075930087891974,False
ContC-DefaultC,0.10601108376535977,False
ContC-DorsAttnA,-0.03973068427759587,False
ContC-DorsAttnB,0.03894120492664492,False
ContC-LimbicA,0.23639015825939852,False
ContC-LimbicB,0.17631073071803668,False
ContC-SalVentAttnA,-0.033960518587306136,False
ContC-SalVentAttnB,0.16437783620065802,False
ContC-SomMotA,-0.04111825218425375,False
ContC-SomMotB,-0.06559466426361564,False
ContC-TempPar,-0.012549052832655505,False
ContC-VisCent,0.06296121515194955,False
ContC-VisPeri,-0.03194017933916214,False
DefaultA-DefaultA,0.28521828745363836,True
DefaultA-DefaultB,0.27564950770976077,False
DefaultA-DefaultC,0.15115844924442423,False
DefaultA-DorsAttnA,-0.06191508680453341,False
DefaultA-DorsAttnB,0.019081361770110807,False
DefaultA-LimbicA,0.23213508879718386,False
DefaultA-LimbicB,0.16562748533478874,False
DefaultA-SalVentAttnA,-0.04379816943310665,False
DefaultA-SalVentAttnB,0.12791987140929734,False
DefaultA-SomMotA,-0.04921044610585131,False
DefaultA-SomMotB,-0.058266304653124115,False
DefaultA-TempPar,0.024967557873142823,False
DefaultA-VisCent,0.06436360171210259,False
DefaultA-VisPeri,-0.03506944706379696,False
DefaultB-DefaultB,0.3564427520727466,True
DefaultB-DefaultC,0.32042119523979823,False
DefaultB-DorsAttnA,-0.11504309312008197,False
DefaultB-DorsAttnB,-0.00886982849923351,False
DefaultB-LimbicA,0.22354348043899597,False
DefaultB-LimbicB,0.15759074205031723,False
DefaultB-SalVentAttnA,-0.07284938031320107,False
DefaultB-SalVentAttnB,0.07149626029386552,False
DefaultB-SomMotA,-0.08397178685287277,False
DefaultB-SomMotB,-0.06921574693914866,False
DefaultB-TempPar,0.15849281037751112,False
DefaultB-VisCent,0.06209943604932474,False
DefaultB-VisPeri,-0.06013623634077262,False
DefaultC-DefaultC,0.4872976359264334,True
DefaultC-DorsAttnA,-0.1827463551046605,False
DefaultC-DorsAttnB,-0.041194496323603336,False
DefaultC-LimbicA,0.1342997285097072,False
DefaultC-LimbicB,0.11754988996568899,False
DefaultC-SalVentAttnA,-0.07608645562606851,False
DefaultC-SalVentAttnB,0.011011126170708747,False
DefaultC-SomMotA,-0.14919344404898058,False
DefaultC-SomMotB,-0.1176217924763284,False
DefaultC-TempPar,0.3846212603112414,False
DefaultC-VisCent,0.02462919595482838,False
DefaultC-VisPeri,-0.1429936467367355,False
DorsAttnA-DorsAttnA,0.22937860605957625,True
DorsAttnA-DorsAttnB,0.11510565147202427,False
DorsAttnA-LimbicA,-0.021434608303963376,False
DorsAttnA-LimbicB,-0.0743159509713863,False
DorsAttnA-SalVentAttnA,0.008626801150044864,False
DorsAttnA-SalVentAttnB,-0.0023662253875351086,False
DorsAttnA-SomMotA,0.08209854259013746,False
DorsAttnA-SomMotB,0.060763373337244166,False
DorsAttnA-TempPar,-0.1388259431199988,False
DorsAttnA-VisCent,0.01941797358087298,False
DorsAttnA-VisPeri,0.055750172626053016,False
DorsAttnB-DorsAttnB,0.12685557264354874,True
DorsAttnB-LimbicA,0.07520983802519636,False
DorsAttnB-LimbicB,0.0533902564055348,False
DorsAttnB-SalVentAttnA,0.019140997321025362,False
DorsAttnB-SalVentAttnB,0.09577378921211954,False
DorsAttnB-SomMotA,0.000575726763781914,False
DorsAttnB-SomMotB,-0.03002989749054383,False
DorsAttnB-TempPar,-0.03777443505409638,False
DorsAttnB-VisCent,0.049949954230572385,False
DorsAttnB-VisPeri,-0.0031813307161862275,False
LimbicA-LimbicA,0.2864513841873271,True
LimbicA-LimbicB,0.18549997444393668,False
LimbicA-SalVentAttnA,-0.03340355850689281,False
LimbicA-SalVentAttnB,0.17394226753451894,False
LimbicA-SomMotA,-0.06501907575254953,False
LimbicA-SomMotB,-0.07517645179663407,False
LimbicA-TempPar,0.029118002204333058,False
LimbicA-VisCent,0.07443406117556944,False
LimbicA-VisPeri,-0.0549814796895203,False
LimbicB-LimbicB,0.22523745072831647,True
LimbicB-SalVentAttnA,0.03566655993543938,False
LimbicB-SalVentAttnB,0.22043218435082698,False
LimbicB-SomMotA,-0.09903591867832784,False
LimbicB-SomMotB,-0.08473074090390814,False
LimbicB-TempPar,0.02495559110852581,False
LimbicB-VisCent,0.03737399124082293,False
LimbicB-VisPeri,-0.12308975063097821,False
SalVentAttnA-SalVentAttnA,0.09374188168899314,True
SalVentAttnA-SalVentAttnB,0.06594681322350879,False
SalVentAttnA-SomMotA,-0.005452649656690261,False
SalVentAttnA-SomMotB,0.042173252395897205,False
SalVentAttnA-TempPar,-0.08921332154778049,False
SalVentAttnA-VisCent,-0.021084077343120834,False
SalVentAttnA-VisPeri,-0.016653448471480377,False
SalVentAttnB-SalVentAttnB,0.2810503113857952,True
SalVentAttnB-SomMotA,-0.09839987766052616,False
SalVentAttnB-SomMotB,-0.09611720718949437,False
SalVentAttnB-TempPar,-0.04121067399941147,False
SalVentAttnB-VisCent,0.016449176713040633,False
SalVentAttnB-VisPeri,-0.14105975296342696,False
SomMotA-SomMotA,0.13745144229626574,True
SomMotA-SomMotB,0.09445956324124097,False
SomMotA-TempPar,-0.13957364529775462,False
SomMotA-VisCent,0.042894207827563535,False
SomMotA-VisPeri,0.17246449857712853,False
SomMotB-SomMotB,0.14548016255804325,True
SomMotB-TempPar,-0.12371355427816509,False
SomMotB-VisCent,0.00424011410885947,False
SomMotB-VisPeri,0.10463416365370705,False
TempPar-TempPar,0.4866288389147964,True
TempPar-VisCent,-0.0005031037080099474,False
TempPar-VisPeri,-0.12950419166162846,False
VisCent-VisCent,0.09131379140179716,True
VisCent-VisPeri,0.06881452280988133,False
VisPeri-VisPeri,0.28086163380509166,True
