network_connection,fc,within_network
ContA-ContA,0.2639827847796712,True
ContA-ContB,0.188342511169999,False
ContA-ContC,0.13118840875119814,False
ContA-DefaultA,0.15985848980179457,False
ContA-DefaultB,0.2250571939009436,False
ContA-DefaultC,0.14445507107864827,False
ContA-DorsAttnA,-0.06275735667530478,False
ContA-DorsAttnB,0.04759211327877377,False
ContA-LimbicA,0.2565370221707859,False
ContA-LimbicB,0.10792950167194859,False
ContA-SalVentAttnA,-0.018254820657958755,False
ContA-SalVentAttnB,0.04250791144820272,False
ContA-SomMotA,-0.046994169653463015,False
ContA-SomMotB,-0.07651385583191166,False
ContA-TempPar,0.06997872356580968,False
ContA-VisCent,0.05405753234969335,False
ContA-VisPeri,-0.02362597775225365,False
ContB-ContB,0.20741865009163932,True
ContB-ContC,0.1364682424079308,False
ContB-DefaultA,0.11865614752800405,False
ContB-DefaultB,0.18443363566362045,False
ContB-DefaultC,0.1939794176951175,False
ContB-DorsAttnA,-0.05228628145015634,False
ContB-DorsAttnB,0.022723524875822288,False
ContB-LimbicA,0.177376820343973,False
ContB-LimbicB,0.0650646946216776,False
ContB-SalVentAttnA,-0.044148191821236506,False
ContB-SalVentAttnB,-0.007565719524247823,False
ContB-SomMotA,-0.06254746728661167,False
ContB-SomMotB,-0.08690758058107458,False
ContB-TempPar,0.18348519000193456,False
ContB-VisCent,0.03742319668585066,False
ContB-VisPeri,-0.05502630887666882,False
ContC-ContC,0.31771671994241757,True
ContC-DefaultA,0.2676806934713744,False
ContC-DefaultB,0.2256631302806048,False
ContC-DefaultC,0.11383785569098755,False
ContC-DorsAttnA,-0.09691192423425708,False
ContC-DorsAttnB,0.015502779145539887,False
ContC-LimbicA,0.2221799243184771,False
ContC-LimbicB,0.16799428793342935,False
ContC-SalVentAttnA,-0.008990289554505754,False
ContC-SalVentAttnB,0.10610735650653536,False
ContC-SomMotA,-0.054575621469185945,False
ContC-SomMotB,-0.06620333587826006,False
ContC-TempPar,0.05280092830793642,False
ContC-VisCent,0.06353932925011803,False
ContC-VisPeri,-0.05609309078938587,False
DefaultA-DefaultA,0.25982737206811213,True
