network_connection,fc,within_network
ContA-ContA,0.15306183914361837,True
ContA-ContB,0.08257282339955747,False
ContA-ContC,0.06002751896689925,False
ContA-DefaultA,0.0758901161823543,False
ContA-DefaultB,0.07180554819362843,False
ContA-DefaultC,0.030736201093110278,False
ContA-DorsAttnA,-0.009699205678247726,False
ContA-DorsAttnB,0.009350351938190954,False
ContA-LimbicA,0.12922746625721876,False
ContA-LimbicB,0.09522969700865437,False
ContA-SalVentAttnA,0.013742816503672933,False
ContA-SalVentAttnB,0.10954390798241602,False
ContA-SomMotA,-0.07520255892641896,False
ContA-SomMotB,-0.0350344070203391,False
ContA-TempPar,0.018930083318671544,False
ContA-VisCent,-0.03334820886217802,False
ContA-VisPeri,-0.07148376384846854,False
ContB-ContB,0.1339141230660474,True
ContB-ContC,0.08461900046975541,False
ContB-DefaultA,0.0380755298550918,False
ContB-DefaultB,0.043719580639376934,False
ContB-DefaultC,0.09233233598296516,False
ContB-DorsAttnA,0.020059213092349835,False
ContB-DorsAttnB,0.04434780062334206,False
ContB-LimbicA,0.05019501368156163,False
ContB-LimbicB,0.048116184721232656,False
ContB-SalVentAttnA,-0.001466873629448703,False
ContB-SalVentAttnB,0.05002677496494762,False
ContB-SomMotA,-0.08046307969503692,False
ContB-SomMotB,-0.043439175633958806,False
ContB-TempPar,0.16333908261258995,False
ContB-VisCent,-0.02639023333233093,False
ContB-VisPeri,-0.10442674574559913,False
ContC-ContC,0.27020560436049834,True
ContC-DefaultA,0.25623310922467807,False
ContC-DefaultB,0.19632121943593706,False
ContC-DefaultC,0.07055243337203124,False
ContC-DorsAttnA,-0.0490499465029556,False
ContC-DorsAttnB,0.01023957611634406,False
ContC-LimbicA,0.08140225991255748,False
ContC-LimbicB,0.1288074197555548,False
ContC-SalVentAttnA,0.003551049496044748,False
ContC-SalVentAttnB,0.1395681702894133,False
ContC-SomMotA,-0.039009760131426326,False
ContC-SomMotB,-0.06870955919524203,False
ContC-TempPar,0.07090478616737474,False
ContC-VisCent,-0.015584609492837456,False
ContC-VisPeri,-0.02203075361905451,False
DefaultA-DefaultA,0.2940346334450113,True
DefaultA-DefaultB,0.2533411287993372,False
DefaultA-DefaultC,0.06966894920482945,False
DefaultA-DorsAttnA,-0.07847466833032278,False
DefaultA-DorsAttnB,-0.021650765328970065,False
DefaultA-LimbicA,0.09569935951275313,False
DefaultA-LimbicB,0.16079971150177552,False
DefaultA-SalVentAttnA,0.008760186575734921,False
DefaultA-SalVentAttnB,0.15311158569711258,False
DefaultA-SomMotA,-0.055694601387114025,False
DefaultA-SomMotB,-0.0570483424673704,False
DefaultA-TempPar,0.0016212635808358473,False
DefaultA-VisCent,-0.01129445079966996,False
DefaultA-VisPeri,-0.030691128358131294,False
DefaultB-DefaultB,0.3096644183251047,True
DefaultB-DefaultC,0.22503728024680544,False
DefaultB-DorsAttnA,-0.13086775831090353,False
DefaultB-DorsAttnB,-0.078677164383699,False
DefaultB-LimbicA,0.07264857814016566,False
DefaultB-LimbicB,0.12151871493846328,False
DefaultB-SalVentAttnA,-0.02630747298048767,False
DefaultB-SalVentAttnB,0.0907018943845252,False
DefaultB-SomMotA,-0.09272570768925721,False
DefaultB-SomMotB,-0.07393359003205824,False
DefaultB-TempPar,0.07085335433724509,False
DefaultB-VisCent,-0.025032469444224503,False
DefaultB-VisPeri,-0.07115372489936925,False
DefaultC-DefaultC,0.3976585023073907,True
DefaultC-DorsAttnA,-0.1674107417253706,False
DefaultC-DorsAttnB,-0.09545913207635096,False
DefaultC-LimbicA,0.006988733303286608,False
DefaultC-LimbicB,0.041075528811479994,False
DefaultC-SalVentAttnA,-0.06818067385389928,False
DefaultC-SalVentAttnB,-0.015558976496626135,False
DefaultC-SomMotA,-0.12373457298729347,False
DefaultC-SomMotB,-0.10145207540276771,False
DefaultC-TempPar,0.3065299217226355,False
DefaultC-VisCent,-0.01578774273543381,False
DefaultC-VisPeri,-0.11834983044354852,False
DorsAttnA-DorsAttnA,0.3065674303875397,True
DorsAttnA-DorsAttnB,0.14118954023870334,False
DorsAttnA-LimbicA,-0.015834655608950865,False
DorsAttnA-LimbicB,-0.0378144087314878,False
DorsAttnA-SalVentAttnA,0.06396849341614005,False
DorsAttnA-SalVentAttnB,0.021825453996703704,False
DorsAttnA-SomMotA,-0.034897824281697847,False
DorsAttnA-SomMotB,0.0974678675578316,False
DorsAttnA-TempPar,-0.07979880755390757,False
DorsAttnA-VisCent,-0.06194141446635824,False
DorsAttnA-VisPeri,-0.1003874636001586,False
DorsAttnB-DorsAttnB,0.14843283102979027,True
DorsAttnB-LimbicA,0.009525206059453681,False
DorsAttnB-LimbicB,0.047985447682351696,False
DorsAttnB-SalVentAttnA,0.06418432338025741,False
DorsAttnB-SalVentAttnB,0.07821523313556066,False
DorsAttnB-SomMotA,-0.013819810949227695,False
DorsAttnB-SomMotB,0.008647187449114559,False
DorsAttnB-TempPar,-0.023888298631847934,False
DorsAttnB-VisCent,0.008906132027297984,False
DorsAttnB-VisPeri,-0.029399404861929462,False
LimbicA-LimbicA,0.1458022805096745,True
LimbicA-LimbicB,0.13192548652313504,False
LimbicA-SalVentAttnA,0.0286402057978978,False
LimbicA-SalVentAttnB,0.14935575821404598,False
LimbicA-SomMotA,-0.055246996490902804,False
LimbicA-SomMotB,-0.023198448712822953,False
LimbicA-TempPar,-0.03483747955209905,False
LimbicA-VisCent,-0.028420587041153904,False
LimbicA-VisPeri,-0.06674257208206699,False
LimbicB-LimbicB,0.27388884849563755,True
LimbicB-SalVentAttnA,0.09452393351478822,False
LimbicB-SalVentAttnB,0.27765039518070145,False
LimbicB-SomMotA,-0.08663073758255244,False
LimbicB-SomMotB,-0.0031403716609038463,False
LimbicB-TempPar,-0.0130265597019744,False
LimbicB-VisCent,0.004109605245573123,False
LimbicB-VisPeri,-0.10666763935029772,False
SalVentAttnA-SalVentAttnA,0.08457014736645799,True
SalVentAttnA-SalVentAttnB,0.10703521907135062,False
SalVentAttnA-SomMotA,-0.009385765141177676,False
SalVentAttnA-SomMotB,0.055342252362267565,False
SalVentAttnA-TempPar,-0.06572056294500199,False
SalVentAttnA-VisCent,0.0010317011975337765,False
SalVentAttnA-VisPeri,-0.012185026894346758,False
SalVentAttnB-SalVentAttnB,0.29975952003912854,True
SalVentAttnB-SomMotA,-0.08579527277580404,False
SalVentAttnB-SomMotB,0.0035935086274400383,False
SalVentAttnB-TempPar,-0.037703650933030686,False
SalVentAttnB-VisCent,-0.018074809526707977,False
SalVentAttnB-VisPeri,-0.09199376119437878,False
SomMotA-SomMotA,0.18046174628363068,True
SomMotA-SomMotB,0.04540891517789503,False
SomMotA-TempPar,-0.0973568401362475,False
SomMotA-VisCent,0.06765465035495538,False
SomMotA-VisPeri,0.22111032678781875,False
SomMotB-SomMotB,0.1488623950699522,True
SomMotB-TempPar,-0.10091394699408897,False
SomMotB-VisCent,0.01335352768598224,False
SomMotB-VisPeri,0.010427482878964512,False
TempPar-TempPar,0.518917974017638,True
TempPar-VisCent,-0.029868403026016357,False
TempPar-VisPeri,-0.12240352603602982,False
VisCent-VisCent,0.08091407766734031,True
VisCent-VisPeri,0.09914446164131156,False
VisPeri-VisPeri,0.37124708065120643,True
