network_connection,fc,within_network
ContA-ContA,0.274896356425253,True
ContA-ContB,0.1155115296829286,False
ContA-ContC,0.03294048477486827,False
ContA-DefaultA,0.04651769815983233,False
ContA-DefaultB,0.04142655946678449,False
ContA-DefaultC,0.02722857570055135,False
ContA-DorsAttnA,0.01504722844386857,False
ContA-DorsAttnB,0.07111052372502094,False
ContA-LimbicA,0.2396797825634762,False
ContA-LimbicB,0.15962534721305136,False
ContA-SalVentAttnA,0.038431484112784985,False
ContA-SalVentAttnB,0.15953603175769837,False
ContA-SomMotA,-0.1655009358013226,False
ContA-SomMotB,-0.06151243905668315,False
ContA-TempPar,-0.002362852244844735,False
ContA-VisCent,-0.03659810638651315,False
ContA-VisPeri,-0.16482940591605663,False
ContB-ContB,0.14565821402590817,True
ContB-ContC,0.032478985013675965,False
ContB-DefaultA,0.00725003559863753,False
ContB-DefaultB,0.017822279939617776,False
ContB-DefaultC,0.08520221424759666,False
ContB-DorsAttnA,0.019518458498665868,False
ContB-DorsAttnB,0.05271948817864926,False
ContB-LimbicA,0.0990696581657674,False
ContB-LimbicB,0.02991662086329843,False
ContB-SalVentAttnA,-0.004173792720723691,False
ContB-SalVentAttnB,0.03259903587828207,False
ContB-SomMotA,-0.11516228708943141,False
ContB-SomMotB,-0.06280922961182986,False
ContB-TempPar,0.14699740366167147,False
ContB-VisCent,-0.023411082267709146,False
ContB-VisPeri,-0.1226394024142298,False
ContC-ContC,0.15454617754383326,True
ContC-DefaultA,0.11909735046316543,False
ContC-DefaultB,0.03604816405858415,False
ContC-DefaultC,-0.04153604970476938,False
ContC-DorsAttnA,-0.02325160645504033,False
ContC-DorsAttnB,0.008011312570232947,False
ContC-LimbicA,0.062072309421541176,False
ContC-LimbicB,0.08832803345212234,False
ContC-SalVentAttnA,0.019860604817404127,False
ContC-SalVentAttnB,0.1010205166238204,False
ContC-SomMotA,-0.02988286622770492,False
ContC-SomMotB,-0.03001367364796248,False
ContC-TempPar,-0.05079997391930033,False
ContC-VisCent,-0.013867687516760803,False
ContC-VisPeri,-0.03625243325911516,False
DefaultA-DefaultA,0.10753713507027646,True
DefaultA-DefaultB,0.04169397945480687,False
DefaultA-DefaultC,-0.0459388146513295,False
DefaultA-DorsAttnA,-0.026227571411743554,False
DefaultA-DorsAttnB,0.0045020591122834925,False
DefaultA-LimbicA,0.05866499525300441,False
DefaultA-LimbicB,0.09541241059221112,False
DefaultA-SalVentAttnA,0.024938534070551358,False
DefaultA-SalVentAttnB,0.10175034601513737,False
DefaultA-SomMotA,-0.025389585056955967,False
DefaultA-SomMotB,-0.021785526815214815,False
DefaultA-TempPar,-0.06200204101514333,False
DefaultA-VisCent,-0.008744738494864979,False
DefaultA-VisPeri,-0.022663780449917507,False
DefaultB-DefaultB,0.08798088583056918,True
DefaultB-DefaultC,0.13145197437442888,False
DefaultB-DorsAttnA,-0.05414076130067024,False
DefaultB-DorsAttnB,-0.02075919460641883,False
DefaultB-LimbicA,0.014348415353149846,False
DefaultB-LimbicB,0.07123608814104224,False
DefaultB-SalVentAttnA,0.016859309953119326,False
DefaultB-SalVentAttnB,0.06111930384222289,False
DefaultB-SomMotA,-0.0464610953322232,False
DefaultB-SomMotB,-0.025322737908337948,False
DefaultB-TempPar,0.02671221378050089,False
DefaultB-VisCent,-0.008559015493855236,False
DefaultB-VisPeri,-0.03955403797898789,False
DefaultC-DefaultC,0.3719322752257951,True
DefaultC-DorsAttnA,-0.06624155805126893,False
DefaultC-DorsAttnB,-0.01395135655633698,False
DefaultC-LimbicA,-0.03195985844677647,False
DefaultC-LimbicB,0.031008103479655297,False
DefaultC-SalVentAttnA,0.0025008968332628323,False
DefaultC-SalVentAttnB,0.008786480633889331,False
DefaultC-SomMotA,-0.11104499458429669,False
DefaultC-SomMotB,-0.06314438056544819,False
DefaultC-TempPar,0.2688105822584385,False
DefaultC-VisCent,-0.02430827490432749,False
DefaultC-VisPeri,-0.093531748369269,False
DorsAttnA-DorsAttnA,0.2014835000368411,True
DorsAttnA-DorsAttnB,0.08875227344861082,False
DorsAttnA-LimbicA,0.04823914154424014,False
DorsAttnA-LimbicB,0.002376339971942952,False
DorsAttnA-SalVentAttnA,0.0022517413667571353,False
DorsAttnA-SalVentAttnB,0.024939487635162294,False
DorsAttnA-SomMotA,-0.05514877230097,False
DorsAttnA-SomMotB,0.045281728261136425,False
DorsAttnA-TempPar,-0.05003602637573176,False
DorsAttnA-VisCent,-0.0014178812437444794,False
DorsAttnA-VisPeri,-0.14076072021573238,False
DorsAttnB-DorsAttnB,0.08901292970830864,True
DorsAttnB-LimbicA,0.08106518831154917,False
DorsAttnB-LimbicB,0.05514304609111419,False
DorsAttnB-SalVentAttnA,0.014691201329345491,False
DorsAttnB-SalVentAttnB,0.06702825471938742,False
DorsAttnB-SomMotA,-0.07547429147528051,False
DorsAttnB-SomMotB,-0.019769797313869495,False
DorsAttnB-TempPar,0.008991807653167785,False
DorsAttnB-VisCent,-0.007429343014708283,False
DorsAttnB-VisPeri,-0.10442792722336765,False
LimbicA-LimbicA,0.23383107745104503,True
LimbicA-LimbicB,0.13727278870299908,False
LimbicA-SalVentAttnA,0.03108562319599393,False
LimbicA-SalVentAttnB,0.1468728852252029,False
LimbicA-SomMotA,-0.14060557199062487,False
LimbicA-SomMotB,-0.051689746744686106,False
LimbicA-TempPar,-0.03391281574140645,False
LimbicA-VisCent,-0.03926659821151674,False
LimbicA-VisPeri,-0.1567020439038352,False
LimbicB-LimbicB,0.2393835782122687,True
LimbicB-SalVentAttnA,0.0806164857588941,False
LimbicB-SalVentAttnB,0.22909813070260424,False
LimbicB-SomMotA,-0.12971804183535315,False
LimbicB-SomMotB,-0.022423159851124603,False
LimbicB-TempPar,-0.08541810971570207,False
LimbicB-VisCent,-0.01644322822930313,False
LimbicB-VisPeri,-0.1348055856548707,False
SalVentAttnA-SalVentAttnA,0.04725645484246843,True
SalVentAttnA-SalVentAttnB,0.07792506600220674,False
SalVentAttnA-SomMotA,-0.02947136627092475,False
SalVentAttnA-SomMotB,0.0036256392809450753,False
SalVentAttnA-TempPar,-0.03430768648012527,False
SalVentAttnA-VisCent,-0.009937091011844427,False
SalVentAttnA-VisPeri,-0.02081126260788171,False
SalVentAttnB-SalVentAttnB,0.22387785897865137,True
SalVentAttnB-SomMotA,-0.12255266652364548,False
