network_connection,fc,within_network
ContA-ContA,0.2829575167183287,True
ContA-ContB,0.11950281590532048,False
ContA-ContC,0.10227570423321333,False
ContA-DefaultA,0.08687876139048495,False
ContA-DefaultB,0.08031983080729008,False
ContA-DefaultC,0.02112328598342254,False
ContA-DorsAttnA,-0.009948806485161691,False
ContA-DorsAttnB,0.060170879454001056,False
ContA-LimbicA,0.2359327370403543,False
ContA-LimbicB,0.18110039724811716,False
ContA-SalVentAttnA,0.006418180815127623,False
ContA-SalVentAttnB,0.19214226879010718,False
ContA-SomMotA,-0.14977601423327458,False
ContA-SomMotB,-0.06885042013919761,False
ContA-TempPar,-0.0837195860301589,False
ContA-VisCent,-0.02672869454682858,False
ContA-VisPeri,-0.14541976886033,False
ContB-ContB,0.19034294095317855,True
ContB-ContC,0.11392295120029812,False
ContB-DefaultA,0.06855986304744349,False
ContB-DefaultB,0.07389664025361312,False
ContB-DefaultC,0.09930451270383749,False
ContB-DorsAttnA,0.04540361419579856,False
ContB-DorsAttnB,0.07133224992984237,False
ContB-LimbicA,0.10395162929478959,False
ContB-LimbicB,0.04970871576301338,False
ContB-SalVentAttnA,-0.03596329449201453,False
ContB-SalVentAttnB,0.015090576733039648,False
ContB-SomMotA,-0.10111358381220177,False
ContB-SomMotB,-0.052451989929318654,False
ContB-TempPar,0.0799210178337757,False
ContB-VisCent,0.017223579360351793,False
ContB-VisPeri,-0.09013746313001794,False
ContC-ContC,0.23840505314719967,True
ContC-DefaultA,0.21076203672796753,False
ContC-DefaultB,0.12062088763208996,False
ContC-DefaultC,0.0008174544448280479,False
ContC-DorsAttnA,-0.021284279720955826,False
ContC-DorsAttnB,0.03940183398722774,False
ContC-LimbicA,0.11751866951924243,False
ContC-LimbicB,0.14693191446116488,False
ContC-SalVentAttnA,-0.022013235034565516,False
ContC-SalVentAttnB,0.10152455475852937,False
ContC-SomMotA,-0.05669236299030458,False
ContC-SomMotB,-0.05735902260412045,False
ContC-TempPar,-0.03962937904176864,False
ContC-VisCent,0.011772788672815986,False
ContC-VisPeri,-0.0670421501128679,False
DefaultA-DefaultA,0.19768132867114663,True
DefaultA-DefaultB,0.12877923247414608,False
DefaultA-DefaultC,0.005518176980571316,False
DefaultA-DorsAttnA,-0.0362735194786376,False
DefaultA-DorsAttnB,0.023158386267202218,False
DefaultA-LimbicA,0.08990460745180298,False
DefaultA-LimbicB,0.14605653578402011,False
DefaultA-SalVentAttnA,-0.007913670886344395,False
DefaultA-SalVentAttnB,0.11692872781085402,False
DefaultA-SomMotA,-0.054838813099671965,False
DefaultA-SomMotB,-0.05558985770917843,False
DefaultA-TempPar,-0.026984967874801497,False
DefaultA-VisCent,0.006236814386113246,False
DefaultA-VisPeri,-0.07150711417427615,False
DefaultB-DefaultB,0.1433559243288902,True
DefaultB-DefaultC,0.12459614318896067,False
DefaultB-DorsAttnA,-0.06812600330762944,False
DefaultB-DorsAttnB,-0.0009877852642747756,False
DefaultB-LimbicA,0.05300111040037807,False
DefaultB-LimbicB,0.09187068284717569,False
DefaultB-SalVentAttnA,-0.02998251176889073,False
DefaultB-SalVentAttnB,0.06351987287313503,False
DefaultB-SomMotA,-0.04552582804269705,False
DefaultB-SomMotB,-0.04127903778936477,False
DefaultB-TempPar,0.048593292119017195,False
DefaultB-VisCent,0.013994079511724678,False
DefaultB-VisPeri,-0.05807331677302324,False
DefaultC-DefaultC,0.3003538304764592,True
DefaultC-DorsAttnA,-0.06638996484604552,False
DefaultC-DorsAttnB,0.0011921253816086239,False
DefaultC-LimbicA,-0.016280605650969747,False
DefaultC-LimbicB,0.05038598580901738,False
DefaultC-SalVentAttnA,-0.029105668897453738,False
DefaultC-SalVentAttnB,0.022951472394527165,False
DefaultC-SomMotA,-0.08392735252545178,False
DefaultC-SomMotB,-0.02660290786160766,False
DefaultC-TempPar,0.26307457523941363,False
DefaultC-VisCent,0.004310172256792027,False
DefaultC-VisPeri,-0.09082285687736309,False
DorsAttnA-DorsAttnA,0.26656320400043076,True
DorsAttnA-DorsAttnB,0.11503331838142618,False
DorsAttnA-LimbicA,0.015583966022577828,False
DorsAttnA-LimbicB,-0.04156853330467513,False
DorsAttnA-SalVentAttnA,0.01530075120845701,False
DorsAttnA-SalVentAttnB,-0.02462413965857222,False
DorsAttnA-SomMotA,-0.07289590049925711,False
DorsAttnA-SomMotB,0.024098237192725223,False
DorsAttnA-TempPar,-0.07730094817870516,False
DorsAttnA-VisCent,-0.01900392064391364,False
DorsAttnA-VisPeri,-0.037361496532399806,False
DorsAttnB-DorsAttnB,0.1307840745026579,True
DorsAttnB-LimbicA,0.07370943398914921,False
DorsAttnB-LimbicB,0.06594835082681667,False
DorsAttnB-SalVentAttnA,0.03293488985931362,False
DorsAttnB-SalVentAttnB,0.08684087831800223,False
DorsAttnB-SomMotA,-0.09861501902067212,False
DorsAttnB-SomMotB,-0.04643803526699816,False
DorsAttnB-TempPar,-0.02481268633317733,False
DorsAttnB-VisCent,0.004545056466979684,False
DorsAttnB-VisPeri,-0.06445033131850846,False
LimbicA-LimbicA,0.22313611094034863,True
LimbicA-LimbicB,0.19077146102417059,False
LimbicA-SalVentAttnA,0.03572823816196898,False
LimbicA-SalVentAttnB,0.2007909523839932,False
LimbicA-SomMotA,-0.13821826628730524,False
LimbicA-SomMotB,-0.05352714317646323,False
LimbicA-TempPar,-0.10246317678440382,False
LimbicA-VisCent,-0.03499778570169792,False
LimbicA-VisPeri,-0.13156419424692425,False
LimbicB-LimbicB,0.28588369878465847,True
LimbicB-SalVentAttnA,0.07494280083413371,False
LimbicB-SalVentAttnB,0.30287028285394846,False
LimbicB-SomMotA,-0.1500152662581601,False
LimbicB-SomMotB,-0.05277397185993533,False
LimbicB-TempPar,-0.045589336440868024,False
LimbicB-VisCent,-0.03399872373983435,False
LimbicB-VisPeri,-0.17618525503779825,False
SalVentAttnA-SalVentAttnA,0.07535285358106983,True
SalVentAttnA-SalVentAttnB,0.11891349524163201,False
SalVentAttnA-SomMotA,-0.04831477183435477,False
SalVentAttnA-SomMotB,-0.0017737145029172628,False
SalVentAttnA-TempPar,-0.0300927888321594,False
SalVentAttnA-VisCent,-0.03500370767352688,False
SalVentAttnA-VisPeri,-0.038903425778027995,False
SalVentAttnB-SalVentAttnB,0.3565262041420696,True
SalVentAttnB-SomMotA,-0.1870961471815239,False
SalVentAttnB-SomMotB,-0.0655873665977337,False
SalVentAttnB-TempPar,-0.05908567984227999,False
SalVentAttnB-VisCent,-0.0669517308783704,False
SalVentAttnB-VisPeri,-0.18576765058255548,False
SomMotA-SomMotA,0.22417560577822518,True
SomMotA-SomMotB,0.06987089622899295,False
SomMotA-TempPar,-0.04020113891240965,False
SomMotA-VisCent,0.05638329265646955,False
SomMotA-VisPeri,0.1959881737141454,False
SomMotB-SomMotB,0.09057229343378988,True
SomMotB-TempPar,-0.03943247326330779,False
SomMotB-VisCent,0.011971840064146188,False
SomMotB-VisPeri,0.03771217298330674,False
TempPar-TempPar,0.44537976826336106,True
TempPar-VisCent,-0.008740236863020792,False
TempPar-VisPeri,-0.05020444834643273,False
VisCent-VisCent,0.05158948812165121,True
VisCent-VisPeri,0.0535901286054771,False
VisPeri-VisPeri,0.22584583515631046,True
