network_connection,fc,within_network
ContA-ContA,0.28734044074091025,True
ContA-ContB,0.15497936258476547,False
ContA-ContC,0.07548160796799112,False
ContA-DefaultA,0.07073829385347766,False
ContA-DefaultB,0.11994422470648015,False
ContA-DefaultC,0.11151539693303267,False
ContA-DorsAttnA,-0.05670805810977058,False
ContA-DorsAttnB,0.05505527304822915,False
ContA-LimbicA,0.2582387296937613,False
ContA-LimbicB,0.21678199151101651,False
ContA-SalVentAttnA,0.026178344164851656,False
ContA-SalVentAttnB,0.1720689331482144,False
ContA-SomMotA,-0.1638047445372472,False
ContA-SomMotB,-0.10773089392669123,False
ContA-TempPar,0.015001897541320778,False
ContA-VisCent,0.01566857834205005,False
ContA-VisPeri,-0.15081370197555252,False
ContB-ContB,0.14455799044760528,True
ContB-ContC,0.10030740151909277,False
ContB-DefaultA,0.05807821647955632,False
ContB-DefaultB,0.08383678032308482,False
ContB-DefaultC,0.09013228959263717,False
ContB-DorsAttnA,-0.011014160251230538,False
ContB-DorsAttnB,0.0455071312550975,False
ContB-LimbicA,0.1295707916614601,False
ContB-LimbicB,0.105238700857846,False
ContB-SalVentAttnA,5.0126093316639654e-05,False
ContB-SalVentAttnB,0.07543076584021674,False
ContB-SomMotA,-0.11451609307096078,False
ContB-SomMotB,-0.07180318464985617,False
ContB-TempPar,0.04386529675781272,False
ContB-VisCent,0.0033441310975320334,False
ContB-VisPeri,-0.14622772508680731,False
ContC-ContC,0.19749158467691524,True
ContC-DefaultA,0.1332249724770791,False
ContC-DefaultB,0.08911056289712982,False
ContC-DefaultC,0.048955643195254535,False
ContC-DorsAttnA,-0.05359963867414971,False
ContC-DorsAttnB,0.02134122805736788,False
ContC-LimbicA,0.10294832523260136,False
ContC-LimbicB,0.12651849643922852,False
ContC-SalVentAttnA,0.010866379500096432,False
ContC-SalVentAttnB,0.13560041559374467,False
ContC-SomMotA,-0.07685872761449371,False
ContC-SomMotB,-0.07022222498766215,False
ContC-TempPar,0.03047333903980547,False
ContC-VisCent,-0.000529450819921809,False
ContC-VisPeri,-0.0960557537679045,False
DefaultA-DefaultA,0.1180335563141513,True
DefaultA-DefaultB,0.10184263902521792,False
DefaultA-DefaultC,0.01945495889813075,False
DefaultA-DorsAttnA,-0.05221492540628836,False
DefaultA-DorsAttnB,-0.005728552027788152,False
DefaultA-LimbicA,0.07356395922594912,False
DefaultA-LimbicB,0.09837110283494058,False
DefaultA-SalVentAttnA,0.006847880907397835,False
DefaultA-SalVentAttnB,0.08823735962152698,False
DefaultA-SomMotA,-0.046190732759901286,False
DefaultA-SomMotB,-0.033841078397366164,False
DefaultA-TempPar,0.010960112206888858,False
DefaultA-VisCent,0.0033515113478633403,False
DefaultA-VisPeri,-0.07261002614604814,False
DefaultB-DefaultB,0.1640471042353469,True
DefaultB-DefaultC,0.16817276104119588,False
DefaultB-DorsAttnA,-0.0930392755170692,False
DefaultB-DorsAttnB,-0.00652927106402174,False
DefaultB-LimbicA,0.10883822510000085,False
DefaultB-LimbicB,0.13775627434604795,False
DefaultB-SalVentAttnA,0.004481539751284847,False
DefaultB-SalVentAttnB,0.10210434589931207,False
DefaultB-SomMotA,-0.08784872611505869,False
DefaultB-SomMotB,-0.0488440207126802,False
DefaultB-TempPar,0.0819332798923219,False
DefaultB-VisCent,-0.0037494260020821835,False
DefaultB-VisPeri,-0.11438563115395872,False
DefaultC-DefaultC,0.43083192355554645,True
DefaultC-DorsAttnA,-0.12491622344807371,False
DefaultC-DorsAttnB,-0.02805685200723265,False
DefaultC-LimbicA,0.1258858396131545,False
DefaultC-LimbicB,0.16615153942411387,False
DefaultC-SalVentAttnA,0.015574871679608108,False
DefaultC-SalVentAttnB,0.12352103343753722,False
DefaultC-SomMotA,-0.16598555013285451,False
DefaultC-SomMotB,-0.07185233367189188,False
DefaultC-TempPar,0.2913279576749297,False
DefaultC-VisCent,-0.03726794575081568,False
DefaultC-VisPeri,-0.17890475633900246,False
DorsAttnA-DorsAttnA,0.21912596738554163,True
DorsAttnA-DorsAttnB,0.048900923690543656,False
DorsAttnA-LimbicA,-0.05551113067669047,False
DorsAttnA-LimbicB,-0.10789636649401774,False
DorsAttnA-SalVentAttnA,-0.003767835652893192,False
DorsAttnA-SalVentAttnB,-0.055324248778491965,False
DorsAttnA-SomMotA,-0.015175101400363235,False
DorsAttnA-SomMotB,0.002018697112943184,False
DorsAttnA-TempPar,-0.10106560297309955,False
DorsAttnA-VisCent,-0.034236449546719894,False
DorsAttnA-VisPeri,-0.021142467356651092,False
DorsAttnB-DorsAttnB,0.10429848188514883,True
DorsAttnB-LimbicA,0.04609678350328602,False
DorsAttnB-LimbicB,0.018081893959451718,False
DorsAttnB-SalVentAttnA,-0.005910575547987319,False
DorsAttnB-SalVentAttnB,0.036644122922518466,False
DorsAttnB-SomMotA,-0.026692599813704324,False
DorsAttnB-SomMotB,-0.07153666938038473,False
DorsAttnB-TempPar,-0.047542509194243736,False
DorsAttnB-VisCent,0.015026814260132347,False
DorsAttnB-VisPeri,-0.019715314358027976,False
LimbicA-LimbicA,0.2604418891076982,True
LimbicA-LimbicB,0.2534308551125328,False
LimbicA-SalVentAttnA,0.05093749630122119,False
LimbicA-SalVentAttnB,0.22605901475303858,False
LimbicA-SomMotA,-0.17582613478533804,False
LimbicA-SomMotB,-0.11208504173205439,False
LimbicA-TempPar,0.017265617345579097,False
LimbicA-VisCent,0.005580188287273644,False
LimbicA-VisPeri,-0.16531269990649958,False
LimbicB-LimbicB,0.3263784293970903,True
LimbicB-SalVentAttnA,0.07079238098577509,False
LimbicB-SalVentAttnB,0.2827601422594554,False
LimbicB-SomMotA,-0.16575077900394836,False
LimbicB-SomMotB,-0.07232405215433724,False
LimbicB-TempPar,0.03660515542147252,False
LimbicB-VisCent,0.028848370362028357,False
LimbicB-VisPeri,-0.1611982568823013,False
SalVentAttnA-SalVentAttnA,0.04669625835114521,True
SalVentAttnA-SalVentAttnB,0.08028468596756173,False
SalVentAttnA-SomMotA,-0.039164288690457634,False
SalVentAttnA-SomMotB,-0.006833092807016571,False
SalVentAttnA-TempPar,-0.016233793345827457,False
SalVentAttnA-VisCent,0.0016421169147208144,False
SalVentAttnA-VisPeri,-0.019691049431242526,False
SalVentAttnB-SalVentAttnB,0.2720242524232931,True
SalVentAttnB-SomMotA,-0.16089222283176427,False
SalVentAttnB-SomMotB,-0.09740348016552074,False
SalVentAttnB-TempPar,0.01319614007406478,False
SalVentAttnB-VisCent,-0.00018423433075010027,False
SalVentAttnB-VisPeri,-0.12279399292338258,False
SomMotA-SomMotA,0.19027662292226916,True
SomMotA-SomMotB,0.0971193534185274,False
SomMotA-TempPar,-0.07327106218558067,False
SomMotA-VisCent,0.0224754282061635,False
SomMotA-VisPeri,0.19174472678305232,False
SomMotB-SomMotB,0.12147837845419515,True
SomMotB-TempPar,-0.029814386843078307,False
SomMotB-VisCent,0.015064423263813286,False
SomMotB-VisPeri,0.07223410057025421,False
TempPar-TempPar,0.31402551406593,True
TempPar-VisCent,-0.028799103921314642,False
TempPar-VisPeri,-0.07712637193016132,False
VisCent-VisCent,0.04090208551566852,True
VisCent-VisPeri,0.022224291430511838,False
VisPeri-VisPeri,0.30043555066020167,True
