network_connection,fc,within_network
ContA-ContA,0.2904030871474317,True
ContA-ContB,0.19589802563101896,False
ContA-ContC,0.09054063873241071,False
ContA-DefaultA,0.14081687588111708,False
ContA-DefaultB,0.1277274673591244,False
ContA-DefaultC,0.008159155415732441,False
ContA-DorsAttnA,0.018717921247741156,False
ContA-DorsAttnB,0.1024474077074252,False
ContA-LimbicA,0.2573855458007439,False
ContA-LimbicB,0.14139387371566894,False
ContA-SalVentAttnA,-0.03621978593857022,False
ContA-SalVentAttnB,0.13186376368552724,False
ContA-SomMotA,-0.05940987828250084,False
ContA-SomMotB,-0.09741218912673884,False
ContA-TempPar,0.008139521850616317,False
ContA-VisCent,0.046393807889879866,False
ContA-VisPeri,-0.04938972809128615,False
ContB-ContB,0.2334003543689264,True
ContB-ContC,0.11402836966523995,False
ContB-DefaultA,0.09939755188652942,False
ContB-DefaultB,0.1138508118089544,False
ContB-DefaultC,0.07956511574462093,False
ContB-DorsAttnA,0.02136117081183964,False
ContB-DorsAttnB,0.09671971003554891,False
ContB-LimbicA,0.15356796986004545,False
ContB-LimbicB,0.0662623256366302,False
ContB-SalVentAttnA,-0.06558088419490017,False
ContB-SalVentAttnB,0.010984047455800531,False
ContB-SomMotA,-0.025443457939669224,False
ContB-SomMotB,-0.08454693990475678,False
ContB-TempPar,0.08994463932519363,False
ContB-VisCent,0.07362494833770551,False
ContB-VisPeri,-0.0391675208001813,False
ContC-ContC,0.2223926174998451,True
ContC-DefaultA,0.17965677770223987,False
ContC-DefaultB,0.13721605849193838,False
ContC-DefaultC,-0.007365816169242057,False
ContC-DorsAttnA,-0.05003819395176073,False
ContC-DorsAttnB,0.005979159759039617,False
ContC-LimbicA,0.10479340516557428,False
ContC-LimbicB,0.12330779553502325,False
ContC-SalVentAttnA,-0.007590653027512841,False
ContC-SalVentAttnB,0.10476784615455499,False
ContC-SomMotA,-0.07019349900308262,False
ContC-SomMotB,-0.04810033215879555,False
ContC-TempPar,-0.06332141103545748,False
ContC-VisCent,-0.007596943838158361,False
ContC-VisPeri,-0.06523247650293046,False
DefaultA-DefaultA,0.21090209363492632,True
DefaultA-DefaultB,0.17435323233946315,False
DefaultA-DefaultC,-0.015744374574146947,False
DefaultA-DorsAttnA,-0.035823391570761934,False
DefaultA-DorsAttnB,0.025922993664332882,False
DefaultA-LimbicA,0.13501110702369823,False
DefaultA-LimbicB,0.14408580556126685,False
DefaultA-SalVentAttnA,-0.02369995212814564,False
DefaultA-SalVentAttnB,0.12984091485263666,False
DefaultA-SomMotA,-0.07348547921379743,False
