network_connection,fc,within_network
ContA-ContA,0.2997169894241152,True
ContA-ContB,0.192348061255299,False
ContA-ContC,0.23079896981776699,False
ContA-DefaultA,0.21493029669898708,False
ContA-DefaultB,0.1085268666078323,False
ContA-DefaultC,-0.10424197810706094,False
ContA-DorsAttnA,0.0018639459479880833,False
ContA-DorsAttnB,0.10734955659250638,False
ContA-LimbicA,0.28947099177498853,False
ContA-LimbicB,0.1989610609657614,False
ContA-SalVentAttnA,0.00012073713195822976,False
ContA-SalVentAttnB,0.21236804597342085,False
ContA-SomMotA,-0.1398818468955552,False
ContA-SomMotB,-0.106905135977031,False
ContA-TempPar,-0.013925473535761153,False
ContA-VisCent,0.003859722606995695,False
ContA-VisPeri,-0.13173294090680174,False
ContB-ContB,0.233886929800195,True
ContB-ContC,0.22682346024407002,False
ContB-DefaultA,0.19485196129597054,False
ContB-DefaultB,0.14715144424414625,False
ContB-DefaultC,0.022936788543044807,False
ContB-DorsAttnA,-0.028934938020151593,False
ContB-DorsAttnB,0.0412090745207858,False
ContB-LimbicA,0.17178951139293025,False
ContB-LimbicB,0.07603236310484447,False
ContB-SalVentAttnA,-0.05420165543761126,False
ContB-SalVentAttnB,0.07084038373058449,False
ContB-SomMotA,-0.11500946840573782,False
ContB-SomMotB,-0.11481368265705535,False
ContB-TempPar,0.13768737955082103,False
ContB-VisCent,-0.011427769892948412,False
ContB-VisPeri,-0.12851752887077367,False
ContC-ContC,0.41484679762843973,True
ContC-DefaultA,0.3719551421945281,False
ContC-DefaultB,0.19880942247273523,False
ContC-DefaultC,-0.11721544406382062,False
ContC-DorsAttnA,-0.07240030085371363,False
ContC-DorsAttnB,0.0507188102969813,False
ContC-LimbicA,0.26103488893387455,False
ContC-LimbicB,0.20353610061534624,False
ContC-SalVentAttnA,-0.014122216469724965,False
ContC-SalVentAttnB,0.2057513966787945,False
ContC-SomMotA,-0.1068247453892986,False
ContC-SomMotB,-0.11986022082939701,False
ContC-TempPar,-0.049497052214088594,False
ContC-VisCent,0.006630614452974804,False
ContC-VisPeri,-0.09918418371426069,False
DefaultA-DefaultA,0.3488589963903229,True
DefaultA-DefaultB,0.19952456325547746,False
DefaultA-DefaultC,-0.09836924843292252,False
DefaultA-DorsAttnA,-0.06977621037180437,False
DefaultA-DorsAttnB,0.04051388053237381,False
DefaultA-LimbicA,0.23727753475022614,False
DefaultA-LimbicB,0.2007549721526041,False
DefaultA-SalVentAttnA,-0.008541992269754408,False
DefaultA-SalVentAttnB,0.19443058781031772,False
DefaultA-SomMotA,-0.10541185748511987,False
DefaultA-SomMotB,-0.10334620467075664,False
DefaultA-TempPar,-0.0339107946502138,False
DefaultA-VisCent,0.00821536043627711,False
DefaultA-VisPeri,-0.10379453380911204,False
DefaultB-DefaultB,0.16979297383425954,True
DefaultB-DefaultC,0.07306999935706124,False
DefaultB-DorsAttnA,-0.08440815448879732,False
DefaultB-DorsAttnB,-0.008088517700343514,False
DefaultB-LimbicA,0.1105289708556719,False
DefaultB-LimbicB,0.09976366020723101,False
DefaultB-SalVentAttnA,-0.026990001656139413,False
DefaultB-SalVentAttnB,0.09078402838951571,False
DefaultB-SomMotA,-0.085979383359941,False
DefaultB-SomMotB,-0.0730977034931386,False
DefaultB-TempPar,0.08988759440909955,False
DefaultB-VisCent,-0.009286647313049207,False
DefaultB-VisPeri,-0.08739839754315688,False
DefaultC-DefaultC,0.3360828804957473,True
DefaultC-DorsAttnA,-0.09207413860912537,False
DefaultC-DorsAttnB,-0.0728579314239611,False
DefaultC-LimbicA,-0.12257302006356503,False
DefaultC-LimbicB,-0.03779228220462903,False
DefaultC-SalVentAttnA,-0.01746130208290768,False
DefaultC-SalVentAttnB,-0.047072615114309546,False
DefaultC-SomMotA,-0.031802910783443744,False
DefaultC-SomMotB,-0.009286112227105563,False
DefaultC-TempPar,0.31132477008719195,False
DefaultC-VisCent,-0.03551095954888047,False
DefaultC-VisPeri,-0.025374177889737438,False
DorsAttnA-DorsAttnA,0.2499341650623039,True
DorsAttnA-DorsAttnB,0.1074593558997867,False
DorsAttnA-LimbicA,0.009054736708742376,False
DorsAttnA-LimbicB,-0.03196026015788753,False
