network_connection,fc,within_network
ContA-ContA,0.17555557777651015,True
ContA-ContB,0.12167583277444353,False
ContA-ContC,0.05155178088571393,False
ContA-DefaultA,0.04264215481029988,False
ContA-DefaultB,0.04138904860509766,False
ContA-DefaultC,0.015977473719645932,False
ContA-DorsAttnA,0.02510058212247137,False
ContA-DorsAttnB,0.06522485967947897,False
ContA-LimbicA,0.15858787651145706,False
ContA-LimbicB,0.08566113317689092,False
ContA-SalVentAttnA,0.030092990811838322,False
ContA-SalVentAttnB,0.12683286044322578,False
ContA-SomMotA,-0.10302757059035578,False
ContA-SomMotB,-0.04606211212489616,False
ContA-TempPar,0.03338298509257066,False
ContA-VisCent,-0.016907131491906785,False
ContA-VisPeri,-0.08993079490025854,False
ContB-ContB,0.15871230576393078,True
ContB-ContC,0.05469398969685484,False
ContB-DefaultA,0.03775278952017352,False
ContB-DefaultB,0.0673472040691333,False
ContB-DefaultC,0.1324308363872152,False
ContB-DorsAttnA,0.052308870841828496,False
ContB-DorsAttnB,0.06435210966299115,False
ContB-LimbicA,0.08364930423976966,False
ContB-LimbicB,0.05011373179795795,False
ContB-SalVentAttnA,0.009187402341317269,False
ContB-SalVentAttnB,0.05089635899259843,False
ContB-SomMotA,-0.06688220547960928,False
ContB-SomMotB,-0.022902957253347823,False
ContB-TempPar,0.16581781401954074,False
ContB-VisCent,0.00850046021930202,False
ContB-VisPeri,-0.059061963433655836,False
ContC-ContC,0.16671353780478723,True
ContC-DefaultA,0.1596149363465811,False
ContC-DefaultB,0.10514924342284859,False
ContC-DefaultC,0.026197210211662877,False
ContC-DorsAttnA,-0.03291616547015172,False
ContC-DorsAttnB,0.018627366496832075,False
ContC-LimbicA,0.06580289548641631,False
ContC-LimbicB,0.0797171214006449,False
ContC-SalVentAttnA,0.007348249287897104,False
ContC-SalVentAttnB,0.06375454926285362,False
ContC-SomMotA,0.010067312998373563,False
ContC-SomMotB,-0.03861557426016488,False
ContC-TempPar,0.012680659227712637,False
ContC-VisCent,0.033052995371977784,False
ContC-VisPeri,0.008056711449457707,False
DefaultA-DefaultA,0.17299007368594185,True
DefaultA-DefaultB,0.11918245554867468,False
DefaultA-DefaultC,0.0335266713111999,False
DefaultA-DorsAttnA,-0.0281142849610521,False
DefaultA-DorsAttnB,0.012794857466423629,False
DefaultA-LimbicA,0.05881617222099389,False
DefaultA-LimbicB,0.08232705699762984,False
DefaultA-SalVentAttnA,0.009875973474373502,False
DefaultA-SalVentAttnB,0.05871857443523611,False
DefaultA-SomMotA,0.029327567057238504,False
DefaultA-SomMotB,-0.021882188692478613,False
DefaultA-TempPar,0.007989587570576068,False
DefaultA-VisCent,0.03757833797391571,False
DefaultA-VisPeri,0.015601010140816746,False
DefaultB-DefaultB,0.15267705536937268,True
DefaultB-DefaultC,0.20798353959371968,False
DefaultB-DorsAttnA,-0.0481889380506039,False
DefaultB-DorsAttnB,0.006217899885531318,False
DefaultB-LimbicA,0.029490999878703072,False
DefaultB-LimbicB,0.1103770626837374,False
DefaultB-SalVentAttnA,0.017965427886384566,False
DefaultB-SalVentAttnB,0.07772846405928643,False
DefaultB-SomMotA,-0.003703934934104083,False
DefaultB-SomMotB,-0.009306032860314617,False
DefaultB-TempPar,0.1326899547914862,False
DefaultB-VisCent,0.03897149495330925,False
DefaultB-VisPeri,-0.0005200088056756925,False
DefaultC-DefaultC,0.5346189257017282,True
DefaultC-DorsAttnA,-0.029211435396013737,False
DefaultC-DorsAttnB,0.025981070529451474,False
DefaultC-LimbicA,-0.019140986803184226,False
DefaultC-LimbicB,0.16955270669868322,False
DefaultC-SalVentAttnA,0.032146374546428685,False
DefaultC-SalVentAttnB,0.11458585582130118,False
DefaultC-SomMotA,-0.038419338859122416,False
DefaultC-SomMotB,0.032008163224137264,False
DefaultC-TempPar,0.43557117474681056,False
DefaultC-VisCent,0.08232729504787453,False
DefaultC-VisPeri,-0.012893712245913456,False
DorsAttnA-DorsAttnA,0.2605651695294498,True
DorsAttnA-DorsAttnB,0.09384075299326235,False
DorsAttnA-LimbicA,0.043438088747144714,False
DorsAttnA-LimbicB,-0.036043175600015576,False
DorsAttnA-SalVentAttnA,0.02719702224412571,False
DorsAttnA-SalVentAttnB,0.002368348365300499,False
DorsAttnA-SomMotA,0.010668688202460563,False
DorsAttnA-SomMotB,0.08999426327276698,False
DorsAttnA-TempPar,0.01290444877229654,False
DorsAttnA-VisCent,0.02743751796940963,False
DorsAttnA-VisPeri,-0.006997629481812128,False
DorsAttnB-DorsAttnB,0.08663651998135925,True
DorsAttnB-LimbicA,0.07217255906730291,False
DorsAttnB-LimbicB,0.04492695067648711,False
DorsAttnB-SalVentAttnA,0.02693995014535721,False
DorsAttnB-SalVentAttnB,0.07393275218659855,False
DorsAttnB-SomMotA,-0.01823508298875928,False
DorsAttnB-SomMotB,0.0041460171295838785,False
DorsAttnB-TempPar,0.04566907281890324,False
DorsAttnB-VisCent,0.023638738537133247,False
DorsAttnB-VisPeri,-0.012990065806558884,False
LimbicA-LimbicA,0.15225955926136656,True
LimbicA-LimbicB,0.09355634581725637,False
LimbicA-SalVentAttnA,0.0381076015039327,False
LimbicA-SalVentAttnB,0.14361982147040284,False
LimbicA-SomMotA,-0.08887467138570718,False
LimbicA-SomMotB,-0.040228087678246975,False
LimbicA-TempPar,-0.007259017138774123,False
LimbicA-VisCent,-0.012801707664376057,False
LimbicA-VisPeri,-0.07944912905539346,False
LimbicB-LimbicB,0.2023034288971977,True
LimbicB-SalVentAttnA,0.062421145081068274,False
LimbicB-SalVentAttnB,0.21222465288489348,False
LimbicB-SomMotA,-0.04740936290971083,False
LimbicB-SomMotB,0.01028238593824223,False
LimbicB-TempPar,0.08608165786757019,False
LimbicB-VisCent,0.05080229466097886,False
LimbicB-VisPeri,-0.029600043658704445,False
SalVentAttnA-SalVentAttnA,0.04526177782147123,True
SalVentAttnA-SalVentAttnB,0.0836558254439001,False
SalVentAttnA-SomMotA,-0.014159179826541982,False
SalVentAttnA-SomMotB,0.02744062443089488,False
SalVentAttnA-TempPar,0.006876100725687999,False
SalVentAttnA-VisCent,0.016759271378870386,False
SalVentAttnA-VisPeri,-0.0005135358008725711,False
SalVentAttnB-SalVentAttnB,0.25267558940547097,True
SalVentAttnB-SomMotA,-0.08706007322749297,False
SalVentAttnB-SomMotB,-0.0007614581128584062,False
SalVentAttnB-TempPar,0.0525767668084496,False
SalVentAttnB-VisCent,0.031568489167196456,False
SalVentAttnB-VisPeri,-0.05366615809005381,False
SomMotA-SomMotA,0.21216839561337963,True
SomMotA-SomMotB,0.12010966672302185,False
SomMotA-TempPar,-0.0060807435051730375,False
SomMotA-VisCent,0.10902902061723502,False
SomMotA-VisPeri,0.193644940288601,False
SomMotB-SomMotB,0.1582953760560176,True
SomMotB-TempPar,0.030882327032897602,False
SomMotB-VisCent,0.09303774025676043,False
SomMotB-VisPeri,0.0991930553050143,False
TempPar-TempPar,0.49216991412798683,True
TempPar-VisCent,0.0756805677151513,False
TempPar-VisPeri,0.024103643432223067,False
VisCent-VisCent,0.11371392487575892,True
VisCent-VisPeri,0.1112381567839961,False
VisPeri-VisPeri,0.21651630033150351,True
