network_connection,fc,within_network
ContA-ContA,0.22326198195272076,True
ContA-ContB,0.1429867041790538,False
ContA-ContC,0.07339309416902089,False
ContA-DefaultA,0.06127954273066543,False
ContA-DefaultB,0.055915907169984465,False
ContA-DefaultC,0.008258605492163439,False
ContA-DorsAttnA,-0.031748627017559324,False
ContA-DorsAttnB,0.06503522112290158,False
ContA-LimbicA,0.20827658968571688,False
ContA-LimbicB,0.14219016110607732,False
ContA-SalVentAttnA,0.01746663070932634,False
ContA-SalVentAttnB,0.1536199788988849,False
ContA-SomMotA,-0.12967181260496805,False
ContA-SomMotB,-0.05026046507301295,False
ContA-TempPar,0.03102640449048205,False
ContA-VisCent,0.007721388047654783,False
ContA-VisPeri,-0.12816036837211126,False
ContB-ContB,0.16681626156336052,True
ContB-ContC,0.07407174615919927,False
ContB-DefaultA,0.018337193089697085,False
ContB-DefaultB,0.050467772998590205,False
ContB-DefaultC,0.10100259313109099,False
ContB-DorsAttnA,-0.009139647669569711,False
ContB-DorsAttnB,0.07785450716939057,False
ContB-LimbicA,0.12428127003709788,False
ContB-LimbicB,0.07179322650220343,False
ContB-SalVentAttnA,-0.02356391540321715,False
ContB-SalVentAttnB,0.07123947209089886,False
ContB-SomMotA,-0.13755981085426786,False
ContB-SomMotB,-0.06958444659031733,False
ContB-TempPar,0.12391155565024832,False
ContB-VisCent,-0.011432891291666731,False
ContB-VisPeri,-0.14298959959713844,False
ContC-ContC,0.18153070321188897,True
ContC-DefaultA,0.1524034273498703,False
ContC-DefaultB,0.06659076488941722,False
ContC-DefaultC,-0.06268051180556297,False
ContC-DorsAttnA,-0.04526547694177757,False
ContC-DorsAttnB,0.022376870896177962,False
ContC-LimbicA,0.06977913194439757,False
ContC-LimbicB,0.06727178478932233,False
ContC-SalVentAttnA,-0.012913654923593584,False
ContC-SalVentAttnB,0.06836855960429088,False
ContC-SomMotA,-0.021580788324003296,False
ContC-SomMotB,-0.05493314145281535,False
ContC-TempPar,-0.04165759797443195,False
ContC-VisCent,0.008417552889624674,False
ContC-VisPeri,-0.051024335345783565,False
DefaultA-DefaultA,0.16632558543014944,True
DefaultA-DefaultB,0.07307896318028392,False
DefaultA-DefaultC,-0.08874564582743238,False
DefaultA-DorsAttnA,-0.04147046963580122,False
