network_connection,fc,within_network
ContA-ContA,0.1789258407844388,True
ContA-ContB,0.10349715569945614,False
ContA-ContC,0.06838735096043566,False
ContA-DefaultA,0.08105959289651885,False
ContA-DefaultB,0.09079214401438558,False
ContA-DefaultC,0.0710966797251819,False
ContA-DorsAttnA,0.014943473763229336,False
ContA-DorsAttnB,0.05546719738597154,False
ContA-LimbicA,0.16010869345789266,False
ContA-LimbicB,0.14424728268514608,False
ContA-SalVentAttnA,0.05147529454392981,False
ContA-SalVentAttnB,0.16439381123844823,False
ContA-SomMotA,-0.11672491507819847,False
ContA-SomMotB,-0.03392261907827958,False
ContA-TempPar,0.0295413574324663,False
ContA-VisCent,0.00017972827157036048,False
ContA-VisPeri,-0.10513704800422906,False
ContB-ContB,0.1747357697999097,True
ContB-ContC,0.06768898509447141,False
ContB-DefaultA,0.046995121598897446,False
ContB-DefaultB,0.0729529762780577,False
ContB-DefaultC,0.14762104130332088,False
ContB-DorsAttnA,-0.004840136294343219,False
ContB-DorsAttnB,0.032615627732739245,False
ContB-LimbicA,0.08269703140803525,False
ContB-LimbicB,0.05531446371785469,False
ContB-SalVentAttnA,-0.004731976751665338,False
ContB-SalVentAttnB,0.02600818090675485,False
ContB-SomMotA,-0.07097363419472577,False
ContB-SomMotB,-0.017934194765357885,False
ContB-TempPar,0.13568191699559107,False
ContB-VisCent,0.020968047721383845,False
ContB-VisPeri,-0.06899253801196803,False
ContC-ContC,0.13530112484120355,True
ContC-DefaultA,0.12406485360622244,False
ContC-DefaultB,0.08440890171222322,False
ContC-DefaultC,0.044576778386900696,False
ContC-DorsAttnA,-0.036116854624685946,False
ContC-DorsAttnB,0.011930347055049364,False
ContC-LimbicA,0.07456084379966917,False
ContC-LimbicB,0.10135094146456522,False
ContC-SalVentAttnA,0.02083211336542645,False
ContC-SalVentAttnB,0.1031684348129998,False
ContC-SomMotA,-0.05849546123186965,False
ContC-SomMotB,-0.027386046509426096,False
ContC-TempPar,0.01076699166962862,False
ContC-VisCent,0.0016577198980195283,False
ContC-VisPeri,-0.05760830675789237,False
DefaultA-DefaultA,0.14168617611086437,True
DefaultA-DefaultB,0.09234946682233737,False
DefaultA-DefaultC,0.0238444539779891,False
DefaultA-DorsAttnA,-0.03614920582047679,False
DefaultA-DorsAttnB,0.006077932315955166,False
DefaultA-LimbicA,0.07821524089377091,False
DefaultA-LimbicB,0.10965866572029784,False
DefaultA-SalVentAttnA,0.031862151020811434,False
DefaultA-SalVentAttnB,0.10978682907982212,False
DefaultA-SomMotA,-0.0458771932359674,False
DefaultA-SomMotB,-0.015670940636294275,False
DefaultA-TempPar,0.020112360165036185,False
DefaultA-VisCent,0.012045023274116077,False
DefaultA-VisPeri,-0.055743910423936144,False
DefaultB-DefaultB,0.1430102695561762,True
DefaultB-DefaultC,0.17454235995957315,False
DefaultB-DorsAttnA,-0.04499845183269011,False
DefaultB-DorsAttnB,-0.0006770593386886739,False
