network_connection,fc,within_network
ContA-ContA,0.2539805596730197,True
ContA-ContB,0.12567876032202727,False
ContA-ContC,0.044784192690554836,False
ContA-DefaultA,0.09132490322872264,False
ContA-DefaultB,0.14666233420298833,False
ContA-DefaultC,0.052725102176675254,False
ContA-DorsAttnA,0.026034524208362785,False
ContA-DorsAttnB,0.04190910772409789,False
ContA-LimbicA,0.2371544381991185,False
ContA-LimbicB,0.11033194353316747,False
ContA-SalVentAttnA,0.025705303362697055,False
ContA-SalVentAttnB,0.13551582002928497,False
ContA-SomMotA,-0.03167402041081038,False
ContA-SomMotB,-0.01837881779416266,False
ContA-TempPar,-0.01712140592280931,False
ContA-VisCent,-0.017309751714194417,False
ContA-VisPeri,-0.05172744784738681,False
ContB-ContB,0.13848538658766357,True
ContB-ContC,0.0402257870370873,False
ContB-DefaultA,0.0094645948640437,False
ContB-DefaultB,0.0517592105012645,False
ContB-DefaultC,0.09624149536285112,False
ContB-DorsAttnA,0.03691927481602135,False
ContB-DorsAttnB,0.043413687955155884,False
ContB-LimbicA,0.10547601969989033,False
ContB-LimbicB,0.019863200324800084,False
ContB-SalVentAttnA,0.0005615391087386156,False
ContB-SalVentAttnB,0.019333534464832335,False
ContB-SomMotA,-0.014759951315633154,False
ContB-SomMotB,-0.022379603611822212,False
ContB-TempPar,0.10447380235982853,False
ContB-VisCent,0.013108617669256504,False
ContB-VisPeri,-0.02718147473963336,False
ContC-ContC,0.2954056176268894,True
ContC-DefaultA,0.2277192428402212,False
ContC-DefaultB,0.11890718211074647,False
ContC-DefaultC,-0.0376821088839967,False
ContC-DorsAttnA,-0.06111534751734518,False
ContC-DorsAttnB,0.040882342858209825,False
ContC-LimbicA,0.11889928301271431,False
ContC-LimbicB,0.2034196437165558,False
ContC-SalVentAttnA,0.036355412091060704,False
ContC-SalVentAttnB,0.14619853889318069,False
ContC-SomMotA,0.05219971947936659,False
ContC-SomMotB,0.024378571431945936,False
ContC-TempPar,-0.12368639938965176,False
ContC-VisCent,0.07768777929672509,False
ContC-VisPeri,0.10160928571631114,False
DefaultA-DefaultA,0.24434402318024043,True
DefaultA-DefaultB,0.17138837314551394,False
DefaultA-DefaultC,-0.03887152228836819,False
DefaultA-DorsAttnA,-0.035155817586191476,False
DefaultA-DorsAttnB,0.04305271878000334,False
DefaultA-LimbicA,0.13762831020262684,False
DefaultA-LimbicB,0.20663611955183897,False
DefaultA-SalVentAttnA,0.03822673670641134,False
DefaultA-SalVentAttnB,0.157269013217743,False
DefaultA-SomMotA,0.04634845318755313,False
DefaultA-SomMotB,0.02495405549860793,False
DefaultA-TempPar,-0.13384380080768005,False
DefaultA-VisCent,0.07200954053107193,False
DefaultA-VisPeri,0.06142037827380176,False
DefaultB-DefaultB,0.2510474889061726,True
DefaultB-DefaultC,0.1707152967994531,False
DefaultB-DorsAttnA,-0.03712879972211239,False
DefaultB-DorsAttnB,-0.02272609235551174,False
DefaultB-LimbicA,0.15700125874721288,False
DefaultB-LimbicB,0.12710681005302402,False
DefaultB-SalVentAttnA,0.009683800602839654,False
DefaultB-SalVentAttnB,0.09165085254941285,False
DefaultB-SomMotA,-0.021607964315401934,False
DefaultB-SomMotB,0.010715541893882484,False
DefaultB-TempPar,-0.02056284127760536,False
DefaultB-VisCent,0.016439597535364316,False
DefaultB-VisPeri,-0.05088379299340182,False
DefaultC-DefaultC,0.42315000864888264,True
DefaultC-DorsAttnA,-0.053293952197317945,False
DefaultC-DorsAttnB,-0.08428905334665324,False
DefaultC-LimbicA,0.04135390519390765,False
DefaultC-LimbicB,-0.04014212705023313,False
DefaultC-SalVentAttnA,-0.04211790142873392,False
DefaultC-SalVentAttnB,-0.09128116814043136,False
DefaultC-SomMotA,-0.07825593769834222,False
DefaultC-SomMotB,-0.012750850781881378,False
DefaultC-TempPar,0.31091412325735346,False
DefaultC-VisCent,-0.007968648509907653,False
DefaultC-VisPeri,-0.12137763896017524,False
DorsAttnA-DorsAttnA,0.2744103010582072,True
DorsAttnA-DorsAttnB,0.10515075994405207,False
DorsAttnA-LimbicA,0.035570772665307705,False
DorsAttnA-LimbicB,-0.020954643411181213,False
DorsAttnA-SalVentAttnA,0.10735582033358207,False
DorsAttnA-SalVentAttnB,0.05501485769236443,False
DorsAttnA-SomMotA,0.08575701776401376,False
DorsAttnA-SomMotB,0.09446680283817743,False
DorsAttnA-TempPar,-0.005268177739392711,False
DorsAttnA-VisCent,0.029819122236353125,False
DorsAttnA-VisPeri,0.03829496699596851,False
DorsAttnB-DorsAttnB,0.1401098150174021,True
DorsAttnB-LimbicA,0.06253997880763132,False
DorsAttnB-LimbicB,0.08816653859084664,False
DorsAttnB-SalVentAttnA,0.08997485481784039,False
DorsAttnB-SalVentAttnB,0.11372350687619444,False
DorsAttnB-SomMotA,0.09320856259455827,False
DorsAttnB-SomMotB,0.043536280275899855,False
DorsAttnB-TempPar,-0.012790263168348723,False
DorsAttnB-VisCent,0.09931916396569418,False
DorsAttnB-VisPeri,0.12383869479280649,False
LimbicA-LimbicA,0.27329217793702515,True
LimbicA-LimbicB,0.17790432828591735,False
LimbicA-SalVentAttnA,0.06751758407790344,False
LimbicA-SalVentAttnB,0.2088892500405823,False
LimbicA-SomMotA,-0.013616871390459103,False
LimbicA-SomMotB,0.009153757513816349,False
LimbicA-TempPar,-0.056532090305696205,False
LimbicA-VisCent,-0.003056019202627845,False
LimbicA-VisPeri,-0.03230675645613206,False
LimbicB-LimbicB,0.25773533051831615,True
LimbicB-SalVentAttnA,0.0829018574466407,False
LimbicB-SalVentAttnB,0.2444980705014283,False
LimbicB-SomMotA,0.028248631272345347,False
LimbicB-SomMotB,0.03660797123732009,False
LimbicB-TempPar,-0.12219630484525537,False
LimbicB-VisCent,0.06764984049511738,False
LimbicB-VisPeri,0.04219962540558506,False
SalVentAttnA-SalVentAttnA,0.11442468704550236,True
SalVentAttnA-SalVentAttnB,0.12574334457641423,False
SalVentAttnA-SomMotA,0.0781588285075207,False
