network_connection,fc,within_network
ContA-ContA,0.327621401737831,True
ContA-ContB,0.1537074742846454,False
ContA-ContC,0.03488014644226599,False
ContA-DefaultA,0.08529481064692444,False
ContA-DefaultB,0.06963146678496504,False
ContA-DefaultC,-0.0107582529935599,False
ContA-DorsAttnA,-0.008461586527390716,False
ContA-DorsAttnB,0.11168186911701679,False
ContA-LimbicA,0.32184193857509075,False
ContA-LimbicB,0.19130670445447714,False
ContA-SalVentAttnA,0.034823735995415786,False
ContA-SalVentAttnB,0.1986774662341536,False
ContA-SomMotA,-0.14598756204552668,False
ContA-SomMotB,-0.0870741174258629,False
ContA-TempPar,-0.09484067559037151,False
ContA-VisCent,-0.03856574724660196,False
ContA-VisPeri,-0.15734230516761546,False
ContB-ContB,0.17884382844265845,True
ContB-ContC,0.04768902240404786,False
ContB-DefaultA,0.04461465967405206,False
ContB-DefaultB,0.07902530273317936,False
ContB-DefaultC,0.10164773830002671,False
ContB-DorsAttnA,-0.004236474013203337,False
ContB-DorsAttnB,0.047439053273721124,False
ContB-LimbicA,0.11599799804229768,False
ContB-LimbicB,0.055209223795752306,False
ContB-SalVentAttnA,-0.016605617244967178,False
ContB-SalVentAttnB,0.03696760037616017,False
ContB-SomMotA,-0.10160646392729644,False
ContB-SomMotB,-0.0698779286324106,False
ContB-TempPar,0.07842114796946513,False
ContB-VisCent,-0.020876220516346685,False
ContB-VisPeri,-0.13684647433798203,False
ContC-ContC,0.24719866382127487,True
ContC-DefaultA,0.22393749176629396,False
ContC-DefaultB,0.1338752980289185,False
ContC-DefaultC,-0.008456890014110133,False
ContC-DorsAttnA,-0.06814228098243083,False
ContC-DorsAttnB,0.0178681629203737,False
ContC-LimbicA,0.07148743234171272,False
ContC-LimbicB,0.11567977054526356,False
ContC-SalVentAttnA,-0.014391242388519899,False
ContC-SalVentAttnB,0.11159403070591575,False
ContC-SomMotA,-0.03746716592982509,False
ContC-SomMotB,-0.07464967164776151,False
ContC-TempPar,-0.0015690619217857622,False
ContC-VisCent,0.0031380572037418507,False
ContC-VisPeri,-0.06864103611512895,False
DefaultA-DefaultA,0.23866759471008736,True
DefaultA-DefaultB,0.16414175386574748,False
DefaultA-DefaultC,0.003247237657497608,False
DefaultA-DorsAttnA,-0.0743076045383874,False
DefaultA-DorsAttnB,0.013860503255722917,False
DefaultA-LimbicA,0.11733247970325034,False
DefaultA-LimbicB,0.1442023236550247,False
DefaultA-SalVentAttnA,-0.0011063711219643732,False
DefaultA-SalVentAttnB,0.12971441950114632,False
DefaultA-SomMotA,-0.060661722756510675,False
DefaultA-SomMotB,-0.0891488043313468,False
DefaultA-TempPar,-0.005498483226051583,False
DefaultA-VisCent,-0.0048635088383513925,False
DefaultA-VisPeri,-0.09499406976015883,False
DefaultB-DefaultB,0.2114723101115582,True
DefaultB-DefaultC,0.21187964768538275,False
DefaultB-DorsAttnA,-0.1178967964657137,False
DefaultB-DorsAttnB,-0.039671392585722706,False
DefaultB-LimbicA,0.0585601999719724,False
DefaultB-LimbicB,0.09339012090336841,False
DefaultB-SalVentAttnA,-0.032815805914223894,False
DefaultB-SalVentAttnB,0.05319798887256028,False
DefaultB-SomMotA,-0.09520547252764834,False
DefaultB-SomMotB,-0.10095832635558837,False
DefaultB-TempPar,0.14583383735884028,False
DefaultB-VisCent,-0.02302480095555931,False
DefaultB-VisPeri,-0.10580654790687256,False
DefaultC-DefaultC,0.5053779479106397,True
DefaultC-DorsAttnA,-0.15678454156499858,False
DefaultC-DorsAttnB,-0.10733580689125141,False
DefaultC-LimbicA,-0.05696570895894055,False
DefaultC-LimbicB,0.0209813601359972,False
DefaultC-SalVentAttnA,-0.06968877765366058,False
DefaultC-SalVentAttnB,-0.04517432459271136,False
DefaultC-SomMotA,-0.13953827743948216,False
DefaultC-SomMotB,-0.10124728527237105,False
DefaultC-TempPar,0.41867098406014946,False
DefaultC-VisCent,-0.04524455682401212,False
DefaultC-VisPeri,-0.12012842022301556,False
DorsAttnA-DorsAttnA,0.24674287554082783,True
DorsAttnA-DorsAttnB,0.11927357359704956,False
DorsAttnA-LimbicA,0.015497539638439646,False
DorsAttnA-LimbicB,-0.04407723355297075,False
DorsAttnA-SalVentAttnA,0.047294832713391716,False
DorsAttnA-SalVentAttnB,-0.014984384348222336,False
DorsAttnA-SomMotA,-0.014238313678353437,False
DorsAttnA-SomMotB,0.06114816867667237,False
DorsAttnA-TempPar,-0.13900289507876953,False
DorsAttnA-VisCent,-0.013638507950032481,False
DorsAttnA-VisPeri,-0.08301800191556043,False
DorsAttnB-DorsAttnB,0.16306576441861328,True
DorsAttnB-LimbicA,0.13317035948719597,False
DorsAttnB-LimbicB,0.11046573696390813,False
DorsAttnB-SalVentAttnA,0.049020941804817884,False
DorsAttnB-SalVentAttnB,0.12630979714660376,False
DorsAttnB-SomMotA,-0.060077259869400566,False
DorsAttnB-SomMotB,-0.014248064228426099,False
DorsAttnB-TempPar,-0.1159324873079258,False
DorsAttnB-VisCent,0.008123720304179162,False
DorsAttnB-VisPeri,-0.09593441797825072,False
LimbicA-LimbicA,0.3450767061448337,True
LimbicA-LimbicB,0.24461729286804276,False
LimbicA-SalVentAttnA,0.0712832911789731,False
LimbicA-SalVentAttnB,0.265713500137781,False
LimbicA-SomMotA,-0.1673848014786134,False
LimbicA-SomMotB,-0.07467072907488757,False
LimbicA-TempPar,-0.15424976869531426,False
LimbicA-VisCent,-0.038892198132298696,False
LimbicA-VisPeri,-0.19391250293532236,False
LimbicB-LimbicB,0.2952411682242672,True
LimbicB-SalVentAttnA,0.08785196614013625,False
LimbicB-SalVentAttnB,0.3116615802464701,False
LimbicB-SomMotA,-0.16210979322214328,False
LimbicB-SomMotB,-0.05106142288770507,False
LimbicB-TempPar,-0.04851231541794233,False
LimbicB-VisCent,-0.011618568842684623,False
LimbicB-VisPeri,-0.17255122544707358,False
SalVentAttnA-SalVentAttnA,0.07610193998864814,True
SalVentAttnA-SalVentAttnB,0.1122051110443444,False
SalVentAttnA-SomMotA,-0.044853311878018276,False
SalVentAttnA-SomMotB,0.028865632341858474,False
SalVentAttnA-TempPar,-0.08499534238251968,False
SalVentAttnA-VisCent,-0.00543899891576211,False
SalVentAttnA-VisPeri,-0.04988566834829145,False
SalVentAttnB-SalVentAttnB,0.33958435922687474,True
SalVentAttnB-SomMotA,-0.160026059190956,False
SalVentAttnB-SomMotB,-0.03875737952524079,False
SalVentAttnB-TempPar,-0.11404775834970353,False
SalVentAttnB-VisCent,-0.02290840801137893,False
SalVentAttnB-VisPeri,-0.15342909831576715,False
SomMotA-SomMotA,0.18609370612753387,True
SomMotA-SomMotB,0.07263143460415791,False
SomMotA-TempPar,-0.06717609773016024,False
SomMotA-VisCent,0.05857714659832247,False
SomMotA-VisPeri,0.22912862956526214,False
SomMotB-SomMotB,0.11912027097931702,True
SomMotB-TempPar,-0.09151795128257481,False
SomMotB-VisCent,0.04845697762719996,False
SomMotB-VisPeri,0.08136212698157994,False
TempPar-TempPar,0.49134261562873444,True
TempPar-VisCent,-0.03464861626952087,False
TempPar-VisPeri,-0.05888840229266074,False
VisCent-VisCent,0.0584331848191442,True
VisCent-VisPeri,0.07488284265989739,False
VisPeri-VisPeri,0.3612552132763182,True
