network_connection,fc,within_network
ContA-ContA,0.3396095045965599,True
ContA-ContB,0.1674103569758643,False
ContA-ContC,0.15947663235499446,False
ContA-DefaultA,0.12627094270936648,False
ContA-DefaultB,0.11925910737336447,False
ContA-DefaultC,0.06689027385731454,False
ContA-DorsAttnA,-0.009772335030536374,False
ContA-DorsAttnB,0.07922033426325657,False
ContA-LimbicA,0.33153553523869883,False
ContA-LimbicB,0.2743288035699399,False
ContA-SalVentAttnA,0.05745490145846303,False
ContA-SalVentAttnB,0.27580730213784554,False
ContA-SomMotA,-0.14093889699370102,False
ContA-SomMotB,-0.05722745507350312,False
ContA-TempPar,0.03154827069278713,False
ContA-VisCent,-0.005628119090983065,False
ContA-VisPeri,-0.14023745220503475,False
ContB-ContB,0.20483428163821518,True
ContB-ContC,0.12391933418447994,False
ContB-DefaultA,0.06931267017797833,False
ContB-DefaultB,0.10613902330600017,False
ContB-DefaultC,0.16682221130253685,False
ContB-DorsAttnA,0.010558176629794285,False
ContB-DorsAttnB,0.07549371539812115,False
ContB-LimbicA,0.18553920092770312,False
ContB-LimbicB,0.12983596465139133,False
ContB-SalVentAttnA,0.021624367754231565,False
ContB-SalVentAttnB,0.1217712145596324,False
ContB-SomMotA,-0.08928714140752722,False
ContB-SomMotB,-0.05551582809919398,False
ContB-TempPar,0.14201890055344465,False
ContB-VisCent,0.010382853736862485,False
ContB-VisPeri,-0.08289482868628623,False
ContC-ContC,0.2757830200849855,True
ContC-DefaultA,0.20185889438391466,False
ContC-DefaultB,0.14842860664098112,False
ContC-DefaultC,0.057395082707147826,False
ContC-DorsAttnA,-0.05086654208731729,False
ContC-DorsAttnB,0.03546904308614642,False
ContC-LimbicA,0.1946434454838234,False
ContC-LimbicB,0.22287321242928237,False
ContC-SalVentAttnA,0.0465623969206937,False
ContC-SalVentAttnB,0.24018376358301166,False
ContC-SomMotA,-0.08000233846662985,False
ContC-SomMotB,-0.06766819213764348,False
ContC-TempPar,0.0237773838143891,False
ContC-VisCent,0.01574128938965223,False
ContC-VisPeri,-0.07011492996516103,False
DefaultA-DefaultA,0.18823672231451202,True
DefaultA-DefaultB,0.13842597853216151,False
DefaultA-DefaultC,0.009545494199076883,False
DefaultA-DorsAttnA,-0.039228541044986076,False
DefaultA-DorsAttnB,0.021418082920385044,False
DefaultA-LimbicA,0.14546239038167288,False
DefaultA-LimbicB,0.172541406780564,False
DefaultA-SalVentAttnA,0.036617221111192956,False
DefaultA-SalVentAttnB,0.18093554574667564,False
DefaultA-SomMotA,-0.05532322917435198,False
DefaultA-SomMotB,-0.045089400097881815,False
DefaultA-TempPar,-0.001028193846231779,False
DefaultA-VisCent,0.02634878033951009,False
DefaultA-VisPeri,-0.05274369109270415,False
DefaultB-DefaultB,0.17234984913124105,True
DefaultB-DefaultC,0.18041345224922184,False
DefaultB-DorsAttnA,-0.061785022463734615,False
DefaultB-DorsAttnB,0.022670660517869045,False
DefaultB-LimbicA,0.13620804978325263,False
DefaultB-LimbicB,0.159511956724201,False
DefaultB-SalVentAttnA,0.031348976896711005,False
DefaultB-SalVentAttnB,0.1643321735273911,False
DefaultB-SomMotA,-0.06805307076516655,False
DefaultB-SomMotB,-0.05191618558471471,False
DefaultB-TempPar,0.11940630619049017,False
DefaultB-VisCent,0.01916403290907359,False
DefaultB-VisPeri,-0.05325599485332308,False
DefaultC-DefaultC,0.4792699027867083,True
DefaultC-DorsAttnA,-0.06826959235941446,False
DefaultC-DorsAttnB,0.05275534413410058,False
DefaultC-LimbicA,0.09460599214857908,False
DefaultC-LimbicB,0.12819489119646188,False
DefaultC-SalVentAttnA,0.03712098611356067,False
DefaultC-SalVentAttnB,0.12634864829512046,False
DefaultC-SomMotA,-0.0695979069052886,False
DefaultC-SomMotB,-0.054380033753772455,False
DefaultC-TempPar,0.39460003083192485,False
DefaultC-VisCent,0.021296900693991268,False
DefaultC-VisPeri,-0.04219354560894554,False
DorsAttnA-DorsAttnA,0.3467933352045728,True
DorsAttnA-DorsAttnB,0.09963894227873932,False
DorsAttnA-LimbicA,0.005916718473817455,False
DorsAttnA-LimbicB,-0.030805974289224877,False
DorsAttnA-SalVentAttnA,0.0378024637326785,False
DorsAttnA-SalVentAttnB,-0.020995831383767625,False
DorsAttnA-SomMotA,0.0073886289910934455,False
