network_connection,fc,within_network
ContA-ContA,0.29025998634610184,True
ContA-ContB,0.22964062785654035,False
ContA-ContC,0.1071261278917801,False
ContA-DefaultA,0.09170645101036924,False
ContA-DefaultB,0.12319551807076727,False
ContA-DefaultC,0.0773387678572682,False
ContA-DorsAttnA,0.026671045514580494,False
ContA-DorsAttnB,0.054217295911201016,False
ContA-LimbicA,0.2528706284882719,False
ContA-LimbicB,0.09847936201319123,False
ContA-SalVentAttnA,-0.01737120013538739,False
ContA-SalVentAttnB,0.06873714599004405,False
ContA-SomMotA,-0.11194981587638765,False
ContA-SomMotB,-0.019926514582177635,False
ContA-TempPar,-0.0016278271995311953,False
ContA-VisCent,0.02067735142475626,False
ContA-VisPeri,-0.11768667324551238,False
ContB-ContB,0.3027314986757277,True
ContB-ContC,0.11724459429022632,False
ContB-DefaultA,0.07075401510593984,False
ContB-DefaultB,0.13417294397974008,False
ContB-DefaultC,0.21304755393359817,False
ContB-DorsAttnA,0.026558676820262,False
ContB-DorsAttnB,0.049480496527723114,False
ContB-LimbicA,0.16075271274921027,False
ContB-LimbicB,0.03256320966307132,False
ContB-SalVentAttnA,-0.05240867848603611,False
ContB-SalVentAttnB,-0.009526716499466022,False
ContB-SomMotA,-0.11307548801797483,False
ContB-SomMotB,-0.052096372579774154,False
ContB-TempPar,0.1381817129420815,False
ContB-VisCent,0.035532103302482236,False
ContB-VisPeri,-0.12071354000064302,False
ContC-ContC,0.21046028840589887,True
ContC-DefaultA,0.18747110446317827,False
ContC-DefaultB,0.1234190174288997,False
ContC-DefaultC,0.004811782875439244,False
ContC-DorsAttnA,0.02186401400984225,False
ContC-DorsAttnB,0.049672479161806,False
ContC-LimbicA,0.1493311383128018,False
ContC-LimbicB,0.1011569865289992,False
ContC-SalVentAttnA,0.0054404098057571825,False
ContC-SalVentAttnB,0.10488574272051363,False
ContC-SomMotA,-0.02381423710390311,False
ContC-SomMotB,-0.02074859368933839,False
ContC-TempPar,-0.05183765478126942,False
ContC-VisCent,0.04261394465870769,False
ContC-VisPeri,-0.03801508910598784,False
DefaultA-DefaultA,0.18845616904312698,True
DefaultA-DefaultB,0.1223157516940983,False
DefaultA-DefaultC,-0.02130814427847664,False
DefaultA-DorsAttnA,0.021029935839505454,False
DefaultA-DorsAttnB,0.032815047082424414,False
DefaultA-LimbicA,0.1360452575053946,False
DefaultA-LimbicB,0.08936430633806623,False
DefaultA-SalVentAttnA,0.007373738829682047,False
DefaultA-SalVentAttnB,0.08974877397625733,False
DefaultA-SomMotA,0.011327739521734118,False
DefaultA-SomMotB,-0.006096015055632021,False
DefaultA-TempPar,-0.06548278239521337,False
DefaultA-VisCent,0.04186988444379313,False
DefaultA-VisPeri,-0.013143911630596285,False
DefaultB-DefaultB,0.16937549848087402,True
DefaultB-DefaultC,0.1800177355184941,False
DefaultB-DorsAttnA,-0.01901016271603204,False
DefaultB-DorsAttnB,0.0226888224602859,False
DefaultB-LimbicA,0.12088301082022687,False
DefaultB-LimbicB,0.1033380472729701,False
DefaultB-SalVentAttnA,0.0025674415286181837,False
DefaultB-SalVentAttnB,0.08702078577159668,False
DefaultB-SomMotA,-0.05175760644017348,False
DefaultB-SomMotB,-0.017308425299731093,False
DefaultB-TempPar,0.05793072022711688,False
DefaultB-VisCent,0.03865477350345034,False
DefaultB-VisPeri,-0.05120504126814844,False
DefaultC-DefaultC,0.4377508510865762,True
DefaultC-DorsAttnA,-0.07160043563357273,False
DefaultC-DorsAttnB,0.0005120615024116178,False
