network_connection,fc,within_network
ContA-ContA,0.37946952289879227,True
ContA-ContB,0.30914080983281333,False
ContA-ContC,0.2798300838642602,False
ContA-DefaultA,0.25949228573405164,False
ContA-DefaultB,0.23870455014876357,False
ContA-DefaultC,0.08134634897279329,False
ContA-DorsAttnA,-0.06523684946640097,False
ContA-DorsAttnB,0.09822824477880987,False
ContA-LimbicA,0.36087281679861016,False
ContA-LimbicB,0.19519385599160377,False
ContA-SalVentAttnA,-0.014552143485288924,False
ContA-SalVentAttnB,0.2048376462794024,False
ContA-SomMotA,-0.09348530675226027,False
ContA-SomMotB,-0.11905397728884301,False
ContA-TempPar,0.14542594675848283,False
ContA-VisCent,0.054925877978819315,False
ContA-VisPeri,-0.007722970034198244,False
ContB-ContB,0.33176338786992216,True
ContB-ContC,0.2566267888143075,False
ContB-DefaultA,0.2075732284383634,False
ContB-DefaultB,0.22780218929385337,False
ContB-DefaultC,0.15218925340077571,False
ContB-DorsAttnA,-0.031332036370552416,False
ContB-DorsAttnB,0.10204682894060582,False
ContB-LimbicA,0.2679048793026578,False
ContB-LimbicB,0.10288543032565972,False
ContB-SalVentAttnA,-0.048793035944792076,False
ContB-SalVentAttnB,0.08829471090974762,False
ContB-SomMotA,-0.05051396472216297,False
ContB-SomMotB,-0.09162717196503231,False
ContB-TempPar,0.2748512332243208,False
ContB-VisCent,0.06266326626390671,False
ContB-VisPeri,0.01978252555468793,False
ContC-ContC,0.3557571472646089,True
ContC-DefaultA,0.31877061354707337,False
ContC-DefaultB,0.25309643654812647,False
ContC-DefaultC,0.08063931383986227,False
ContC-DorsAttnA,-0.09307878214154675,False
ContC-DorsAttnB,0.08487189985599834,False
ContC-LimbicA,0.2938205252829071,False
ContC-LimbicB,0.20790429582192174,False
ContC-SalVentAttnA,-0.014892785829238713,False
ContC-SalVentAttnB,0.2137728517702083,False
ContC-SomMotA,-0.06477341312600564,False
ContC-SomMotB,-0.1248667911348695,False
ContC-TempPar,0.12866289625686364,False
ContC-VisCent,0.06356586405564475,False
ContC-VisPeri,0.022030534904681723,False
DefaultA-DefaultA,0.3067700992262646,True
DefaultA-DefaultB,0.25065570611554766,False
DefaultA-DefaultC,0.07231525804825725,False
DefaultA-DorsAttnA,-0.08713812946363557,False
DefaultA-DorsAttnB,0.0711656713387747,False
DefaultA-LimbicA,0.26360163883689647,False
DefaultA-LimbicB,0.2105430896340162,False
DefaultA-SalVentAttnA,0.001428072196166476,False
