network_connection,fc,within_network
ContA-ContA,0.2757398373936858,True
ContA-ContB,0.1387339343703933,False
ContA-ContC,0.08457044991018961,False
ContA-DefaultA,0.09394190410968811,False
ContA-DefaultB,0.06223421459139205,False
ContA-DefaultC,0.000491038577366194,False
ContA-DorsAttnA,-0.0065210355524857435,False
ContA-DorsAttnB,0.034734397945586186,False
ContA-LimbicA,0.2810545857922305,False
ContA-LimbicB,0.15744072302374457,False
ContA-SalVentAttnA,-0.0023918629833954846,False
ContA-SalVentAttnB,0.1761705767651232,False
ContA-SomMotA,-0.12523560443875134,False
ContA-SomMotB,-0.050588326311999596,False
ContA-TempPar,-0.0570395556231314,False
ContA-VisCent,-0.029040697573356273,False
ContA-VisPeri,-0.13195658221264428,False
ContB-ContB,0.17031485077759792,True
ContB-ContC,0.03857868219164782,False
ContB-DefaultA,0.005536523516088327,False
ContB-DefaultB,0.0399712688651265,False
ContB-DefaultC,0.10303027263394676,False
ContB-DorsAttnA,0.026011166669100135,False
ContB-DorsAttnB,0.021170110976169585,False
ContB-LimbicA,0.13221109415933213,False
ContB-LimbicB,0.05992134190529621,False
ContB-SalVentAttnA,-0.03032943513259498,False
ContB-SalVentAttnB,0.03915736013332786,False
ContB-SomMotA,-0.11238298598337308,False
ContB-SomMotB,-0.03795851561955208,False
ContB-TempPar,0.04744238920659645,False
ContB-VisCent,-0.012498086944510168,False
ContB-VisPeri,-0.130021101852914,False
ContC-ContC,0.21539347129967903,True
ContC-DefaultA,0.18236439408373153,False
ContC-DefaultB,0.05192266731151476,False
ContC-DefaultC,-0.07544970673530314,False
ContC-DorsAttnA,-0.016984955266885867,False
ContC-DorsAttnB,0.03581043490217596,False
ContC-LimbicA,0.1506114782806586,False
ContC-LimbicB,0.18158020287013493,False
ContC-SalVentAttnA,0.07150306975587215,False
ContC-SalVentAttnB,0.2160262662416945,False
ContC-SomMotA,-0.05480747226911335,False
ContC-SomMotB,-0.030579247405596165,False
ContC-TempPar,-0.10237529473432534,False
ContC-VisCent,-0.0242878471036276,False
ContC-VisPeri,-0.04892036325321657,False
DefaultA-DefaultA,0.1946254816565354,True
DefaultA-DefaultB,0.08010892128636071,False
DefaultA-DefaultC,-0.09700855030349398,False
DefaultA-DorsAttnA,-0.0451100086528712,False
DefaultA-DorsAttnB,0.03805808323040701,False
DefaultA-LimbicA,0.11564458824338363,False
DefaultA-LimbicB,0.16338575968498845,False
DefaultA-SalVentAttnA,0.06134276200755082,False
DefaultA-SalVentAttnB,0.19431625324250765,False
DefaultA-SomMotA,-0.05945118999119095,False
DefaultA-SomMotB,-0.038776790980908034,False
DefaultA-TempPar,-0.0965183154829203,False
DefaultA-VisCent,-0.01757435428103569,False
DefaultA-VisPeri,-0.04791718005415896,False
DefaultB-DefaultB,0.12000679531099458,True
DefaultB-DefaultC,0.12107514566090004,False
DefaultB-DorsAttnA,-0.040878803695414585,False
DefaultB-DorsAttnB,-0.004909062733807313,False
DefaultB-LimbicA,0.03613399324946458,False
DefaultB-LimbicB,0.07630750953949347,False
DefaultB-SalVentAttnA,-0.010453256832603341,False
DefaultB-SalVentAttnB,0.06429231228251704,False
DefaultB-SomMotA,-0.08468302180035692,False
DefaultB-SomMotB,-0.03479565618065573,False
DefaultB-TempPar,0.04967796125607181,False
DefaultB-VisCent,-0.019408473087990517,False
DefaultB-VisPeri,-0.08082637511796789,False
DefaultC-DefaultC,0.3929867131621052,True
DefaultC-DorsAttnA,-0.04634705069337763,False
DefaultC-DorsAttnB,-0.033424100908000416,False
DefaultC-LimbicA,-0.042321868192493034,False
DefaultC-LimbicB,-0.020175568784932537,False
DefaultC-SalVentAttnA,-0.08305480902740979,False
DefaultC-SalVentAttnB,-0.08238095434122424,False
DefaultC-SomMotA,-0.12035383839165943,False
DefaultC-SomMotB,-0.061414954624878886,False
DefaultC-TempPar,0.3087558684313051,False
DefaultC-VisCent,-0.022700571102034623,False
DefaultC-VisPeri,-0.11825593950902068,False
DorsAttnA-DorsAttnA,0.23673998587233228,True
DorsAttnA-DorsAttnB,0.05749635955014707,False
DorsAttnA-LimbicA,0.015003332082697728,False
DorsAttnA-LimbicB,-0.004861640855564587,False
DorsAttnA-SalVentAttnA,0.048507767578244536,False
DorsAttnA-SalVentAttnB,0.0010734453981498535,False
DorsAttnA-SomMotA,-0.02722502433135937,False
DorsAttnA-SomMotB,0.05845816163514463,False
DorsAttnA-TempPar,-0.09905188928965575,False
DorsAttnA-VisCent,-0.015343599244618157,False
DorsAttnA-VisPeri,-0.07762694566350138,False
DorsAttnB-DorsAttnB,0.12559427877000176,True
DorsAttnB-LimbicA,0.03204119384045093,False
DorsAttnB-LimbicB,0.04868198536547396,False
DorsAttnB-SalVentAttnA,0.03456468999379185,False
DorsAttnB-SalVentAttnB,0.07197755333749693,False
DorsAttnB-SomMotA,-0.04470797807188636,False
DorsAttnB-SomMotB,-0.06888468074839312,False
DorsAttnB-TempPar,-0.04978798222176727,False
DorsAttnB-VisCent,0.022161498641939212,False
DorsAttnB-VisPeri,-0.019177799232707113,False
LimbicA-LimbicA,0.3359796289458556,True
LimbicA-LimbicB,0.2291418698014568,False
LimbicA-SalVentAttnA,0.03945641645385402,False
