network_connection,fc,within_network
ContA-ContA,0.15314138442932843,True
ContA-ContB,0.09719099333887952,False
ContA-ContC,0.05306809671290255,False
ContA-DefaultA,0.06436368990103279,False
ContA-DefaultB,0.06463533519201277,False
ContA-DefaultC,0.051706474417237254,False
ContA-DorsAttnA,0.007289629750320064,False
ContA-DorsAttnB,0.014494681532601528,False
ContA-LimbicA,0.16417077859765092,False
ContA-LimbicB,0.08347430772603477,False
ContA-SalVentAttnA,0.032315616560694364,False
ContA-SalVentAttnB,0.10274405701008472,False
ContA-SomMotA,-0.08721051499599723,False
ContA-SomMotB,-0.030748815956690885,False
ContA-TempPar,0.03748511831949577,False
ContA-VisCent,-0.03411346474497698,False
ContA-VisPeri,-0.08486145329053726,False
ContB-ContB,0.17570237853549112,True
ContB-ContC,0.06786112917227291,False
ContB-DefaultA,0.05369057221336513,False
ContB-DefaultB,0.10620315162632833,False
ContB-DefaultC,0.20031882217680394,False
ContB-DorsAttnA,-0.004634059562314437,False
ContB-DorsAttnB,0.004602715732027992,False
ContB-LimbicA,0.09668338775640989,False
ContB-LimbicB,0.019966276356165758,False
ContB-SalVentAttnA,-0.016763094394692608,False
ContB-SalVentAttnB,-0.014660474142905633,False
ContB-SomMotA,-0.08050134685287344,False
ContB-SomMotB,-0.051016319756294254,False
ContB-TempPar,0.24605032054414797,False
ContB-VisCent,-0.018050963232136407,False
ContB-VisPeri,-0.11258038525671407,False
ContC-ContC,0.1468977272272433,True
ContC-DefaultA,0.1363582003340975,False
ContC-DefaultB,0.0817557484598997,False
ContC-DefaultC,0.016992885886083584,False
ContC-DorsAttnA,-0.0144255640887739,False
ContC-DorsAttnB,0.019725957807786926,False
ContC-LimbicA,0.07161806361233336,False
ContC-LimbicB,0.05512973813980253,False
ContC-SalVentAttnA,0.015533541478714781,False
ContC-SalVentAttnB,0.04853316629474058,False
ContC-SomMotA,-0.004679966622884998,False
ContC-SomMotB,-0.03172642780787281,False
ContC-TempPar,0.04726281248227942,False
ContC-VisCent,0.0067593107217045105,False
ContC-VisPeri,-0.015111438584298557,False
DefaultA-DefaultA,0.14665986172214823,True
DefaultA-DefaultB,0.09996723935047148,False
DefaultA-DefaultC,0.021740421271824274,False
DefaultA-DorsAttnA,-0.012990990506932736,False
DefaultA-DorsAttnB,0.00875872476061946,False
DefaultA-LimbicA,0.07727524813906082,False
DefaultA-LimbicB,0.06696325260115416,False
DefaultA-SalVentAttnA,0.015676841399539482,False
DefaultA-SalVentAttnB,0.06447064989164086,False
DefaultA-SomMotA,-0.013925270419349637,False
DefaultA-SomMotB,-0.030143334260366753,False
DefaultA-TempPar,0.02588434426473539,False
DefaultA-VisCent,0.01368772665426836,False
DefaultA-VisPeri,-0.026964262498796982,False
DefaultB-DefaultB,0.14437077815537191,True
DefaultB-DefaultC,0.21528879082407704,False
DefaultB-DorsAttnA,-0.016999166934625127,False
DefaultB-DorsAttnB,-0.011734805816952507,False
DefaultB-LimbicA,0.06651614897278393,False
DefaultB-LimbicB,0.04430868878869016,False
DefaultB-SalVentAttnA,-0.00754926400773997,False
DefaultB-SalVentAttnB,0.019910881392770415,False
DefaultB-SomMotA,-0.04280656799001119,False
DefaultB-SomMotB,-0.03473022915939252,False
DefaultB-TempPar,0.17770196653473874,False
DefaultB-VisCent,0.0165008853268381,False
DefaultB-VisPeri,-0.06682673073468348,False
DefaultC-DefaultC,0.5234216726780213,True
DefaultC-DorsAttnA,-0.039108447329732274,False
DefaultC-DorsAttnB,-0.022407162472819903,False
DefaultC-LimbicA,0.0472715495346907,False
DefaultC-LimbicB,0.012467138131949152,False
DefaultC-SalVentAttnA,-0.03510014574566502,False
DefaultC-SalVentAttnB,-0.055846615808191294,False
DefaultC-SomMotA,-0.09084600541051271,False
DefaultC-SomMotB,-0.05702926213191742,False
DefaultC-TempPar,0.4591016694970699,False
DefaultC-VisCent,0.008901758800378879,False
DefaultC-VisPeri,-0.12792671803462013,False
DorsAttnA-DorsAttnA,0.07610634499005425,True
DorsAttnA-DorsAttnB,0.020918104557768,False
DorsAttnA-LimbicA,0.024438970787074705,False
DorsAttnA-LimbicB,0.006875998911611759,False
DorsAttnA-SalVentAttnA,0.018573650649409777,False
DorsAttnA-SalVentAttnB,0.030722735891633084,False
DorsAttnA-SomMotA,0.029758100941254233,False
DorsAttnA-SomMotB,0.0522412376176586,False
DorsAttnA-TempPar,-0.04999894200853139,False
DorsAttnA-VisCent,0.025580440800216816,False
DorsAttnA-VisPeri,0.03618175457762727,False
DorsAttnB-DorsAttnB,0.05264685780187007,True
DorsAttnB-LimbicA,0.023064053829483965,False
DorsAttnB-LimbicB,0.02557752841344092,False
DorsAttnB-SalVentAttnA,0.03397620018963072,False
DorsAttnB-SalVentAttnB,0.04854709644792618,False
DorsAttnB-SomMotA,-0.0043409649308533225,False
DorsAttnB-SomMotB,-0.010495303007885015,False
DorsAttnB-TempPar,-0.01947382462406634,False
DorsAttnB-VisCent,-0.008420329408982038,False
DorsAttnB-VisPeri,0.012204221917538942,False
LimbicA-LimbicA,0.18171508424822277,True
LimbicA-LimbicB,0.09645199019256305,False
