network_connection,fc,within_network
ContA-ContA,0.24794418268322108,True
ContA-ContB,0.16173907611334307,False
ContA-ContC,0.1588333038362843,False
ContA-DefaultA,0.15425150168974425,False
ContA-DefaultB,0.14755460773918744,False
ContA-DefaultC,0.0783587707121726,False
ContA-DorsAttnA,-0.03130086679899556,False
ContA-DorsAttnB,0.07503431296036975,False
ContA-LimbicA,0.2757245581633943,False
ContA-LimbicB,0.20842687442467084,False
ContA-SalVentAttnA,0.05740120753240556,False
ContA-SalVentAttnB,0.19498399024355978,False
ContA-SomMotA,-0.08357678292303516,False
ContA-SomMotB,-0.03298617679953895,False
ContA-TempPar,0.00289208389041864,False
ContA-VisCent,0.04723942450332936,False
ContA-VisPeri,-0.06010300401565557,False
ContB-ContB,0.17566199622181103,True
ContB-ContC,0.1741106366555748,False
ContB-DefaultA,0.14766560050239358,False
ContB-DefaultB,0.1272317875941651,False
ContB-DefaultC,0.05617542284859006,False
ContB-DorsAttnA,-0.002169907459882506,False
ContB-DorsAttnB,0.0646493869484385,False
ContB-LimbicA,0.1724228025099379,False
ContB-LimbicB,0.13214943951415034,False
ContB-SalVentAttnA,-0.0014039146041795124,False
ContB-SalVentAttnB,0.1093386025295699,False
ContB-SomMotA,-0.05676225491114443,False
ContB-SomMotB,-0.042665131660010513,False
ContB-TempPar,0.05100488884095978,False
ContB-VisCent,0.059273093663062125,False
ContB-VisPeri,-0.09489973845346243,False
ContC-ContC,0.3273638874334843,True
ContC-DefaultA,0.27663750503455775,False
ContC-DefaultB,0.19654903059029272,False
ContC-DefaultC,-0.008896792488718103,False
ContC-DorsAttnA,-0.05638460124324426,False
ContC-DorsAttnB,0.07407032707888153,False
ContC-LimbicA,0.1930048099908816,False
ContC-LimbicB,0.1427197795808892,False
ContC-SalVentAttnA,-0.013489716116928835,False
ContC-SalVentAttnB,0.12323455578813379,False
ContC-SomMotA,-0.008219149226879647,False
ContC-SomMotB,-0.06190265195259436,False
ContC-TempPar,-0.012223452765731101,False
ContC-VisCent,0.06805467582498566,False
ContC-VisPeri,-0.03109493539439696,False
DefaultA-DefaultA,0.2666859621857842,True
DefaultA-DefaultB,0.20773070024496984,False
DefaultA-DefaultC,-0.004994375141177248,False
DefaultA-DorsAttnA,-0.05371789015480878,False
DefaultA-DorsAttnB,0.05378737014744647,False
