network_connection,fc,within_network
ContA-ContA,0.1830105690369152,True
ContA-ContB,0.11532270779271873,False
ContA-ContC,0.13037134652880075,False
ContA-DefaultA,0.13921593948530042,False
ContA-DefaultB,0.141561939178762,False
ContA-DefaultC,0.1222534797426913,False
ContA-DorsAttnA,0.0043012545133602606,False
ContA-DorsAttnB,0.09585054901311611,False
ContA-LimbicA,0.18107499372292538,False
ContA-LimbicB,0.14691057283607661,False
ContA-SalVentAttnA,0.030349484101776313,False
ContA-SalVentAttnB,0.17916661610825926,False
ContA-SomMotA,-0.06587398595751515,False
ContA-SomMotB,-0.040635863738640754,False
ContA-TempPar,0.027154587146201753,False
ContA-VisCent,0.05850068907663439,False
ContA-VisPeri,-0.05911330722272639,False
ContB-ContB,0.13625243441666088,True
ContB-ContC,0.1335124894242623,False
ContB-DefaultA,0.13127298510746155,False
ContB-DefaultB,0.12584619896981164,False
ContB-DefaultC,0.10009311794383345,False
ContB-DorsAttnA,0.027582142985606153,False
ContB-DorsAttnB,0.06666763247198813,False
ContB-LimbicA,0.12188807995612938,False
ContB-LimbicB,0.06992508570401856,False
ContB-SalVentAttnA,-0.002221933429233825,False
ContB-SalVentAttnB,0.07310101665942506,False
ContB-SomMotA,-0.031286981139756746,False
ContB-SomMotB,-0.03654014631639411,False
ContB-TempPar,0.06811952441708974,False
ContB-VisCent,0.047041441704143844,False
ContB-VisPeri,-0.04961704346280773,False
ContC-ContC,0.3268972321953214,True
ContC-DefaultA,0.2921583559885715,False
ContC-DefaultB,0.2131543599583401,False
ContC-DefaultC,0.0861529752183209,False
ContC-DorsAttnA,0.06546961820343168,False
ContC-DorsAttnB,0.1536629575850683,False
ContC-LimbicA,0.19434672858747123,False
ContC-LimbicB,0.1826692739965944,False
ContC-SalVentAttnA,0.0489522654155073,False
ContC-SalVentAttnB,0.2077603528525518,False
ContC-SomMotA,0.026395841251545045,False
ContC-SomMotB,-0.03933732387739755,False
ContC-TempPar,-0.02847857636568935,False
ContC-VisCent,0.12348736508737507,False
ContC-VisPeri,0.020207798787987737,False
DefaultA-DefaultA,0.28295673169410773,True
DefaultA-DefaultB,0.22064505485542646,False
DefaultA-DefaultC,0.07511093079962702,False
DefaultA-DorsAttnA,0.05465786159687073,False
DefaultA-DorsAttnB,0.1207997047897841,False
DefaultA-LimbicA,0.1786936261260318,False
DefaultA-LimbicB,0.16086766415592613,False
DefaultA-SalVentAttnA,0.03589203719864042,False
DefaultA-SalVentAttnB,0.17842147036202216,False
DefaultA-SomMotA,0.019816884940492253,False
DefaultA-SomMotB,-0.03268797394576646,False
DefaultA-TempPar,-0.0315706720223314,False
DefaultA-VisCent,0.10662456175612195,False
DefaultA-VisPeri,0.010134157846424,False
DefaultB-DefaultB,0.2404887411377971,True
DefaultB-DefaultC,0.22064177289026818,False
DefaultB-DorsAttnA,-0.01696018283637685,False
DefaultB-DorsAttnB,0.06957633262897328,False
DefaultB-LimbicA,0.14744734344245963,False
DefaultB-LimbicB,0.1473269139028014,False
DefaultB-SalVentAttnA,0.01977847058168659,False
DefaultB-SalVentAttnB,0.15763346780950624,False
DefaultB-SomMotA,-0.044446413118491845,False
DefaultB-SomMotB,-0.0500656339838171,False
DefaultB-TempPar,0.08308689368753289,False
DefaultB-VisCent,0.05793096120226421,False
DefaultB-VisPeri,-0.04811158457594815,False
DefaultC-DefaultC,0.4145083696841731,True
DefaultC-DorsAttnA,-0.12700051481547633,False
DefaultC-DorsAttnB,0.01564612623456308,False
DefaultC-LimbicA,0.10640575815351666,False
DefaultC-LimbicB,0.14985449194815448,False
DefaultC-SalVentAttnA,0.009930116658674501,False
DefaultC-SalVentAttnB,0.1486039777593994,False
DefaultC-SomMotA,-0.144012829118356,False
DefaultC-SomMotB,-0.08598730410261035,False
DefaultC-TempPar,0.31977926550482333,False
DefaultC-VisCent,-0.017400301937235112,False
DefaultC-VisPeri,-0.13301398299866285,False
DorsAttnA-DorsAttnA,0.2569410636764825,True
DorsAttnA-DorsAttnB,0.13071127248052486,False
DorsAttnA-LimbicA,0.04620457997838804,False
DorsAttnA-LimbicB,-0.0138478664010394,False
DorsAttnA-SalVentAttnA,0.028822323179245896,False
DorsAttnA-SalVentAttnB,0.03177634545425243,False
DorsAttnA-SomMotA,0.10603141096755468,False
DorsAttnA-SomMotB,0.07338808910901519,False
DorsAttnA-TempPar,-0.11559107832301481,False
DorsAttnA-VisCent,0.0868944036601811,False
DorsAttnA-VisPeri,0.06736776389162329,False
DorsAttnB-DorsAttnB,0.17267661190342512,True
DorsAttnB-LimbicA,0.1519651280814737,False
DorsAttnB-LimbicB,0.11412356822724727,False
DorsAttnB-SalVentAttnA,0.05413941772729116,False
DorsAttnB-SalVentAttnB,0.1703147096471409,False
DorsAttnB-SomMotA,0.027733841243412348,False
DorsAttnB-SomMotB,-0.010107768304322376,False
DorsAttnB-TempPar,-0.03391931909822608,False
DorsAttnB-VisCent,0.10111884983012333,False
DorsAttnB-VisPeri,0.033939807472236745,False
LimbicA-LimbicA,0.21424110205333358,True
LimbicA-LimbicB,0.18855352444772244,False
LimbicA-SalVentAttnA,0.05141165788656202,False
LimbicA-SalVentAttnB,0.23230163043936308,False
LimbicA-SomMotA,-0.042736360988574605,False
LimbicA-SomMotB,-0.037911877340048354,False
LimbicA-TempPar,0.007706577131605376,False
LimbicA-VisCent,0.09449493015466844,False
LimbicA-VisPeri,-0.027118768269367165,False
LimbicB-LimbicB,0.22043084298007962,True
LimbicB-SalVentAttnA,0.07264630881808595,False
LimbicB-SalVentAttnB,0.26703430809621864,False
LimbicB-SomMotA,-0.06716117532615794,False
LimbicB-SomMotB,-0.044582804183947985,False
LimbicB-TempPar,0.03622214888315859,False
LimbicB-VisCent,0.06779251288642396,False
LimbicB-VisPeri,-0.043468911647983464,False
SalVentAttnA-SalVentAttnA,0.035479920258356154,True
SalVentAttnA-SalVentAttnB,0.09720887787402438,False
SalVentAttnA-SomMotA,0.007655719917078824,False
SalVentAttnA-SomMotB,0.008828150247448053,False
SalVentAttnA-TempPar,-0.016809855901938925,False
SalVentAttnA-VisCent,0.03581538766920835,False
SalVentAttnA-VisPeri,0.03187429388197536,False
SalVentAttnB-SalVentAttnB,0.3300247271135854,True
SalVentAttnB-SomMotA,-0.06582984411639856,False
SalVentAttnB-SomMotB,-0.04725006872766726,False
SalVentAttnB-TempPar,0.025361403691764914,False
SalVentAttnB-VisCent,0.08770113658030919,False
SalVentAttnB-VisPeri,-0.01881108668099323,False
SomMotA-SomMotA,0.15195590940770837,True
SomMotA-SomMotB,0.07042482555584499,False
SomMotA-TempPar,-0.11437811503005516,False
SomMotA-VisCent,0.0772428489809252,False
SomMotA-VisPeri,0.1549567610735888,False
SomMotB-SomMotB,0.07035456049263974,True
SomMotB-TempPar,-0.06356680861489304,False
SomMotB-VisCent,0.023429464462093662,False
SomMotB-VisPeri,0.05358296307519577,False
TempPar-TempPar,0.4219219693356713,True
TempPar-VisCent,-0.07090087957757207,False
TempPar-VisPeri,-0.10061480754042307,False
VisCent-VisCent,0.10662521326395247,True
VisCent-VisPeri,0.08118256343660772,False
VisPeri-VisPeri,0.21034492961617152,True
