network_connection,fc,within_network
ContA-ContA,0.27093617683630566,True
ContA-ContB,0.14158957063541097,False
ContA-ContC,0.08397582866823067,False
ContA-DefaultA,0.11706476531388191,False
ContA-DefaultB,0.08578105631804794,False
ContA-DefaultC,0.009424676800708562,False
ContA-DorsAttnA,-0.08307892308466631,False
ContA-DorsAttnB,0.05543785343297417,False
ContA-LimbicA,0.28841238179581047,False
ContA-LimbicB,0.24226284908367607,False
ContA-SalVentAttnA,0.04007932358320482,False
ContA-SalVentAttnB,0.2521791573726098,False
ContA-SomMotA,-0.16897766961080993,False
ContA-SomMotB,-0.08689919173696559,False
ContA-TempPar,-0.05669333885265752,False
ContA-VisCent,-0.010494987059848335,False
ContA-VisPeri,-0.13465689320892826,False
ContB-ContB,0.12900607050446947,True
ContB-ContC,0.09341341031278037,False
ContB-DefaultA,0.0646405714609936,False
ContB-DefaultB,0.06726204943386672,False
ContB-DefaultC,0.08198466752277664,False
ContB-DorsAttnA,-0.05088940718578226,False
ContB-DorsAttnB,0.01214515204574559,False
ContB-LimbicA,0.13863967100040042,False
ContB-LimbicB,0.10983806546734876,False
ContB-SalVentAttnA,0.0037088353157353274,False
ContB-SalVentAttnB,0.095295302120874,False
ContB-SomMotA,-0.13849622668397263,False
ContB-SomMotB,-0.07230125744074575,False
ContB-TempPar,0.03399151595932063,False
ContB-VisCent,-0.02555144168865525,False
ContB-VisPeri,-0.16069371130377277,False
ContC-ContC,0.22875788713782444,True
ContC-DefaultA,0.15745060892817594,False
ContC-DefaultB,0.04887055064985112,False
ContC-DefaultC,-0.0248799322781053,False
ContC-DorsAttnA,-0.06791597042590036,False
ContC-DorsAttnB,0.02342826738125883,False
ContC-LimbicA,0.15165692710839632,False
ContC-LimbicB,0.1620869163856762,False
ContC-SalVentAttnA,0.03274276655570256,False
ContC-SalVentAttnB,0.17688585617043664,False
ContC-SomMotA,-0.09469707492096756,False
ContC-SomMotB,-0.06324894422285858,False
ContC-TempPar,-0.037768568065980564,False
ContC-VisCent,0.006106527182222584,False
ContC-VisPeri,-0.08481912391485266,False
DefaultA-DefaultA,0.16469834505575587,True
DefaultA-DefaultB,0.0785333752479876,False
DefaultA-DefaultC,-0.036361588050735534,False
DefaultA-DorsAttnA,-0.08114073969665833,False
