network_connection,fc,within_network
ContA-ContA,0.2131698970127704,True
ContA-ContB,0.0877525944531276,False
ContA-ContC,0.04550259441574123,False
ContA-DefaultA,0.07755899271027569,False
ContA-DefaultB,0.058711843893932386,False
ContA-DefaultC,-0.005831995362627519,False
ContA-DorsAttnA,-0.011573857756090855,False
ContA-DorsAttnB,0.037395654333019356,False
ContA-LimbicA,0.18358217474676294,False
ContA-LimbicB,0.08487620157586717,False
ContA-SalVentAttnA,0.0017471734193611245,False
ContA-SalVentAttnB,0.11110987187230043,False
ContA-SomMotA,-0.03855875281410074,False
ContA-SomMotB,-0.019054886795735217,False
ContA-TempPar,-0.019089378785416212,False
ContA-VisCent,0.0027862626361454955,False
ContA-VisPeri,-0.02769676883160391,False
ContB-ContB,0.10656033207406629,True
ContB-ContC,0.042585842835297406,False
ContB-DefaultA,0.02108398409633227,False
ContB-DefaultB,0.02113308300249743,False
ContB-DefaultC,0.06905009298720399,False
ContB-DorsAttnA,0.01502052115427287,False
ContB-DorsAttnB,0.041273673177357674,False
ContB-LimbicA,0.06162180719869883,False
ContB-LimbicB,0.0328165004650079,False
ContB-SalVentAttnA,-0.007287916168748712,False
ContB-SalVentAttnB,0.026775979350584046,False
ContB-SomMotA,-0.027619362585717237,False
ContB-SomMotB,-0.0021277377006003496,False
ContB-TempPar,0.10268352680347494,False
ContB-VisCent,0.011537723727604103,False
ContB-VisPeri,-0.022898366234281712,False
ContC-ContC,0.19990382491013095,True
ContC-DefaultA,0.13420066821898177,False
ContC-DefaultB,0.09818702796632177,False
ContC-DefaultC,0.028437288666665818,False
ContC-DorsAttnA,-0.04482287745342821,False
ContC-DorsAttnB,0.010663300935995271,False
ContC-LimbicA,0.08620290745532072,False
ContC-LimbicB,0.11762845367596003,False
ContC-SalVentAttnA,-0.0071615920431907275,False
ContC-SalVentAttnB,0.12018166009135982,False
ContC-SomMotA,-0.020630706719202793,False
ContC-SomMotB,-0.01837882567563284,False
ContC-TempPar,-0.05654250907450053,False
ContC-VisCent,0.03539873637323468,False
ContC-VisPeri,-0.0068007956283313,False
DefaultA-DefaultA,0.1267253356660943,True
DefaultA-DefaultB,0.09788745387251754,False
DefaultA-DefaultC,-0.009071119700275588,False
DefaultA-DorsAttnA,-0.011688672842443546,False
DefaultA-DorsAttnB,0.008054412101418574,False
DefaultA-LimbicA,0.10329019492472243,False
DefaultA-LimbicB,0.10036796909187384,False
DefaultA-SalVentAttnA,0.005414800226541906,False
DefaultA-SalVentAttnB,0.10530871164261217,False
DefaultA-SomMotA,-0.019490393301807362,False
