network_connection,fc,within_network
ContA-ContA,0.09704765794117191,True
ContA-ContB,0.06492641642589314,False
ContA-ContC,0.04527167715482007,False
ContA-DefaultA,0.06278484930376148,False
ContA-DefaultB,0.054719840949715194,False
ContA-DefaultC,0.020578650182834706,False
ContA-DorsAttnA,-0.024301972397840446,False
ContA-DorsAttnB,0.0318232779952289,False
ContA-LimbicA,0.09068474135291296,False
ContA-LimbicB,0.0645726092069844,False
ContA-SalVentAttnA,0.0011321926822299335,False
ContA-SalVentAttnB,0.08328534281921642,False
ContA-SomMotA,-0.06365487525526588,False
ContA-SomMotB,-0.0377073632724329,False
ContA-TempPar,0.018673397185451957,False
ContA-VisCent,0.0013855793920155889,False
ContA-VisPeri,-0.0715616122560511,False
ContB-ContB,0.20259266122052227,True
ContB-ContC,0.09358410469894404,False
ContB-DefaultA,0.08801196826063895,False
ContB-DefaultB,0.10476656254801725,False
ContB-DefaultC,0.13630978064351898,False
ContB-DorsAttnA,-0.03949591437583542,False
ContB-DorsAttnB,0.03294647772033809,False
ContB-LimbicA,0.023976804427170345,False
ContB-LimbicB,0.013526300299572247,False
ContB-SalVentAttnA,-0.04418385919518674,False
ContB-SalVentAttnB,-0.016809786321120353,False
ContB-SomMotA,-0.11305752138002059,False
ContB-SomMotB,-0.10335264355701634,False
ContB-TempPar,0.2045047749173223,False
ContB-VisCent,-0.018904128046119253,False
ContB-VisPeri,-0.15341134939407097,False
ContC-ContC,0.1705018849112468,True
ContC-DefaultA,0.1579424949714706,False
ContC-DefaultB,0.10263212960036722,False
ContC-DefaultC,-0.01019537615772447,False
ContC-DorsAttnA,-0.05696153257197179,False
ContC-DorsAttnB,-0.008425706507968256,False
ContC-LimbicA,0.05063906876114618,False
ContC-LimbicB,0.03486619476590692,False
ContC-SalVentAttnA,-0.046841500405139416,False
ContC-SalVentAttnB,0.016043633430450538,False
ContC-SomMotA,-0.03550209671073126,False
ContC-SomMotB,-0.06531823508824702,False
ContC-TempPar,0.022863753154002756,False
ContC-VisCent,-0.005986331954127181,False
ContC-VisPeri,-0.0548539642658151,False
DefaultA-DefaultA,0.1717759217235586,True
DefaultA-DefaultB,0.11920621982859894,False
DefaultA-DefaultC,0.00569908955331528,False
DefaultA-DorsAttnA,-0.07110194024186371,False
DefaultA-DorsAttnB,-0.010316389728842888,False
DefaultA-LimbicA,0.06187779315454082,False
DefaultA-LimbicB,0.05882757980723264,False
DefaultA-SalVentAttnA,-0.03631527933813312,False
DefaultA-SalVentAttnB,0.03881230491665514,False
DefaultA-SomMotA,-0.04659241133339033,False
DefaultA-SomMotB,-0.06605002905823283,False
DefaultA-TempPar,0.04640233110022346,False
DefaultA-VisCent,-0.009951197343503814,False
DefaultA-VisPeri,-0.08375965051338237,False
DefaultB-DefaultB,0.13873098274000573,True
DefaultB-DefaultC,0.15565815029413538,False
DefaultB-DorsAttnA,-0.06417385897173171,False
DefaultB-DorsAttnB,6.326245460826319e-05,False
DefaultB-LimbicA,0.03282516887067151,False
DefaultB-LimbicB,0.03789589316151531,False
DefaultB-SalVentAttnA,-0.033638549982454864,False
DefaultB-SalVentAttnB,0.01833671055680446,False
DefaultB-SomMotA,-0.0710619303938666,False
DefaultB-SomMotB,-0.06918427205001801,False
DefaultB-TempPar,0.1291561208420658,False
DefaultB-VisCent,-0.017343728560628737,False
DefaultB-VisPeri,-0.10213466767373569,False
DefaultC-DefaultC,0.38589695206540825,True
DefaultC-DorsAttnA,-0.05432637741772434,False
DefaultC-DorsAttnB,0.017338248041502476,False
DefaultC-LimbicA,-0.029191022116382512,False
DefaultC-LimbicB,0.010195003949354117,False
DefaultC-SalVentAttnA,-0.0042843449660582055,False
DefaultC-SalVentAttnB,-0.0038967630772106295,False
DefaultC-SomMotA,-0.12344415529916715,False
DefaultC-SomMotB,-0.05801862236301337,False
DefaultC-TempPar,0.3161896897130046,False
DefaultC-VisCent,-0.03224673254533898,False
DefaultC-VisPeri,-0.14921944293690145,False
DorsAttnA-DorsAttnA,0.15166316928390194,True
DorsAttnA-DorsAttnB,0.039672094770734107,False
DorsAttnA-LimbicA,-0.003224732474497496,False
DorsAttnA-LimbicB,-0.04188996983908316,False
DorsAttnA-SalVentAttnA,0.011146740934885104,False
DorsAttnA-SalVentAttnB,-0.031971681593580055,False
DorsAttnA-SomMotA,0.026886198462902473,False
DorsAttnA-SomMotB,0.04883709988014111,False
DorsAttnA-TempPar,-0.10016806791512664,False
DorsAttnA-VisCent,0.00574210472006166,False
DorsAttnA-VisPeri,0.02875129782774932,False
DorsAttnB-DorsAttnB,0.053684018897946606,True
DorsAttnB-LimbicA,0.027681246704105763,False
DorsAttnB-LimbicB,0.020848392008754952,False
DorsAttnB-SalVentAttnA,0.016274977739756797,False
DorsAttnB-SalVentAttnB,0.03362955970522822,False
DorsAttnB-SomMotA,-0.03202963958388285,False
DorsAttnB-SomMotB,-0.013523060124972903,False
DorsAttnB-TempPar,-0.0004709036899312806,False
DorsAttnB-VisCent,0.0025734513898654798,False
DorsAttnB-VisPeri,-0.0343565073708579,False
LimbicA-LimbicA,0.10356850322450992,True
LimbicA-LimbicB,0.06874516628627221,False
LimbicA-SalVentAttnA,0.007603501379335994,False
LimbicA-SalVentAttnB,0.09686919192176331,False
LimbicA-SomMotA,-0.04053611286536387,False
LimbicA-SomMotB,-0.017774865550572908,False
LimbicA-TempPar,-0.043256382506308956,False
LimbicA-VisCent,-0.00018260285025602745,False
LimbicA-VisPeri,-0.042869939631458416,False
LimbicB-LimbicB,0.09257355511154881,True
LimbicB-SalVentAttnA,0.033605184342521396,False
LimbicB-SalVentAttnB,0.11673714965707475,False
LimbicB-SomMotA,-0.039035118222675844,False
LimbicB-SomMotB,0.0008515841667360484,False
LimbicB-TempPar,-0.012563016670269107,False
LimbicB-VisCent,0.004533429224068334,False
LimbicB-VisPeri,-0.0496495376361483,False
SalVentAttnA-SalVentAttnA,0.056972126276832395,True
SalVentAttnA-SalVentAttnB,0.06014129824297033,False
SalVentAttnA-SomMotA,0.0005764743509765802,False
SalVentAttnA-SomMotB,0.04607551490707571,False
SalVentAttnA-TempPar,-0.039894785002492404,False
SalVentAttnA-VisCent,-0.002614885879034073,False
SalVentAttnA-VisPeri,0.005714723222876575,False
SalVentAttnB-SalVentAttnB,0.16668509747293903,True
SalVentAttnB-SomMotA,-0.05398589359685028,False
SalVentAttnB-SomMotB,0.009277763229004393,False
SalVentAttnB-TempPar,-0.03799481464818862,False
SalVentAttnB-VisCent,-0.002389173542371713,False
SalVentAttnB-VisPeri,-0.042592535017143635,False
SomMotA-SomMotA,0.12585652630386027,True
SomMotA-SomMotB,0.07418925906037419,False
SomMotA-TempPar,-0.1679820356965433,False
SomMotA-VisCent,0.03608878898107636,False
SomMotA-VisPeri,0.14166813453140056,False
SomMotB-SomMotB,0.10239481499401973,True
SomMotB-TempPar,-0.13295916669023503,False
SomMotB-VisCent,0.020670086130876546,False
SomMotB-VisPeri,0.07268416522438545,False
TempPar-TempPar,0.520285988888208,True
TempPar-VisCent,-0.08227928650633468,False
TempPar-VisPeri,-0.2204215769738787,False
VisCent-VisCent,0.032053672658865905,True
VisCent-VisPeri,0.05064252723717069,False
VisPeri-VisPeri,0.2241766964445153,True
