network_connection,fc,within_network
ContA-ContA,0.29903305948230113,True
ContA-ContB,0.20153666621265504,False
ContA-ContC,0.10062848299424455,False
ContA-DefaultA,0.106343985212789,False
ContA-DefaultB,0.08830827862947294,False
ContA-DefaultC,-0.0016707375158730002,False
ContA-DorsAttnA,0.03909599724109908,False
ContA-DorsAttnB,0.06678498683014131,False
ContA-LimbicA,0.25389306862712413,False
ContA-LimbicB,0.07416196047895307,False
ContA-SalVentAttnA,0.017801580435204717,False
ContA-SalVentAttnB,0.08772540875480378,False
ContA-SomMotA,-0.08094594076061526,False
ContA-SomMotB,-0.04380963935488216,False
ContA-TempPar,0.05421865762189836,False
ContA-VisCent,0.02392445079355568,False
ContA-VisPeri,-0.04422833149430169,False
ContB-ContB,0.2681394790922473,True
ContB-ContC,0.13847844836882184,False
ContB-DefaultA,0.08782384250679408,False
ContB-DefaultB,0.08799297314843393,False
ContB-DefaultC,0.04806924854801627,False
ContB-DorsAttnA,0.049524006577630425,False
ContB-DorsAttnB,0.054840698207932234,False
ContB-LimbicA,0.16730592762600693,False
ContB-LimbicB,-0.015043231309384456,False
ContB-SalVentAttnA,-0.03774184874358035,False
ContB-SalVentAttnB,-0.02964873227033838,False
ContB-SomMotA,-0.05322435828734523,False
ContB-SomMotB,-0.05946128160877606,False
ContB-TempPar,0.12256215940265137,False
ContB-VisCent,0.056092063331596706,False
ContB-VisPeri,-0.05940176687771606,False
ContC-ContC,0.26378719674449486,True
ContC-DefaultA,0.20903858594066177,False
ContC-DefaultB,0.11086377958327663,False
ContC-DefaultC,-0.06246710825193885,False
ContC-DorsAttnA,-0.020559077530155054,False
ContC-DorsAttnB,0.053846021586015924,False
ContC-LimbicA,0.16531489278043107,False
ContC-LimbicB,0.0895638015339443,False
ContC-SalVentAttnA,-0.016422340720491594,False
ContC-SalVentAttnB,0.09189888963609971,False
ContC-SomMotA,-0.019611117027757252,False
ContC-SomMotB,-0.07894626601539484,False
ContC-TempPar,-0.06593477615069922,False
ContC-VisCent,0.04809650709643828,False
ContC-VisPeri,-0.047397904522410134,False
DefaultA-DefaultA,0.1970308817318905,True
DefaultA-DefaultB,0.12677269379055933,False
DefaultA-DefaultC,-0.05563299338940166,False
DefaultA-DorsAttnA,-0.010932313574765635,False
DefaultA-DorsAttnB,0.03264938282929065,False
DefaultA-LimbicA,0.14311342478476072,False
DefaultA-LimbicB,0.10288389226334645,False
DefaultA-SalVentAttnA,0.0005559385993470458,False
DefaultA-SalVentAttnB,0.10228268726551548,False
DefaultA-SomMotA,-0.030147186749678177,False
DefaultA-SomMotB,-0.056344298022165694,False
DefaultA-TempPar,-0.04543909511597865,False
DefaultA-VisCent,0.02561211418040533,False
DefaultA-VisPeri,-0.04774609326843694,False
DefaultB-DefaultB,0.15776555640398693,True
DefaultB-DefaultC,0.10729340876267648,False
DefaultB-DorsAttnA,-0.03717986086109924,False
DefaultB-DorsAttnB,-0.012939660601108478,False
DefaultB-LimbicA,0.08007347330602564,False
DefaultB-LimbicB,0.05571829497146759,False
DefaultB-SalVentAttnA,-0.010942604664069102,False
DefaultB-SalVentAttnB,0.045364946530442346,False
DefaultB-SomMotA,-0.062425416735861085,False
DefaultB-SomMotB,-0.0476009342490689,False
DefaultB-TempPar,0.03194763286029952,False
DefaultB-VisCent,-0.00168536481914661,False
DefaultB-VisPeri,-0.07271242539054766,False
DefaultC-DefaultC,0.29798418443603614,True
DefaultC-DorsAttnA,-0.0841278010691072,False
DefaultC-DorsAttnB,-0.058984942763127636,False
DefaultC-LimbicA,-0.053907909906223836,False
DefaultC-LimbicB,0.009099670628958681,False
DefaultC-SalVentAttnA,-0.0250546893779219,False
DefaultC-SalVentAttnB,-0.03101576907448933,False
DefaultC-SomMotA,-0.06941410882693326,False
DefaultC-SomMotB,-0.023616330409066164,False
DefaultC-TempPar,0.2293973561633285,False
DefaultC-VisCent,-0.037134427264416806,False
DefaultC-VisPeri,-0.07488203406529303,False
DorsAttnA-DorsAttnA,0.19429059419899192,True
