network_connection,fc,within_network
ContA-ContA,0.2213932558721174,True
ContA-ContB,0.11297052146777581,False
ContA-ContC,0.04242939814711336,False
ContA-DefaultA,0.08056311549362602,False
ContA-DefaultB,0.07503057019207324,False
ContA-DefaultC,-0.015093476929806986,False
ContA-DorsAttnA,-0.03159538733876264,False
ContA-DorsAttnB,0.0062479650571287135,False
ContA-LimbicA,0.20896756502966574,False
ContA-LimbicB,0.14309070084721126,False
ContA-SalVentAttnA,0.01821601870937251,False
ContA-SalVentAttnB,0.16123389263011664,False
ContA-SomMotA,-0.10878955452704069,False
ContA-SomMotB,-0.04072415554147362,False
ContA-TempPar,-0.05492369263694507,False
ContA-VisCent,-0.03389297584079031,False
ContA-VisPeri,-0.08236695340494608,False
ContB-ContB,0.14091361780182837,True
ContB-ContC,0.07266621885602213,False
ContB-DefaultA,0.05451795308084276,False
ContB-DefaultB,0.06852642289663288,False
ContB-DefaultC,0.07401540078892091,False
ContB-DorsAttnA,-0.0011974600332998885,False
ContB-DorsAttnB,0.035876550126803096,False
ContB-LimbicA,0.09807202194326425,False
ContB-LimbicB,0.08492646835980242,False
ContB-SalVentAttnA,-0.012016077458534447,False
ContB-SalVentAttnB,0.06905446047752815,False
ContB-SomMotA,-0.09453422510626802,False
ContB-SomMotB,-0.05344345017670431,False
ContB-TempPar,0.07084990793722575,False
ContB-VisCent,0.005826394370391439,False
ContB-VisPeri,-0.10226812891510537,False
ContC-ContC,0.21562643391436087,True
ContC-DefaultA,0.20493464485934196,False
ContC-DefaultB,0.13683954608274443,False
ContC-DefaultC,0.05736731003758382,False
ContC-DorsAttnA,-0.022810779187048776,False
ContC-DorsAttnB,0.06610176846247331,False
ContC-LimbicA,0.08524246988958337,False
ContC-LimbicB,0.16032905457672447,False
ContC-SalVentAttnA,0.013045776260151219,False
ContC-SalVentAttnB,0.15028917095506233,False
ContC-SomMotA,-0.09696944383938828,False
ContC-SomMotB,-0.10753973601157445,False
ContC-TempPar,0.046087353034290485,False
ContC-VisCent,-0.007274241336850576,False
ContC-VisPeri,-0.08418662701511366,False
DefaultA-DefaultA,0.22390324951184232,True
DefaultA-DefaultB,0.1689510651551426,False
DefaultA-DefaultC,0.04538772212226809,False
DefaultA-DorsAttnA,-0.04039360644076681,False
DefaultA-DorsAttnB,0.05177953475553072,False
DefaultA-LimbicA,0.11195478497097543,False
DefaultA-LimbicB,0.17282687533068278,False
DefaultA-SalVentAttnA,0.022271247632329443,False
DefaultA-SalVentAttnB,0.16590747292519997,False
DefaultA-SomMotA,-0.09732096568905972,False
DefaultA-SomMotB,-0.0898115162569515,False
DefaultA-TempPar,0.004705751456956971,False
DefaultA-VisCent,-0.01316851547180295,False
DefaultA-VisPeri,-0.07886406535560504,False
DefaultB-DefaultB,0.21316201074111502,True
DefaultB-DefaultC,0.16649322081259194,False
DefaultB-DorsAttnA,-0.08746654618514044,False
DefaultB-DorsAttnB,-0.0012105353013470931,False
DefaultB-LimbicA,0.08736878792658034,False
DefaultB-LimbicB,0.1324110031181485,False
DefaultB-SalVentAttnA,-0.0031912621244637516,False
DefaultB-SalVentAttnB,0.09470794877144845,False
DefaultB-SomMotA,-0.07763332603574359,False
DefaultB-SomMotB,-0.06231870372485976,False
DefaultB-TempPar,0.06352941953589103,False
DefaultB-VisCent,-0.011678526686529968,False
DefaultB-VisPeri,-0.0603532764198464,False
DefaultC-DefaultC,0.36289820633460373,True
DefaultC-DorsAttnA,-0.12242092632633217,False
DefaultC-DorsAttnB,-0.039108410280206174,False
DefaultC-LimbicA,-0.01030183225499227,False
